,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const        3.180734e-05
ofiI_JPM     8.700446e-09
ofiI_TSLA    1.089242e-07
ofiI_XOM    -1.687217e-07
ofiI_AMGN    3.243316e-08
dtype: float64",0.08013059859845673,"const        0.544012
ofiI_JPM     0.882666
ofiI_TSLA    0.545819
ofiI_XOM     0.862624
ofiI_AMGN    0.228006
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.080
Model:                            OLS   Adj. R-squared:                 -0.073
Method:                 Least Squares   F-statistic:                    0.5227
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.720
Time:                        23:44:31   Log-Likelihood:                 200.39
No. Observations:                  29   AIC:                            -390.8
Df Residuals:                      24   BIC:                            -383.9
Df Model:                           4                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       3.181e-05   5.17e-05      0.616      0.544   -7.48e-05       0.000
ofiI_JPM      8.7e-09   5.83e-08      0.149      0.883   -1.12e-07    1.29e-07
ofiI_TSLA   1.089e-07   1.78e-07      0.613      0.546   -2.58e-07    4.76e-07
ofiI_XOM   -1.687e-07   9.65e-07     -0.175      0.863   -2.16e-06    1.82e-06
ofiI_AMGN   3.243e-08   2.62e-08      1.237      0.228   -2.17e-08    8.65e-08
==============================================================================
Omnibus:                       28.169   Durbin-Watson:                   2.376
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               97.934
Skew:                           1.669   Prob(JB):                     5.42e-22
Kurtosis:                      11.361   Cond. No.                     2.02e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.02e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const        5.959476e-05
ofiI_JPM     1.060335e-07
ofiI_TSLA   -2.514332e-08
ofiI_XOM     4.455436e-06
ofiI_AMGN   -8.270368e-09
dtype: float64",0.07462279729723864,"const        0.289168
ofiI_JPM     0.210432
ofiI_TSLA    0.925970
ofiI_XOM     0.550832
ofiI_AMGN    0.907756
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.075
Model:                            OLS   Adj. R-squared:                 -0.073
Method:                 Least Squares   F-statistic:                    0.5040
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.733
Time:                        23:44:31   Log-Likelihood:                 206.43
No. Observations:                  30   AIC:                            -402.9
Df Residuals:                      25   BIC:                            -395.8
Df Model:                           4                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       5.959e-05    5.5e-05      1.083      0.289   -5.37e-05       0.000
ofiI_JPM     1.06e-07   8.25e-08      1.285      0.210   -6.39e-08    2.76e-07
ofiI_TSLA  -2.514e-08   2.68e-07     -0.094      0.926   -5.77e-07    5.27e-07
ofiI_XOM    4.455e-06   7.37e-06      0.605      0.551   -1.07e-05    1.96e-05
ofiI_AMGN   -8.27e-09   7.07e-08     -0.117      0.908   -1.54e-07    1.37e-07
==============================================================================
Omnibus:                       12.940   Durbin-Watson:                   1.789
Prob(Omnibus):                  0.002   Jarque-Bera (JB):               15.778
Skew:                           1.038   Prob(JB):                     0.000375
Kurtosis:                       5.883   Cond. No.                         954.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const       -4.544394e-05
ofiI_JPM    -8.160457e-08
ofiI_TSLA   -2.755931e-08
ofiI_XOM     1.846941e-06
ofiI_AMGN   -1.578990e-08
dtype: float64",0.06754246087074323,"const        0.558767
ofiI_JPM     0.545046
ofiI_TSLA    0.747758
ofiI_XOM     0.202075
ofiI_AMGN    0.829790
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.068
Model:                            OLS   Adj. R-squared:                 -0.082
Method:                 Least Squares   F-statistic:                    0.4527
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.769
Time:                        23:44:31   Log-Likelihood:                 198.55
No. Observations:                  30   AIC:                            -387.1
Df Residuals:                      25   BIC:                            -380.1
Df Model:                           4                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -4.544e-05   7.67e-05     -0.593      0.559      -0.000       0.000
ofiI_JPM    -8.16e-08   1.33e-07     -0.614      0.545   -3.56e-07    1.92e-07
ofiI_TSLA  -2.756e-08   8.48e-08     -0.325      0.748   -2.02e-07    1.47e-07
ofiI_XOM    1.847e-06   1.41e-06      1.310      0.202   -1.06e-06    4.75e-06
ofiI_AMGN  -1.579e-08   7.27e-08     -0.217      0.830   -1.65e-07    1.34e-07
==============================================================================
Omnibus:                        8.346   Durbin-Watson:                   1.796
Prob(Omnibus):                  0.015   Jarque-Bera (JB):                7.223
Skew:                          -0.832   Prob(JB):                       0.0270
Kurtosis:                       4.735   Cond. No.                     1.22e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.22e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const       -6.122562e-05
ofiI_JPM    -1.330103e-07
ofiI_TSLA    1.152585e-07
ofiI_XOM     2.413300e-07
ofiI_AMGN    7.092885e-08
dtype: float64",0.08389416400876626,"const        0.646885
ofiI_JPM     0.303171
ofiI_TSLA    0.347666
ofiI_XOM     0.940773
ofiI_AMGN    0.450753
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.084
Model:                            OLS   Adj. R-squared:                 -0.063
Method:                 Least Squares   F-statistic:                    0.5724
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.685
Time:                        23:44:31   Log-Likelihood:                 191.08
No. Observations:                  30   AIC:                            -372.2
Df Residuals:                      25   BIC:                            -365.1
Df Model:                           4                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -6.123e-05      0.000     -0.464      0.647      -0.000       0.000
ofiI_JPM    -1.33e-07   1.27e-07     -1.051      0.303   -3.94e-07    1.28e-07
ofiI_TSLA   1.153e-07    1.2e-07      0.957      0.348   -1.33e-07    3.63e-07
ofiI_XOM    2.413e-07   3.22e-06      0.075      0.941   -6.38e-06    6.86e-06
ofiI_AMGN   7.093e-08   9.26e-08      0.766      0.451    -1.2e-07    2.62e-07
==============================================================================
Omnibus:                        8.036   Durbin-Watson:                   1.786
Prob(Omnibus):                  0.018   Jarque-Bera (JB):                6.356
Skew:                          -0.930   Prob(JB):                       0.0417
Kurtosis:                       4.275   Cond. No.                     2.18e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.18e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const        2.129991e-05
ofiI_JPM     1.656549e-07
ofiI_TSLA    5.332801e-07
ofiI_XOM    -6.849196e-07
ofiI_AMGN   -3.654624e-08
dtype: float64",0.11274061360237375,"const        0.728197
ofiI_JPM     0.179439
ofiI_TSLA    0.774808
ofiI_XOM     0.787048
ofiI_AMGN    0.541179
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.113
Model:                            OLS   Adj. R-squared:                 -0.029
Method:                 Least Squares   F-statistic:                    0.7942
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.540
Time:                        23:44:31   Log-Likelihood:                 201.88
No. Observations:                  30   AIC:                            -393.8
Df Residuals:                      25   BIC:                            -386.8
Df Model:                           4                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const        2.13e-05   6.06e-05      0.351      0.728      -0.000       0.000
ofiI_JPM    1.657e-07    1.2e-07      1.381      0.179   -8.14e-08    4.13e-07
ofiI_TSLA   5.333e-07   1.84e-06      0.289      0.775   -3.26e-06    4.33e-06
ofiI_XOM   -6.849e-07   2.51e-06     -0.273      0.787   -5.85e-06    4.48e-06
ofiI_AMGN  -3.655e-08    5.9e-08     -0.620      0.541   -1.58e-07    8.49e-08
==============================================================================
Omnibus:                       11.508   Durbin-Watson:                   2.376
Prob(Omnibus):                  0.003   Jarque-Bera (JB):               11.436
Skew:                           1.075   Prob(JB):                      0.00329
Kurtosis:                       5.127   Cond. No.                     1.08e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.08e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const       -1.363026e-05
ofiI_JPM     1.721369e-07
ofiI_TSLA   -1.568110e-07
ofiI_XOM     3.569043e-07
ofiI_AMGN   -1.992558e-08
dtype: float64",0.0162634986177842,"const        0.899261
ofiI_JPM     0.622200
ofiI_TSLA    0.703504
ofiI_XOM     0.890548
ofiI_AMGN    0.873081
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.016
Model:                            OLS   Adj. R-squared:                 -0.141
Method:                 Least Squares   F-statistic:                    0.1033
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.980
Time:                        23:44:31   Log-Likelihood:                 184.50
No. Observations:                  30   AIC:                            -359.0
Df Residuals:                      25   BIC:                            -352.0
Df Model:                           4                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -1.363e-05      0.000     -0.128      0.899      -0.000       0.000
ofiI_JPM    1.721e-07   3.45e-07      0.499      0.622   -5.38e-07    8.83e-07
ofiI_TSLA  -1.568e-07   4.07e-07     -0.385      0.704   -9.96e-07    6.82e-07
ofiI_XOM    3.569e-07   2.57e-06      0.139      0.891   -4.93e-06    5.64e-06
ofiI_AMGN  -1.993e-08   1.23e-07     -0.161      0.873   -2.74e-07    2.34e-07
==============================================================================
Omnibus:                       20.311   Durbin-Watson:                   2.882
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              167.110
Skew:                           0.228   Prob(JB):                     5.16e-37
Kurtosis:                      14.553   Cond. No.                         868.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const       -2.059345e-05
ofiI_JPM     1.494424e-07
ofiI_TSLA    8.898760e-07
ofiI_XOM    -1.757731e-06
ofiI_AMGN   -1.555551e-07
dtype: float64",0.15927850360057416,"const        0.843134
ofiI_JPM     0.321768
ofiI_TSLA    0.439764
ofiI_XOM     0.116657
ofiI_AMGN    0.219195
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.159
Model:                            OLS   Adj. R-squared:                  0.025
Method:                 Least Squares   F-statistic:                     1.184
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.342
Time:                        23:44:31   Log-Likelihood:                 185.56
No. Observations:                  30   AIC:                            -361.1
Df Residuals:                      25   BIC:                            -354.1
Df Model:                           4                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -2.059e-05      0.000     -0.200      0.843      -0.000       0.000
ofiI_JPM    1.494e-07   1.48e-07      1.011      0.322   -1.55e-07    4.54e-07
ofiI_TSLA   8.899e-07   1.13e-06      0.785      0.440   -1.44e-06    3.22e-06
ofiI_XOM   -1.758e-06   1.08e-06     -1.625      0.117   -3.99e-06     4.7e-07
ofiI_AMGN  -1.556e-07   1.23e-07     -1.260      0.219    -4.1e-07    9.86e-08
==============================================================================
Omnibus:                       19.680   Durbin-Watson:                   2.170
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               49.299
Skew:                          -1.147   Prob(JB):                     1.97e-11
Kurtosis:                       8.846   Cond. No.                         986.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const       -2.020746e-05
ofiI_JPM     1.443268e-08
ofiI_TSLA    1.043278e-06
ofiI_XOM     1.824680e-07
ofiI_AMGN    4.564843e-09
dtype: float64",0.11541686717263444,"const        0.663528
ofiI_JPM     0.789603
ofiI_TSLA    0.094261
ofiI_XOM     0.516149
ofiI_AMGN    0.922497
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.115
Model:                            OLS   Adj. R-squared:                 -0.026
Method:                 Least Squares   F-statistic:                    0.8155
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.527
Time:                        23:44:31   Log-Likelihood:                 213.26
No. Observations:                  30   AIC:                            -416.5
Df Residuals:                      25   BIC:                            -409.5
Df Model:                           4                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -2.021e-05   4.59e-05     -0.440      0.664      -0.000    7.43e-05
ofiI_JPM    1.443e-08   5.35e-08      0.270      0.790   -9.58e-08    1.25e-07
ofiI_TSLA   1.043e-06      6e-07      1.739      0.094   -1.92e-07    2.28e-06
ofiI_XOM    1.825e-07   2.77e-07      0.659      0.516   -3.88e-07    7.53e-07
ofiI_AMGN   4.565e-09   4.64e-08      0.098      0.922   -9.11e-08       1e-07
==============================================================================
Omnibus:                       14.564   Durbin-Watson:                   2.268
Prob(Omnibus):                  0.001   Jarque-Bera (JB):               18.747
Skew:                          -1.157   Prob(JB):                     8.49e-05
Kurtosis:                       6.105   Cond. No.                     1.16e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.16e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const       -4.318851e-05
ofiI_JPM    -1.860205e-07
ofiI_TSLA    5.526267e-08
ofiI_XOM     1.177081e-08
ofiI_AMGN    2.464273e-09
dtype: float64",0.05699111337943241,"const        0.375197
ofiI_JPM     0.288165
ofiI_TSLA    0.952789
ofiI_XOM     0.990970
ofiI_AMGN    0.918401
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.057
Model:                            OLS   Adj. R-squared:                 -0.094
Method:                 Least Squares   F-statistic:                    0.3777
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.822
Time:                        23:44:31   Log-Likelihood:                 210.00
No. Observations:                  30   AIC:                            -410.0
Df Residuals:                      25   BIC:                            -403.0
Df Model:                           4                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -4.319e-05   4.78e-05     -0.903      0.375      -0.000    5.53e-05
ofiI_JPM    -1.86e-07   1.71e-07     -1.085      0.288   -5.39e-07    1.67e-07
ofiI_TSLA   5.526e-08   9.24e-07      0.060      0.953   -1.85e-06    1.96e-06
ofiI_XOM    1.177e-08   1.03e-06      0.011      0.991   -2.11e-06    2.13e-06
ofiI_AMGN   2.464e-09   2.38e-08      0.103      0.918   -4.66e-08    5.15e-08
==============================================================================
Omnibus:                       57.854   Durbin-Watson:                   2.083
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              448.540
Skew:                          -3.920   Prob(JB):                     3.99e-98
Kurtosis:                      20.245   Cond. No.                     2.53e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.53e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const        1.564546e-05
ofiI_JPM     7.654466e-08
ofiI_TSLA    2.638594e-07
ofiI_XOM     7.691509e-07
ofiI_AMGN   -6.609670e-09
dtype: float64",0.03623160898384459,"const        0.907184
ofiI_JPM     0.516656
ofiI_TSLA    0.876179
ofiI_XOM     0.619459
ofiI_AMGN    0.910074
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.036
Model:                            OLS   Adj. R-squared:                 -0.118
Method:                 Least Squares   F-statistic:                    0.2350
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.916
Time:                        23:44:31   Log-Likelihood:                 177.79
No. Observations:                  30   AIC:                            -345.6
Df Residuals:                      25   BIC:                            -338.6
Df Model:                           4                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       1.565e-05      0.000      0.118      0.907      -0.000       0.000
ofiI_JPM    7.654e-08   1.16e-07      0.658      0.517   -1.63e-07    3.16e-07
ofiI_TSLA   2.639e-07   1.68e-06      0.157      0.876   -3.19e-06    3.72e-06
ofiI_XOM    7.692e-07   1.53e-06      0.503      0.619   -2.38e-06    3.92e-06
ofiI_AMGN   -6.61e-09   5.79e-08     -0.114      0.910   -1.26e-07    1.13e-07
==============================================================================
Omnibus:                       14.820   Durbin-Watson:                   1.650
Prob(Omnibus):                  0.001   Jarque-Bera (JB):               25.270
Skew:                           0.973   Prob(JB):                     3.26e-06
Kurtosis:                       7.053   Cond. No.                     2.32e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.32e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
