,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const        2.351772e-05
OFI1_JPM    -1.727507e-08
OFI1_TSLA    7.376019e-08
OFI1_XOM    -1.398926e-06
OFI1_AMGN    1.395179e-08
OFI1_AAPL    1.265047e-06
dtype: float64",0.341400757010344,"const        0.604247
OFI1_JPM     0.738588
OFI1_TSLA    0.636695
OFI1_XOM     0.145287
OFI1_AMGN    0.558039
OFI1_AAPL    0.006088
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.341
Model:                            OLS   Adj. R-squared:                  0.198
Method:                 Least Squares   F-statistic:                     2.385
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0699
Time:                        15:41:44   Log-Likelihood:                 205.24
No. Observations:                  29   AIC:                            -398.5
Df Residuals:                      23   BIC:                            -390.3
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       2.352e-05   4.48e-05      0.526      0.604   -6.91e-05       0.000
OFI1_JPM   -1.728e-08   5.11e-08     -0.338      0.739   -1.23e-07    8.85e-08
OFI1_TSLA   7.376e-08   1.54e-07      0.479      0.637   -2.45e-07    3.93e-07
OFI1_XOM   -1.399e-06   9.28e-07     -1.508      0.145   -3.32e-06    5.21e-07
OFI1_AMGN   1.395e-08   2.35e-08      0.594      0.558   -3.46e-08    6.25e-08
OFI1_AAPL   1.265e-06   4.19e-07      3.021      0.006    3.99e-07    2.13e-06
==============================================================================
Omnibus:                       16.322   Durbin-Watson:                   2.421
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               32.742
Skew:                           1.004   Prob(JB):                     7.77e-08
Kurtosis:                       7.803   Cond. No.                     2.02e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.02e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const        6.709828e-05
OFI1_JPM     1.257411e-07
OFI1_TSLA   -5.563582e-09
OFI1_XOM     4.782530e-06
OFI1_AMGN   -5.891331e-09
OFI1_AAPL   -1.779611e-07
dtype: float64",0.07947930422124994,"const        0.273374
OFI1_JPM     0.223339
OFI1_TSLA    0.984209
OFI1_XOM     0.532775
OFI1_AMGN    0.935674
OFI1_AAPL    0.725072
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.079
Model:                            OLS   Adj. R-squared:                 -0.112
Method:                 Least Squares   F-statistic:                    0.4144
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.834
Time:                        15:41:44   Log-Likelihood:                 206.51
No. Observations:                  30   AIC:                            -401.0
Df Residuals:                      24   BIC:                            -392.6
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const        6.71e-05   5.99e-05      1.121      0.273   -5.64e-05       0.000
OFI1_JPM    1.257e-07   1.01e-07      1.250      0.223   -8.19e-08    3.33e-07
OFI1_TSLA  -5.564e-09   2.78e-07     -0.020      0.984    -5.8e-07    5.69e-07
OFI1_XOM    4.783e-06   7.56e-06      0.633      0.533   -1.08e-05    2.04e-05
OFI1_AMGN  -5.891e-09   7.22e-08     -0.082      0.936   -1.55e-07    1.43e-07
OFI1_AAPL   -1.78e-07      5e-07     -0.356      0.725   -1.21e-06    8.54e-07
==============================================================================
Omnibus:                       12.923   Durbin-Watson:                   1.819
Prob(Omnibus):                  0.002   Jarque-Bera (JB):               15.777
Skew:                           1.036   Prob(JB):                     0.000375
Kurtosis:                       5.886   Cond. No.                     1.02e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.02e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const       -8.213956e-05
OFI1_JPM     8.669204e-08
OFI1_TSLA   -5.194044e-09
OFI1_XOM     7.786572e-07
OFI1_AMGN   -7.727164e-08
OFI1_AAPL    1.350764e-06
dtype: float64",0.34774328856165304,"const        0.228372
OFI1_JPM     0.494787
OFI1_TSLA    0.943621
OFI1_XOM     0.538739
OFI1_AMGN    0.245678
OFI1_AAPL    0.003740
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.348
Model:                            OLS   Adj. R-squared:                  0.212
Method:                 Least Squares   F-statistic:                     2.559
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0542
Time:                        15:41:44   Log-Likelihood:                 203.91
No. Observations:                  30   AIC:                            -395.8
Df Residuals:                      24   BIC:                            -387.4
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -8.214e-05   6.64e-05     -1.236      0.228      -0.000     5.5e-05
OFI1_JPM    8.669e-08   1.25e-07      0.693      0.495   -1.71e-07    3.45e-07
OFI1_TSLA  -5.194e-09   7.27e-08     -0.071      0.944   -1.55e-07    1.45e-07
OFI1_XOM    7.787e-07   1.25e-06      0.624      0.539    -1.8e-06    3.36e-06
OFI1_AMGN  -7.727e-08   6.49e-08     -1.190      0.246   -2.11e-07    5.67e-08
OFI1_AAPL   1.351e-06   4.21e-07      3.211      0.004    4.83e-07    2.22e-06
==============================================================================
Omnibus:                        3.559   Durbin-Watson:                   1.573
Prob(Omnibus):                  0.169   Jarque-Bera (JB):                2.087
Skew:                          -0.449   Prob(JB):                        0.352
Kurtosis:                       3.930   Cond. No.                     1.24e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.24e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const       -2.539319e-04
OFI1_JPM    -2.065716e-07
OFI1_TSLA   -7.048402e-08
OFI1_XOM     2.043467e-07
OFI1_AMGN    3.534087e-08
OFI1_AAPL    1.830146e-06
dtype: float64",0.5414405730047851,"const        0.021403
OFI1_JPM     0.035275
OFI1_TSLA    0.464755
OFI1_XOM     0.930603
OFI1_AMGN    0.604008
OFI1_AAPL    0.000054
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.541
Model:                            OLS   Adj. R-squared:                  0.446
Method:                 Least Squares   F-statistic:                     5.668
Date:                Sat, 11 Jan 2025   Prob (F-statistic):            0.00137
Time:                        15:41:44   Log-Likelihood:                 201.46
No. Observations:                  30   AIC:                            -390.9
Df Residuals:                      24   BIC:                            -382.5
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0003      0.000     -2.462      0.021      -0.000    -4.1e-05
OFI1_JPM   -2.066e-07   9.26e-08     -2.231      0.035   -3.98e-07   -1.55e-08
OFI1_TSLA  -7.048e-08   9.49e-08     -0.743      0.465   -2.66e-07    1.25e-07
OFI1_XOM    2.043e-07   2.32e-06      0.088      0.931   -4.59e-06       5e-06
OFI1_AMGN   3.534e-08   6.72e-08      0.526      0.604   -1.03e-07    1.74e-07
OFI1_AAPL    1.83e-06   3.74e-07      4.894      0.000    1.06e-06     2.6e-06
==============================================================================
Omnibus:                        4.168   Durbin-Watson:                   2.100
Prob(Omnibus):                  0.124   Jarque-Bera (JB):                2.705
Skew:                          -0.458   Prob(JB):                        0.259
Kurtosis:                       4.151   Cond. No.                     2.36e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.36e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const       -1.903154e-05
OFI1_JPM     1.225781e-07
OFI1_TSLA    5.876376e-07
OFI1_XOM    -1.387573e-06
OFI1_AMGN   -2.205998e-08
OFI1_AAPL    8.592094e-07
dtype: float64",0.283226762208323,"const        0.746091
OFI1_JPM     0.282473
OFI1_TSLA    0.731340
OFI1_XOM     0.555325
OFI1_AMGN    0.688981
OFI1_AAPL    0.025094
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.283
Model:                            OLS   Adj. R-squared:                  0.134
Method:                 Least Squares   F-statistic:                     1.897
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.132
Time:                        15:41:44   Log-Likelihood:                 205.08
No. Observations:                  30   AIC:                            -398.2
Df Residuals:                      24   BIC:                            -389.8
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -1.903e-05   5.81e-05     -0.328      0.746      -0.000       0.000
OFI1_JPM    1.226e-07   1.11e-07      1.099      0.282   -1.08e-07    3.53e-07
OFI1_TSLA   5.876e-07   1.69e-06      0.347      0.731    -2.9e-06    4.08e-06
OFI1_XOM   -1.388e-06   2.32e-06     -0.598      0.555   -6.18e-06     3.4e-06
OFI1_AMGN  -2.206e-08   5.45e-08     -0.405      0.689   -1.34e-07    9.03e-08
OFI1_AAPL   8.592e-07    3.6e-07      2.389      0.025    1.17e-07     1.6e-06
==============================================================================
Omnibus:                        7.887   Durbin-Watson:                   2.500
Prob(Omnibus):                  0.019   Jarque-Bera (JB):                6.219
Skew:                           0.906   Prob(JB):                       0.0446
Kurtosis:                       4.302   Cond. No.                     1.13e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.13e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const        7.272610e-06
OFI1_JPM    -2.012802e-08
OFI1_TSLA   -6.567810e-08
OFI1_XOM    -1.477073e-07
OFI1_AMGN    5.109864e-08
OFI1_AAPL    1.957628e-05
dtype: float64",0.969475503412501,"const        7.078387e-01
OFI1_JPM     7.499168e-01
OFI1_TSLA    3.791714e-01
OFI1_XOM     7.519135e-01
OFI1_AMGN    3.133929e-02
OFI1_AAPL    1.302746e-19
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.969
Model:                            OLS   Adj. R-squared:                  0.963
Method:                 Least Squares   F-statistic:                     152.5
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           2.27e-17
Time:                        15:41:44   Log-Likelihood:                 236.59
No. Observations:                  30   AIC:                            -461.2
Df Residuals:                      24   BIC:                            -452.8
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       7.273e-06   1.92e-05      0.379      0.708   -3.23e-05    4.69e-05
OFI1_JPM   -2.013e-08   6.24e-08     -0.322      0.750   -1.49e-07    1.09e-07
OFI1_TSLA  -6.568e-08   7.33e-08     -0.896      0.379   -2.17e-07    8.56e-08
OFI1_XOM   -1.477e-07   4.62e-07     -0.320      0.752    -1.1e-06    8.06e-07
OFI1_AMGN    5.11e-08   2.23e-08      2.287      0.031    4.98e-09    9.72e-08
OFI1_AAPL   1.958e-05   7.15e-07     27.376      0.000    1.81e-05    2.11e-05
==============================================================================
Omnibus:                        9.724   Durbin-Watson:                   2.397
Prob(Omnibus):                  0.008   Jarque-Bera (JB):               15.266
Skew:                           0.511   Prob(JB):                     0.000484
Kurtosis:                       6.342   Cond. No.                         869.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const        1.886976e-05
OFI1_JPM     4.984463e-08
OFI1_TSLA    7.248242e-07
OFI1_XOM    -9.055592e-07
OFI1_AMGN   -1.101491e-07
OFI1_AAPL    4.804131e-06
dtype: float64",0.44368403364351583,"const        0.828662
OFI1_JPM     0.695876
OFI1_TSLA    0.449223
OFI1_XOM     0.340060
OFI1_AMGN    0.296845
OFI1_AAPL    0.001830
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.444
Model:                            OLS   Adj. R-squared:                  0.328
Method:                 Least Squares   F-statistic:                     3.828
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0108
Time:                        15:41:44   Log-Likelihood:                 191.76
No. Observations:                  30   AIC:                            -371.5
Df Residuals:                      24   BIC:                            -363.1
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       1.887e-05   8.62e-05      0.219      0.829      -0.000       0.000
OFI1_JPM    4.984e-08   1.26e-07      0.396      0.696    -2.1e-07     3.1e-07
OFI1_TSLA   7.248e-07   9.42e-07      0.769      0.449   -1.22e-06    2.67e-06
OFI1_XOM   -9.056e-07    9.3e-07     -0.973      0.340   -2.83e-06    1.01e-06
OFI1_AMGN  -1.101e-07   1.03e-07     -1.066      0.297   -3.23e-07    1.03e-07
OFI1_AAPL   4.804e-06   1.37e-06      3.503      0.002    1.97e-06    7.63e-06
==============================================================================
Omnibus:                       15.205   Durbin-Watson:                   2.213
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               30.946
Skew:                          -0.888   Prob(JB):                     1.91e-07
Kurtosis:                       7.648   Cond. No.                         995.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const       -2.239862e-05
OFI1_JPM     2.007866e-08
OFI1_TSLA    1.065412e-06
OFI1_XOM     1.553179e-07
OFI1_AMGN    5.259214e-09
OFI1_AAPL    1.368195e-07
dtype: float64",0.12567229407360114,"const        0.636231
OFI1_JPM     0.719875
OFI1_TSLA    0.093510
OFI1_XOM     0.591739
OFI1_AMGN    0.912114
OFI1_AAPL    0.600590
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.126
Model:                            OLS   Adj. R-squared:                 -0.056
Method:                 Least Squares   F-statistic:                    0.6899
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.636
Time:                        15:41:44   Log-Likelihood:                 213.44
No. Observations:                  30   AIC:                            -414.9
Df Residuals:                      24   BIC:                            -406.5
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       -2.24e-05   4.68e-05     -0.479      0.636      -0.000    7.41e-05
OFI1_JPM    2.008e-08   5.53e-08      0.363      0.720   -9.41e-08    1.34e-07
OFI1_TSLA   1.065e-06    6.1e-07      1.747      0.094   -1.94e-07    2.32e-06
OFI1_XOM    1.553e-07   2.86e-07      0.544      0.592   -4.34e-07    7.45e-07
OFI1_AMGN   5.259e-09   4.71e-08      0.112      0.912   -9.21e-08    1.03e-07
OFI1_AAPL   1.368e-07   2.58e-07      0.531      0.601   -3.95e-07    6.69e-07
==============================================================================
Omnibus:                       13.537   Durbin-Watson:                   2.300
Prob(Omnibus):                  0.001   Jarque-Bera (JB):               16.451
Skew:                          -1.102   Prob(JB):                     0.000268
Kurtosis:                       5.881   Cond. No.                     1.17e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.17e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const       -3.442648e-05
OFI1_JPM    -2.614292e-07
OFI1_TSLA    1.042599e-07
OFI1_XOM    -1.132182e-07
OFI1_AMGN    2.776997e-08
OFI1_AAPL   -3.863305e-06
dtype: float64",0.2134848264482917,"const        0.449366
OFI1_JPM     0.122810
OFI1_TSLA    0.904697
OFI1_XOM     0.907237
OFI1_AMGN    0.278305
OFI1_AAPL    0.038866
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.213
Model:                            OLS   Adj. R-squared:                  0.050
Method:                 Least Squares   F-statistic:                     1.303
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.296
Time:                        15:41:44   Log-Likelihood:                 212.73
No. Observations:                  30   AIC:                            -413.5
Df Residuals:                      24   BIC:                            -405.0
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -3.443e-05   4.48e-05     -0.769      0.449      -0.000     5.8e-05
OFI1_JPM   -2.614e-07   1.63e-07     -1.599      0.123   -5.99e-07    7.59e-08
OFI1_TSLA   1.043e-07   8.62e-07      0.121      0.905   -1.67e-06    1.88e-06
OFI1_XOM   -1.132e-07   9.61e-07     -0.118      0.907    -2.1e-06    1.87e-06
OFI1_AMGN   2.777e-08    2.5e-08      1.109      0.278   -2.39e-08    7.94e-08
OFI1_AAPL  -3.863e-06   1.77e-06     -2.185      0.039   -7.51e-06   -2.15e-07
==============================================================================
Omnibus:                       38.015   Durbin-Watson:                   2.028
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              130.955
Skew:                          -2.557   Prob(JB):                     3.66e-29
Kurtosis:                      11.866   Cond. No.                     2.54e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.54e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const        1.051770e-04
OFI1_JPM     1.356685e-07
OFI1_TSLA    6.181400e-07
OFI1_XOM    -1.136121e-06
OFI1_AMGN    7.215633e-08
OFI1_AAPL    3.555488e-06
dtype: float64",0.4540644563916636,"const        0.322663
OFI1_JPM     0.146629
OFI1_TSLA    0.636200
OFI1_XOM     0.374769
OFI1_AMGN    0.146991
OFI1_AAPL    0.000255
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AAPL   R-squared:                       0.454
Model:                            OLS   Adj. R-squared:                  0.340
Method:                 Least Squares   F-statistic:                     3.992
Date:                Sat, 11 Jan 2025   Prob (F-statistic):            0.00890
Time:                        15:41:44   Log-Likelihood:                 186.31
No. Observations:                  30   AIC:                            -360.6
Df Residuals:                      24   BIC:                            -352.2
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0001      0.000      1.010      0.323      -0.000       0.000
OFI1_JPM    1.357e-07   9.04e-08      1.500      0.147    -5.1e-08    3.22e-07
OFI1_TSLA   6.181e-07   1.29e-06      0.479      0.636   -2.04e-06    3.28e-06
OFI1_XOM   -1.136e-06   1.26e-06     -0.904      0.375   -3.73e-06    1.46e-06
OFI1_AMGN   7.216e-08   4.81e-08      1.499      0.147   -2.72e-08    1.72e-07
OFI1_AAPL   3.555e-06    8.3e-07      4.286      0.000    1.84e-06    5.27e-06
==============================================================================
Omnibus:                       12.871   Durbin-Watson:                   1.657
Prob(Omnibus):                  0.002   Jarque-Bera (JB):               16.368
Skew:                           0.998   Prob(JB):                     0.000279
Kurtosis:                       6.018   Cond. No.                     2.37e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.37e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
