,Train_Start,Train_End,Test_Start,Test_End,Out_of_Sample_R2,Target_Stock,Actual,Predicted
0,2024-12-30 09:31:00+00:00,2024-12-30 10:01:00+00:00,2024-12-30 10:01:00+00:00,2024-12-30 10:06:00+00:00,-0.265575130101003,AAPL,[np.float64(0.0004517465974869239)],[np.float64(8.970775328860983e-05)]
1,2024-12-30 09:32:00+00:00,2024-12-30 10:02:00+00:00,2024-12-30 10:02:00+00:00,2024-12-30 10:07:00+00:00,-0.8646991311955334,AAPL,"[np.float64(0.0004517465974869239), np.float64(0.0004320842238643152)]","[np.float64(8.970775328860983e-05), np.float64(-4.988433488939344e-05)]"
2,2024-12-30 09:33:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:08:00+00:00,-0.8646991311955334,AAPL,"[np.float64(0.0004517465974869239), np.float64(0.0004320842238643152)]","[np.float64(8.970775328860983e-05), np.float64(-4.988433488939344e-05)]"
3,2024-12-30 09:34:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:09:00+00:00,-0.8646991311955334,AAPL,"[np.float64(0.0004517465974869239), np.float64(0.0004320842238643152)]","[np.float64(8.970775328860983e-05), np.float64(-4.988433488939344e-05)]"
4,2024-12-30 09:35:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:10:00+00:00,-0.8646991311955334,AAPL,"[np.float64(0.0004517465974869239), np.float64(0.0004320842238643152)]","[np.float64(8.970775328860983e-05), np.float64(-4.988433488939344e-05)]"
5,2024-12-30 09:36:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:11:00+00:00,0.25660522943806285,AAPL,"[np.float64(0.0004517465974869239), np.float64(0.0004320842238643152), np.float64(0.00043191456616131774)]","[np.float64(0.0004517465974869241), np.float64(6.614645020824857e-05), np.float64(0.0006687004791431374)]"
6,2024-12-30 09:37:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:12:00+00:00,0.1789208846109115,AAPL,"[np.float64(0.0004320842238643152), np.float64(0.00043191456616131774), np.float64(0.000569280464517874)]","[np.float64(0.0004320842238643157), np.float64(0.0006929251160955638), np.float64(0.00016090849349026582)]"
7,2024-12-30 09:38:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:13:00+00:00,-3.647374290851822,AAPL,"[np.float64(0.00043191456616131774), np.float64(0.000569280464517874), np.float64(0.0007655840896889643)]","[np.float64(0.0006388819429559082), np.float64(0.00038648093155912934), np.float64(-0.0008125023646564239)]"
8,2024-12-30 09:39:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:14:00+00:00,-3.916827372275275,AAPL,"[np.float64(0.00043191456616131774), np.float64(0.000569280464517874), np.float64(0.0007655840896889643), np.float64(0.000765614148255267)]","[np.float64(0.0006971388029340007), np.float64(0.0003657794095129778), np.float64(-0.0010484511111155132), np.float64(-0.00033383505892585236)]"
9,2024-12-30 09:40:00+00:00,2024-12-30 10:10:00+00:00,2024-12-30 10:10:00+00:00,2024-12-30 10:15:00+00:00,-0.8401025344111659,AAPL,"[np.float64(0.00043191456616131774), np.float64(0.000569280464517874), np.float64(0.0007655840896889643), np.float64(0.000765614148255267), np.float64(0.0006478655022279511)]","[np.float64(0.0008337074163387094), np.float64(3.180665723643097e-05), np.float64(-0.0003711279050359936), np.float64(4.887156984562728e-05), np.float64(0.0003702772938721352)]"
10,2024-12-30 09:41:00+00:00,2024-12-30 10:11:00+00:00,2024-12-30 10:11:00+00:00,2024-12-30 10:16:00+00:00,-0.6764790582816653,AAPL,"[np.float64(0.00043191456616131774), np.float64(0.000569280464517874), np.float64(0.0007655840896889643), np.float64(0.000765614148255267), np.float64(0.0006478655022279511), np.float64(9.813639003386498e-05)]","[np.float64(0.0004319145661613174), np.float64(0.00025525562086823846), np.float64(-0.0002160496162343126), np.float64(1.1362645920642721e-05), np.float64(4.609601437045997e-05), np.float64(-0.00019888613859764937)]"
11,2024-12-30 09:42:00+00:00,2024-12-30 10:12:00+00:00,2024-12-30 10:12:00+00:00,2024-12-30 10:17:00+00:00,-0.9546188980371064,AAPL,"[np.float64(0.000569280464517874), np.float64(0.0007655840896889643), np.float64(0.000765614148255267), np.float64(0.0006478655022279511), np.float64(9.813639003386498e-05), np.float64(-0.0002355250256229624)]","[np.float64(0.0005692804645178735), np.float64(-0.0003290000312096359), np.float64(-9.15309021334726e-05), np.float64(1.543258004742948e-05), np.float64(-0.00013131460802419788), np.float64(-4.760425737755808e-05)]"
12,2024-12-30 09:43:00+00:00,2024-12-30 10:13:00+00:00,2024-12-30 10:13:00+00:00,2024-12-30 10:18:00+00:00,-0.287967903450002,AAPL,"[np.float64(0.0007655840896889643), np.float64(0.000765614148255267), np.float64(0.0006478655022279511), np.float64(9.813639003386498e-05), np.float64(-0.0002355250256229624), np.float64(-0.00037290364798181486)]","[np.float64(0.0007655840896889643), np.float64(0.0003315890843916797), np.float64(8.269771313377085e-05), np.float64(-3.493836805978267e-05), np.float64(0.0003446875026302205), np.float64(0.0005692300610801387)]"
13,2024-12-30 09:44:00+00:00,2024-12-30 10:14:00+00:00,2024-12-30 10:14:00+00:00,2024-12-30 10:19:00+00:00,-2.4771602254829914,AAPL,"[np.float64(0.000765614148255267), np.float64(0.0006478655022279511), np.float64(9.813639003386498e-05), np.float64(-0.0002355250256229624), np.float64(-0.00037290364798181486), np.float64(-0.0005299781262717573)]","[np.float64(0.0007656141482552669), np.float64(0.0001879638574920448), np.float64(0.0001064996824031627), np.float64(0.00034552350551410554), np.float64(0.0009335792177822516), np.float64(0.0013717200966682041)]"
