,Train_Start,Train_End,Test_Start,Test_End,Out_of_Sample_R2,Actual,Predicted
0,2024-12-30 09:31:00+00:00,2024-12-30 10:00:00+00:00,2024-12-30 10:01:00+00:00,2024-12-30 10:05:00+00:00,0.3249790605455586,"[np.float64(0.00015717709962004278), np.float64(0.00019646365485570527), np.float64(1.964733041948108e-05), np.float64(-0.00013752320725757272), np.float64(1.9644628667769837e-05)]","[np.float64(5.2717237607516775e-05), np.float64(0.0002690415960345963), np.float64(5.8410219738808256e-05), np.float64(3.276007375030577e-05), np.float64(-1.199984842190261e-05)]"
1,2024-12-30 09:32:00+00:00,2024-12-30 10:01:00+00:00,2024-12-30 10:02:00+00:00,2024-12-30 10:06:00+00:00,0.3026170180620599,"[np.float64(0.00019646365485570527), np.float64(1.964733041948108e-05), np.float64(-0.00013752320725757272), np.float64(1.9644628667769837e-05), np.float64(0.0004517465974869239)]","[np.float64(0.00031897073159917357), np.float64(6.391806856465536e-05), np.float64(3.65905499608811e-05), np.float64(-1.492540679496832e-05), np.float64(0.00012822371954516494)]"
2,2024-12-30 09:33:00+00:00,2024-12-30 10:02:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:07:00+00:00,0.08605407159156564,"[np.float64(1.964733041948108e-05), np.float64(-0.00013752320725757272), np.float64(1.9644628667769837e-05), np.float64(0.0004517465974869239), np.float64(0.0004320842238643152)]","[np.float64(7.101350699078335e-05), np.float64(4.798693626158774e-05), np.float64(-9.579895128573983e-06), np.float64(0.00016566850594231354), np.float64(8.635081764048265e-06)]"
3,2024-12-30 09:34:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:08:00+00:00,-0.05861078210840165,"[np.float64(-0.00013752320725757272), np.float64(1.9644628667769837e-05), np.float64(0.0004517465974869239), np.float64(0.0004320842238643152), np.float64(0.0004714201619417935)]","[np.float64(5.692011504921975e-05), np.float64(-5.562293996035265e-07), np.float64(0.00015898071130345141), np.float64(1.9959183577860456e-05), np.float64(1.895394443551875e-05)]"
4,2024-12-30 09:35:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:09:00+00:00,-0.09924820626290032,"[np.float64(1.9644628667769837e-05), np.float64(0.0004517465974869239), np.float64(0.0004320842238643152), np.float64(0.0004714201619417935), np.float64(0.0004517909659726982)]","[np.float64(1.8555588258634215e-05), np.float64(0.00010975518160150226), np.float64(2.7883928005756723e-05), np.float64(4.798771599509176e-05), np.float64(9.562726167269608e-05)]"
5,2024-12-30 09:36:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:10:00+00:00,-0.14932987601880154,"[np.float64(0.0004517465974869239), np.float64(0.0004320842238643152), np.float64(0.0004714201619417935), np.float64(0.0004517909659726982), np.float64(0.00029462313004735563)]","[np.float64(6.190164569987917e-05), np.float64(3.842145135383195e-05), np.float64(7.734249755202953e-05), np.float64(9.485117023420042e-05), np.float64(7.750279571670985e-05)]"
6,2024-12-30 09:37:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:11:00+00:00,-0.20249329709673236,"[np.float64(0.0004320842238643152), np.float64(0.0004714201619417935), np.float64(0.0004517909659726982), np.float64(0.00029462313004735563), np.float64(0.00043191456616131774)]","[np.float64(6.164379414152386e-05), np.float64(6.691252504240521e-05), np.float64(0.00011934492373299368), np.float64(7.051812306171298e-05), np.float64(9.054458350674575e-05)]"
7,2024-12-30 09:38:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:12:00+00:00,-0.06338079815000341,"[np.float64(0.0004714201619417935), np.float64(0.0004517909659726982), np.float64(0.00029462313004735563), np.float64(0.00043191456616131774), np.float64(0.000569280464517874)]","[np.float64(8.872058379954094e-05), np.float64(0.00013552059300920086), np.float64(8.87793484957808e-05), np.float64(9.253490714138986e-05), np.float64(0.00014802551639470204)]"
8,2024-12-30 09:39:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:13:00+00:00,0.012259835446165268,"[np.float64(0.0004517909659726982), np.float64(0.00029462313004735563), np.float64(0.00043191456616131774), np.float64(0.000569280464517874), np.float64(0.0007655840896889643)]","[np.float64(0.0001423924361974162), np.float64(0.00012106314665109633), np.float64(0.0001049973829843302), np.float64(0.00023553780137887628), np.float64(7.78039218669258e-05)]"
9,2024-12-30 09:40:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:10:00+00:00,2024-12-30 10:14:00+00:00,0.05826152688678765,"[np.float64(0.00029462313004735563), np.float64(0.00043191456616131774), np.float64(0.000569280464517874), np.float64(0.0007655840896889643), np.float64(0.000765614148255267)]","[np.float64(0.000134494711746149), np.float64(0.00010953138303144903), np.float64(0.00021171612447371506), np.float64(0.00012330721138769133), np.float64(0.0001318793879715783)]"
