,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const   -0.000061
ofiI     0.000020
dtype: float64",0.0003130635615720134,"const    0.266257
ofiI     0.927414
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.000
Model:                            OLS   Adj. R-squared:                 -0.037
Method:                 Least Squares   F-statistic:                  0.008455
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.927
Time:                        23:34:40   Log-Likelihood:                 199.76
No. Observations:                  29   AIC:                            -395.5
Df Residuals:                      27   BIC:                            -392.8
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -6.122e-05   5.39e-05     -1.135      0.266      -0.000    4.94e-05
ofiI        2.047e-05      0.000      0.092      0.927      -0.000       0.000
==============================================================================
Omnibus:                        3.263   Durbin-Watson:                   1.732
Prob(Omnibus):                  0.196   Jarque-Bera (JB):                1.916
Skew:                          -0.582   Prob(JB):                        0.384
Kurtosis:                       3.482   Cond. No.                         4.75
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const   -0.000033
ofiI     0.000410
dtype: float64",0.251299452001178,"const    0.198475
ofiI     0.004772
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.251
Model:                            OLS   Adj. R-squared:                  0.225
Method:                 Least Squares   F-statistic:                     9.398
Date:                Wed, 08 Jan 2025   Prob (F-statistic):            0.00477
Time:                        23:34:40   Log-Likelihood:                 227.01
No. Observations:                  30   AIC:                            -450.0
Df Residuals:                      28   BIC:                            -447.2
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -3.287e-05    2.5e-05     -1.317      0.198    -8.4e-05    1.82e-05
ofiI           0.0004      0.000      3.066      0.005       0.000       0.001
==============================================================================
Omnibus:                        0.827   Durbin-Watson:                   1.824
Prob(Omnibus):                  0.661   Jarque-Bera (JB):                0.475
Skew:                          -0.307   Prob(JB):                        0.788
Kurtosis:                       2.948   Cond. No.                         5.68
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const   -0.000019
ofiI     0.000579
dtype: float64",0.3922549068217823,"const    0.435200
ofiI     0.000214
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.392
Model:                            OLS   Adj. R-squared:                  0.371
Method:                 Least Squares   F-statistic:                     18.07
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           0.000214
Time:                        23:34:40   Log-Likelihood:                 227.63
No. Observations:                  30   AIC:                            -451.3
Df Residuals:                      28   BIC:                            -448.5
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -1.895e-05   2.39e-05     -0.792      0.435    -6.8e-05    3.01e-05
ofiI           0.0006      0.000      4.251      0.000       0.000       0.001
==============================================================================
Omnibus:                        9.727   Durbin-Watson:                   1.315
Prob(Omnibus):                  0.008   Jarque-Bera (JB):                8.232
Skew:                           1.163   Prob(JB):                       0.0163
Kurtosis:                       4.082   Cond. No.                         5.89
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const   -0.000025
ofiI     0.000491
dtype: float64",0.5087635730699616,"const    0.102355
ofiI     0.000010
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.509
Model:                            OLS   Adj. R-squared:                  0.491
Method:                 Least Squares   F-statistic:                     29.00
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           9.69e-06
Time:                        23:34:40   Log-Likelihood:                 241.83
No. Observations:                  30   AIC:                            -479.7
Df Residuals:                      28   BIC:                            -476.9
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -2.522e-05   1.49e-05     -1.689      0.102   -5.58e-05    5.37e-06
ofiI           0.0005   9.12e-05      5.385      0.000       0.000       0.001
==============================================================================
Omnibus:                        5.834   Durbin-Watson:                   2.460
Prob(Omnibus):                  0.054   Jarque-Bera (JB):                4.458
Skew:                           0.596   Prob(JB):                        0.108
Kurtosis:                       4.465   Cond. No.                         6.33
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const   -0.000002
ofiI     0.000484
dtype: float64",0.5676279572171354,"const    0.890456
ofiI     0.000002
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.568
Model:                            OLS   Adj. R-squared:                  0.552
Method:                 Least Squares   F-statistic:                     36.76
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           1.55e-06
Time:                        23:34:40   Log-Likelihood:                 245.02
No. Observations:                  30   AIC:                            -486.0
Df Residuals:                      28   BIC:                            -483.2
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -1.825e-06   1.31e-05     -0.139      0.890   -2.87e-05    2.51e-05
ofiI           0.0005   7.98e-05      6.063      0.000       0.000       0.001
==============================================================================
Omnibus:                        0.032   Durbin-Watson:                   2.450
Prob(Omnibus):                  0.984   Jarque-Bera (JB):                0.216
Skew:                           0.051   Prob(JB):                        0.898
Kurtosis:                       2.597   Cond. No.                         6.16
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const    0.000003
ofiI     0.000663
dtype: float64",0.20152698721931395,"const    0.910202
ofiI     0.012832
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.202
Model:                            OLS   Adj. R-squared:                  0.173
Method:                 Least Squares   F-statistic:                     7.067
Date:                Wed, 08 Jan 2025   Prob (F-statistic):             0.0128
Time:                        23:34:40   Log-Likelihood:                 221.46
No. Observations:                  30   AIC:                            -438.9
Df Residuals:                      28   BIC:                            -436.1
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       3.246e-06   2.85e-05      0.114      0.910   -5.52e-05    6.17e-05
ofiI           0.0007      0.000      2.658      0.013       0.000       0.001
==============================================================================
Omnibus:                        2.882   Durbin-Watson:                   2.807
Prob(Omnibus):                  0.237   Jarque-Bera (JB):                1.807
Skew:                          -0.587   Prob(JB):                        0.405
Kurtosis:                       3.261   Cond. No.                         8.77
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const   -0.000048
ofiI    -0.000087
dtype: float64",0.008175368555668694,"const    0.053609
ofiI     0.634666
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.008
Model:                            OLS   Adj. R-squared:                 -0.027
Method:                 Least Squares   F-statistic:                    0.2308
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.635
Time:                        23:34:40   Log-Likelihood:                 228.12
No. Observations:                  30   AIC:                            -452.2
Df Residuals:                      28   BIC:                            -449.4
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -4.788e-05   2.38e-05     -2.015      0.054   -9.65e-05    7.96e-07
ofiI       -8.703e-05      0.000     -0.480      0.635      -0.000       0.000
==============================================================================
Omnibus:                        3.736   Durbin-Watson:                   2.466
Prob(Omnibus):                  0.154   Jarque-Bera (JB):                3.357
Skew:                          -0.787   Prob(JB):                        0.187
Kurtosis:                       2.547   Cond. No.                         7.96
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const   -0.000052
ofiI     0.000708
dtype: float64",0.5990270183321549,"const    2.269151e-01
ofiI     5.249766e-07
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.599
Model:                            OLS   Adj. R-squared:                  0.585
Method:                 Least Squares   F-statistic:                     41.83
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           5.25e-07
Time:                        23:34:40   Log-Likelihood:                 212.60
No. Observations:                  30   AIC:                            -421.2
Df Residuals:                      28   BIC:                            -418.4
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       -5.17e-05   4.18e-05     -1.235      0.227      -0.000     3.4e-05
ofiI           0.0007      0.000      6.468      0.000       0.000       0.001
==============================================================================
Omnibus:                        7.458   Durbin-Watson:                   1.895
Prob(Omnibus):                  0.024   Jarque-Bera (JB):                5.989
Skew:                           0.796   Prob(JB):                       0.0501
Kurtosis:                       4.502   Cond. No.                         2.94
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const   -0.000059
ofiI     0.001103
dtype: float64",0.48167781371414076,"const    0.230322
ofiI     0.000021
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.482
Model:                            OLS   Adj. R-squared:                  0.463
Method:                 Least Squares   F-statistic:                     26.02
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           2.10e-05
Time:                        23:34:40   Log-Likelihood:                 206.63
No. Observations:                  30   AIC:                            -409.3
Df Residuals:                      28   BIC:                            -406.4
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       -5.92e-05   4.83e-05     -1.226      0.230      -0.000    3.97e-05
ofiI           0.0011      0.000      5.101      0.000       0.001       0.002
==============================================================================
Omnibus:                        2.155   Durbin-Watson:                   3.025
Prob(Omnibus):                  0.340   Jarque-Bera (JB):                0.974
Skew:                           0.156   Prob(JB):                        0.614
Kurtosis:                       3.826   Cond. No.                         4.65
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const    0.000018
ofiI     0.001453
dtype: float64",0.5694871835499806,"const    0.847592
ofiI     0.000001
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.569
Model:                            OLS   Adj. R-squared:                  0.554
Method:                 Least Squares   F-statistic:                     37.04
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           1.45e-06
Time:                        23:34:40   Log-Likelihood:                 186.72
No. Observations:                  30   AIC:                            -369.4
Df Residuals:                      28   BIC:                            -366.6
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       1.797e-05   9.26e-05      0.194      0.848      -0.000       0.000
ofiI           0.0015      0.000      6.086      0.000       0.001       0.002
==============================================================================
Omnibus:                        4.160   Durbin-Watson:                   2.363
Prob(Omnibus):                  0.125   Jarque-Bera (JB):                2.575
Skew:                           0.594   Prob(JB):                        0.276
Kurtosis:                       3.807   Cond. No.                         2.66
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
10,2024-12-30 14:00:00+00:00,2024-12-30 14:30:00+00:00,"const   -0.000043
ofiI     0.001136
dtype: float64",0.39312794481252367,"const    0.623919
ofiI     0.000209
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.393
Model:                            OLS   Adj. R-squared:                  0.371
Method:                 Least Squares   F-statistic:                     18.14
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           0.000209
Time:                        23:34:40   Log-Likelihood:                 188.36
No. Observations:                  30   AIC:                            -372.7
Df Residuals:                      28   BIC:                            -369.9
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -4.269e-05   8.61e-05     -0.496      0.624      -0.000       0.000
ofiI           0.0011      0.000      4.259      0.000       0.001       0.002
==============================================================================
Omnibus:                       38.052   Durbin-Watson:                   2.300
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              149.168
Skew:                          -2.452   Prob(JB):                     4.06e-33
Kurtosis:                      12.762   Cond. No.                         3.11
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
