,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const   -5.866555e-05
OFI1    -2.631253e-09
dtype: float64",9.290473344869543e-05,"const    0.229007
OFI1     0.960422
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.000
Model:                            OLS   Adj. R-squared:                 -0.037
Method:                 Least Squares   F-statistic:                  0.002509
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.960
Time:                        10:40:50   Log-Likelihood:                 199.76
No. Observations:                  29   AIC:                            -395.5
Df Residuals:                      27   BIC:                            -392.8
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -5.867e-05   4.77e-05     -1.231      0.229      -0.000    3.91e-05
OFI1       -2.631e-09   5.25e-08     -0.050      0.960    -1.1e-07    1.05e-07
==============================================================================
Omnibus:                        3.388   Durbin-Watson:                   1.741
Prob(Omnibus):                  0.184   Jarque-Bera (JB):                1.990
Skew:                          -0.584   Prob(JB):                        0.370
Kurtosis:                       3.531   Cond. No.                         911.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const   -7.561652e-06
OFI1     7.182763e-09
dtype: float64",0.001036728775921758,"const    0.788254
OFI1     0.865870
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.001
Model:                            OLS   Adj. R-squared:                 -0.035
Method:                 Least Squares   F-statistic:                   0.02906
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.866
Time:                        10:40:50   Log-Likelihood:                 222.68
No. Observations:                  30   AIC:                            -441.4
Df Residuals:                      28   BIC:                            -438.6
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -7.562e-06   2.79e-05     -0.271      0.788   -6.47e-05    4.96e-05
OFI1        7.183e-09   4.21e-08      0.170      0.866   -7.91e-08    9.35e-08
==============================================================================
Omnibus:                        0.401   Durbin-Watson:                   1.957
Prob(Omnibus):                  0.818   Jarque-Bera (JB):                0.539
Skew:                          -0.022   Prob(JB):                        0.764
Kurtosis:                       2.345   Cond. No.                         675.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const    8.901195e-06
OFI1     1.541383e-07
dtype: float64",0.25808169772988976,"const    0.730796
OFI1     0.004156
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.258
Model:                            OLS   Adj. R-squared:                  0.232
Method:                 Least Squares   F-statistic:                     9.740
Date:                Sat, 11 Jan 2025   Prob (F-statistic):            0.00416
Time:                        10:40:50   Log-Likelihood:                 224.63
No. Observations:                  30   AIC:                            -445.3
Df Residuals:                      28   BIC:                            -442.5
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       8.901e-06   2.56e-05      0.348      0.731   -4.36e-05    6.14e-05
OFI1        1.541e-07   4.94e-08      3.121      0.004     5.3e-08    2.55e-07
==============================================================================
Omnibus:                       11.051   Durbin-Watson:                   1.528
Prob(Omnibus):                  0.004   Jarque-Bera (JB):                9.925
Skew:                           1.182   Prob(JB):                      0.00700
Kurtosis:                       4.534   Cond. No.                         519.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const    2.048742e-05
OFI1     3.976561e-08
dtype: float64",0.06618000161277349,"const    0.449286
OFI1     0.169940
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.066
Model:                            OLS   Adj. R-squared:                  0.033
Method:                 Least Squares   F-statistic:                     1.984
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.170
Time:                        10:40:50   Log-Likelihood:                 232.19
No. Observations:                  30   AIC:                            -460.4
Df Residuals:                      28   BIC:                            -457.6
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       2.049e-05   2.67e-05      0.767      0.449   -3.42e-05    7.52e-05
OFI1        3.977e-08   2.82e-08      1.409      0.170   -1.81e-08    9.76e-08
==============================================================================
Omnibus:                        0.379   Durbin-Watson:                   2.376
Prob(Omnibus):                  0.827   Jarque-Bera (JB):                0.368
Skew:                           0.234   Prob(JB):                        0.832
Kurtosis:                       2.724   Cond. No.                     1.27e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.27e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const    1.799257e-05
OFI1     9.711856e-08
dtype: float64",0.23091723585102986,"const    0.312612
OFI1     0.007192
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.231
Model:                            OLS   Adj. R-squared:                  0.203
Method:                 Least Squares   F-statistic:                     8.407
Date:                Sat, 11 Jan 2025   Prob (F-statistic):            0.00719
Time:                        10:40:50   Log-Likelihood:                 236.39
No. Observations:                  30   AIC:                            -468.8
Df Residuals:                      28   BIC:                            -466.0
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       1.799e-05   1.75e-05      1.028      0.313   -1.78e-05    5.38e-05
OFI1        9.712e-08   3.35e-08      2.899      0.007    2.85e-08    1.66e-07
==============================================================================
Omnibus:                        1.544   Durbin-Watson:                   2.031
Prob(Omnibus):                  0.462   Jarque-Bera (JB):                0.531
Skew:                          -0.163   Prob(JB):                        0.767
Kurtosis:                       3.565   Cond. No.                         528.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const   -4.510290e-06
OFI1     4.862572e-08
dtype: float64",0.007505778003483177,"const    0.889618
OFI1     0.648952
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.008
Model:                            OLS   Adj. R-squared:                 -0.028
Method:                 Least Squares   F-statistic:                    0.2118
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.649
Time:                        10:40:50   Log-Likelihood:                 218.20
No. Observations:                  30   AIC:                            -432.4
Df Residuals:                      28   BIC:                            -429.6
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       -4.51e-06   3.22e-05     -0.140      0.890   -7.05e-05    6.15e-05
OFI1        4.863e-08   1.06e-07      0.460      0.649   -1.68e-07    2.65e-07
==============================================================================
Omnibus:                        5.265   Durbin-Watson:                   2.900
Prob(Omnibus):                  0.072   Jarque-Bera (JB):                5.117
Skew:                          -0.249   Prob(JB):                       0.0774
Kurtosis:                       4.961   Cond. No.                         309.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const   -4.862820e-05
OFI1     3.113820e-08
dtype: float64",0.036928896700575864,"const    0.040070
OFI1     0.308987
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.037
Model:                            OLS   Adj. R-squared:                  0.003
Method:                 Least Squares   F-statistic:                     1.074
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.309
Time:                        10:40:50   Log-Likelihood:                 228.56
No. Observations:                  30   AIC:                            -453.1
Df Residuals:                      28   BIC:                            -450.3
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -4.863e-05   2.26e-05     -2.153      0.040   -9.49e-05   -2.36e-06
OFI1        3.114e-08   3.01e-08      1.036      0.309   -3.04e-08    9.27e-08
==============================================================================
Omnibus:                        4.514   Durbin-Watson:                   2.633
Prob(Omnibus):                  0.105   Jarque-Bera (JB):                3.904
Skew:                          -0.878   Prob(JB):                        0.142
Kurtosis:                       2.805   Cond. No.                         756.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const   -1.335065e-04
OFI1     1.170850e-07
dtype: float64",0.0923888306206736,"const    0.034034
OFI1     0.102471
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.092
Model:                            OLS   Adj. R-squared:                  0.060
Method:                 Least Squares   F-statistic:                     2.850
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.102
Time:                        10:40:50   Log-Likelihood:                 200.35
No. Observations:                  30   AIC:                            -396.7
Df Residuals:                      28   BIC:                            -393.9
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0001   5.99e-05     -2.229      0.034      -0.000   -1.08e-05
OFI1        1.171e-07   6.94e-08      1.688      0.102    -2.5e-08    2.59e-07
==============================================================================
Omnibus:                        0.485   Durbin-Watson:                   1.718
Prob(Omnibus):                  0.785   Jarque-Bera (JB):                0.079
Skew:                           0.119   Prob(JB):                        0.961
Kurtosis:                       3.082   Cond. No.                         899.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const    1.514917e-05
OFI1     3.695146e-07
dtype: float64",0.10765353045376214,"const    0.807315
OFI1     0.076707
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.108
Model:                            OLS   Adj. R-squared:                  0.076
Method:                 Least Squares   F-statistic:                     3.378
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0767
Time:                        10:40:50   Log-Likelihood:                 198.48
No. Observations:                  30   AIC:                            -393.0
Df Residuals:                      28   BIC:                            -390.2
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       1.515e-05   6.15e-05      0.246      0.807      -0.000       0.000
OFI1        3.695e-07   2.01e-07      1.838      0.077   -4.23e-08    7.81e-07
==============================================================================
Omnibus:                       12.269   Durbin-Watson:                   2.492
Prob(Omnibus):                  0.002   Jarque-Bera (JB):               13.701
Skew:                           1.044   Prob(JB):                      0.00106
Kurtosis:                       5.570   Cond. No.                         308.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const   -1.782648e-05
OFI1     4.867214e-07
dtype: float64",0.5824047113193455,"const    8.447232e-01
OFI1     9.388411e-07
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.582
Model:                            OLS   Adj. R-squared:                  0.567
Method:                 Least Squares   F-statistic:                     39.05
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           9.39e-07
Time:                        10:40:50   Log-Likelihood:                 187.17
No. Observations:                  30   AIC:                            -370.3
Df Residuals:                      28   BIC:                            -367.5
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -1.783e-05   9.02e-05     -0.198      0.845      -0.000       0.000
OFI1        4.867e-07   7.79e-08      6.249      0.000    3.27e-07    6.46e-07
==============================================================================
Omnibus:                       10.164   Durbin-Watson:                   2.617
Prob(Omnibus):                  0.006   Jarque-Bera (JB):                9.147
Skew:                           1.032   Prob(JB):                       0.0103
Kurtosis:                       4.749   Cond. No.                     1.17e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.17e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
