,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const       -0.000234
ofiI_JPM    -0.000062
ofiI_TSLA   -0.000104
ofiI_XOM    -0.001403
ofiI_AMGN    0.000722
ofiI_AAPL   -0.000367
dtype: float64",0.8928247103986726,"const        1.672765e-01
ofiI_JPM     8.951591e-01
ofiI_TSLA    8.429455e-01
ofiI_XOM     3.303253e-01
ofiI_AMGN    3.885512e-12
ofiI_AAPL    4.816609e-01
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.893
Model:                            OLS   Adj. R-squared:                  0.870
Method:                 Least Squares   F-statistic:                     38.32
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           2.06e-10
Time:                        15:41:49   Log-Likelihood:                 183.65
No. Observations:                  29   AIC:                            -355.3
Df Residuals:                      23   BIC:                            -347.1
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0002      0.000     -1.426      0.167      -0.001       0.000
ofiI_JPM   -6.243e-05      0.000     -0.133      0.895      -0.001       0.001
ofiI_TSLA     -0.0001      0.001     -0.200      0.843      -0.001       0.001
ofiI_XOM      -0.0014      0.001     -0.995      0.330      -0.004       0.002
ofiI_AMGN      0.0007   5.52e-05     13.080      0.000       0.001       0.001
ofiI_AAPL     -0.0004      0.001     -0.715      0.482      -0.001       0.001
==============================================================================
Omnibus:                        0.685   Durbin-Watson:                   1.594
Prob(Omnibus):                  0.710   Jarque-Bera (JB):                0.763
Skew:                          -0.256   Prob(JB):                        0.683
Kurtosis:                       2.392   Cond. No.                         27.7
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const        0.000026
ofiI_JPM    -0.000270
ofiI_TSLA   -0.000342
ofiI_XOM     0.000255
ofiI_AMGN    0.000467
ofiI_AAPL    0.000266
dtype: float64",0.7316720848536867,"const        7.617333e-01
ofiI_JPM     3.854146e-01
ofiI_TSLA    3.941525e-01
ofiI_XOM     6.816420e-01
ofiI_AMGN    6.131272e-07
ofiI_AAPL    2.972188e-01
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.732
Model:                            OLS   Adj. R-squared:                  0.676
Method:                 Least Squares   F-statistic:                     13.09
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           3.30e-06
Time:                        15:41:49   Log-Likelihood:                 206.28
No. Observations:                  30   AIC:                            -400.6
Df Residuals:                      24   BIC:                            -392.2
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       2.555e-05   8.33e-05      0.307      0.762      -0.000       0.000
ofiI_JPM      -0.0003      0.000     -0.884      0.385      -0.001       0.000
ofiI_TSLA     -0.0003      0.000     -0.868      0.394      -0.001       0.000
ofiI_XOM       0.0003      0.001      0.415      0.682      -0.001       0.002
ofiI_AMGN      0.0005   6.96e-05      6.709      0.000       0.000       0.001
ofiI_AAPL      0.0003      0.000      1.066      0.297      -0.000       0.001
==============================================================================
Omnibus:                        2.242   Durbin-Watson:                   2.292
Prob(Omnibus):                  0.326   Jarque-Bera (JB):                1.028
Skew:                           0.263   Prob(JB):                        0.598
Kurtosis:                       3.738   Cond. No.                         13.3
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const        0.000038
ofiI_JPM    -0.000048
ofiI_TSLA   -0.000040
ofiI_XOM    -0.000180
ofiI_AMGN    0.000607
ofiI_AAPL   -0.000009
dtype: float64",0.6875801105122545,"const        5.055673e-01
ofiI_JPM     8.699822e-01
ofiI_TSLA    6.909830e-01
ofiI_XOM     6.946620e-01
ofiI_AMGN    5.036949e-07
ofiI_AAPL    9.398984e-01
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.688
Model:                            OLS   Adj. R-squared:                  0.622
Method:                 Least Squares   F-statistic:                     10.56
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           1.88e-05
Time:                        15:41:49   Log-Likelihood:                 211.18
No. Observations:                  30   AIC:                            -410.4
Df Residuals:                      24   BIC:                            -402.0
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       3.785e-05    5.6e-05      0.676      0.506   -7.77e-05       0.000
ofiI_JPM   -4.839e-05      0.000     -0.165      0.870      -0.001       0.001
ofiI_TSLA  -3.952e-05   9.82e-05     -0.402      0.691      -0.000       0.000
ofiI_XOM      -0.0002      0.000     -0.397      0.695      -0.001       0.001
ofiI_AMGN      0.0006   8.94e-05      6.791      0.000       0.000       0.001
ofiI_AAPL  -8.662e-06      0.000     -0.076      0.940      -0.000       0.000
==============================================================================
Omnibus:                        9.404   Durbin-Watson:                   2.000
Prob(Omnibus):                  0.009   Jarque-Bera (JB):                8.383
Skew:                           0.940   Prob(JB):                       0.0151
Kurtosis:                       4.782   Cond. No.                         11.0
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const        0.000006
ofiI_JPM    -0.000501
ofiI_TSLA   -0.000062
ofiI_XOM     0.000160
ofiI_AMGN    0.000477
ofiI_AAPL   -0.000123
dtype: float64",0.6487851875484979,"const        0.938630
ofiI_JPM     0.262293
ofiI_TSLA    0.457228
ofiI_XOM     0.836946
ofiI_AMGN    0.000008
ofiI_AAPL    0.626831
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.649
Model:                            OLS   Adj. R-squared:                  0.576
Method:                 Least Squares   F-statistic:                     8.867
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           7.10e-05
Time:                        15:41:49   Log-Likelihood:                 206.08
No. Observations:                  30   AIC:                            -400.2
Df Residuals:                      24   BIC:                            -391.8
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       5.916e-06    7.6e-05      0.078      0.939      -0.000       0.000
ofiI_JPM      -0.0005      0.000     -1.148      0.262      -0.001       0.000
ofiI_TSLA  -6.227e-05   8.24e-05     -0.756      0.457      -0.000       0.000
ofiI_XOM       0.0002      0.001      0.208      0.837      -0.001       0.002
ofiI_AMGN      0.0005   8.44e-05      5.643      0.000       0.000       0.001
ofiI_AAPL     -0.0001      0.000     -0.493      0.627      -0.001       0.000
==============================================================================
Omnibus:                        2.495   Durbin-Watson:                   2.039
Prob(Omnibus):                  0.287   Jarque-Bera (JB):                1.276
Skew:                          -0.069   Prob(JB):                        0.528
Kurtosis:                       1.999   Cond. No.                         15.7
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const        0.000040
ofiI_JPM    -0.000439
ofiI_TSLA    0.000075
ofiI_XOM    -0.000171
ofiI_AMGN    0.000660
ofiI_AAPL   -0.000285
dtype: float64",0.8434256771743274,"const        3.501285e-01
ofiI_JPM     5.007549e-02
ofiI_TSLA    8.298983e-01
ofiI_XOM     7.089547e-01
ofiI_AMGN    6.841340e-11
ofiI_AAPL    2.018600e-01
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.843
Model:                            OLS   Adj. R-squared:                  0.811
Method:                 Least Squares   F-statistic:                     25.86
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           6.23e-09
Time:                        15:41:49   Log-Likelihood:                 219.01
No. Observations:                  30   AIC:                            -426.0
Df Residuals:                      24   BIC:                            -417.6
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       4.041e-05   4.24e-05      0.953      0.350   -4.71e-05       0.000
ofiI_JPM      -0.0004      0.000     -2.063      0.050      -0.001    1.57e-07
ofiI_TSLA   7.526e-05      0.000      0.217      0.830      -0.001       0.001
ofiI_XOM      -0.0002      0.000     -0.378      0.709      -0.001       0.001
ofiI_AMGN      0.0007   5.98e-05     11.043      0.000       0.001       0.001
ofiI_AAPL     -0.0003      0.000     -1.312      0.202      -0.001       0.000
==============================================================================
Omnibus:                        1.235   Durbin-Watson:                   2.023
Prob(Omnibus):                  0.539   Jarque-Bera (JB):                1.034
Skew:                           0.234   Prob(JB):                        0.596
Kurtosis:                       2.220   Cond. No.                         13.9
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const       -0.000115
ofiI_JPM    -0.000143
ofiI_TSLA    0.000787
ofiI_XOM    -0.000025
ofiI_AMGN    0.000457
ofiI_AAPL   -0.000313
dtype: float64",0.8036829936061635,"const        1.260012e-02
ofiI_JPM     6.115868e-01
ofiI_TSLA    1.207164e-03
ofiI_XOM     9.402723e-01
ofiI_AMGN    8.180724e-09
ofiI_AAPL    4.743346e-01
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.804
Model:                            OLS   Adj. R-squared:                  0.763
Method:                 Least Squares   F-statistic:                     19.65
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           8.81e-08
Time:                        15:41:49   Log-Likelihood:                 222.71
No. Observations:                  30   AIC:                            -433.4
Df Residuals:                      24   BIC:                            -425.0
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0001   4.25e-05     -2.697      0.013      -0.000   -2.69e-05
ofiI_JPM      -0.0001      0.000     -0.515      0.612      -0.001       0.000
ofiI_TSLA      0.0008      0.000      3.670      0.001       0.000       0.001
ofiI_XOM   -2.511e-05      0.000     -0.076      0.940      -0.001       0.001
ofiI_AMGN      0.0005    5.3e-05      8.622      0.000       0.000       0.001
ofiI_AAPL     -0.0003      0.000     -0.727      0.474      -0.001       0.001
==============================================================================
Omnibus:                        2.956   Durbin-Watson:                   2.092
Prob(Omnibus):                  0.228   Jarque-Bera (JB):                1.611
Skew:                          -0.477   Prob(JB):                        0.447
Kurtosis:                       3.614   Cond. No.                         15.8
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const       -0.000362
ofiI_JPM     0.000553
ofiI_TSLA    0.001057
ofiI_XOM    -0.000344
ofiI_AMGN    0.000493
ofiI_AAPL    0.000906
dtype: float64",0.639925243205788,"const        0.004178
ofiI_JPM     0.384587
ofiI_TSLA    0.081000
ofiI_XOM     0.683823
ofiI_AMGN    0.000002
ofiI_AAPL    0.379849
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.640
Model:                            OLS   Adj. R-squared:                  0.565
Method:                 Least Squares   F-statistic:                     8.531
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           9.40e-05
Time:                        15:41:49   Log-Likelihood:                 197.11
No. Observations:                  30   AIC:                            -382.2
Df Residuals:                      24   BIC:                            -373.8
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0004      0.000     -3.165      0.004      -0.001      -0.000
ofiI_JPM       0.0006      0.001      0.886      0.385      -0.001       0.002
ofiI_TSLA      0.0011      0.001      1.822      0.081      -0.000       0.002
ofiI_XOM      -0.0003      0.001     -0.412      0.684      -0.002       0.001
ofiI_AMGN      0.0005   7.93e-05      6.217      0.000       0.000       0.001
ofiI_AAPL      0.0009      0.001      0.895      0.380      -0.001       0.003
==============================================================================
Omnibus:                        0.680   Durbin-Watson:                   1.757
Prob(Omnibus):                  0.712   Jarque-Bera (JB):                0.743
Skew:                          -0.200   Prob(JB):                        0.690
Kurtosis:                       2.341   Cond. No.                         16.6
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const        0.000107
ofiI_JPM     0.000900
ofiI_TSLA    0.000189
ofiI_XOM     0.000470
ofiI_AMGN    0.000390
ofiI_AAPL    0.000415
dtype: float64",0.5814587758885502,"const        0.441034
ofiI_JPM     0.006935
ofiI_TSLA    0.795084
ofiI_XOM     0.446011
ofiI_AMGN    0.000324
ofiI_AAPL    0.550004
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.581
Model:                            OLS   Adj. R-squared:                  0.494
Method:                 Least Squares   F-statistic:                     6.668
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           0.000504
Time:                        15:41:49   Log-Likelihood:                 188.33
No. Observations:                  30   AIC:                            -364.7
Df Residuals:                      24   BIC:                            -356.3
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0001      0.000      0.783      0.441      -0.000       0.000
ofiI_JPM       0.0009      0.000      2.953      0.007       0.000       0.002
ofiI_TSLA      0.0002      0.001      0.263      0.795      -0.001       0.002
ofiI_XOM       0.0005      0.001      0.775      0.446      -0.001       0.002
ofiI_AMGN      0.0004   9.31e-05      4.192      0.000       0.000       0.001
ofiI_AAPL      0.0004      0.001      0.606      0.550      -0.001       0.002
==============================================================================
Omnibus:                        0.560   Durbin-Watson:                   1.834
Prob(Omnibus):                  0.756   Jarque-Bera (JB):                0.153
Skew:                           0.172   Prob(JB):                        0.926
Kurtosis:                       3.064   Cond. No.                         10.4
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const       -0.000087
ofiI_JPM     0.000476
ofiI_TSLA   -0.000320
ofiI_XOM     0.000085
ofiI_AMGN    0.000473
ofiI_AAPL   -0.001821
dtype: float64",0.7016657536663051,"const        0.509765
ofiI_JPM     0.404442
ofiI_TSLA    0.734097
ofiI_XOM     0.970617
ofiI_AMGN    0.000002
ofiI_AAPL    0.307916
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.702
Model:                            OLS   Adj. R-squared:                  0.640
Method:                 Least Squares   F-statistic:                     11.29
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           1.11e-05
Time:                        15:41:49   Log-Likelihood:                 190.22
No. Observations:                  30   AIC:                            -368.4
Df Residuals:                      24   BIC:                            -360.0
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -8.672e-05      0.000     -0.669      0.510      -0.000       0.000
ofiI_JPM       0.0005      0.001      0.849      0.404      -0.001       0.002
ofiI_TSLA     -0.0003      0.001     -0.344      0.734      -0.002       0.002
ofiI_XOM    8.538e-05      0.002      0.037      0.971      -0.005       0.005
ofiI_AMGN      0.0005   7.49e-05      6.310      0.000       0.000       0.001
ofiI_AAPL     -0.0018      0.002     -1.042      0.308      -0.005       0.002
==============================================================================
Omnibus:                        2.706   Durbin-Watson:                   2.848
Prob(Omnibus):                  0.258   Jarque-Bera (JB):                1.719
Skew:                          -0.578   Prob(JB):                        0.423
Kurtosis:                       3.202   Cond. No.                         35.3
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const       -0.000046
ofiI_JPM     0.000595
ofiI_TSLA    0.000215
ofiI_XOM    -0.000085
ofiI_AMGN    0.001064
ofiI_AAPL   -0.000082
dtype: float64",0.6401006890787095,"const        0.730485
ofiI_JPM     0.051416
ofiI_TSLA    0.733632
ofiI_XOM     0.870272
ofiI_AMGN    0.000003
ofiI_AAPL    0.867426
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.640
Model:                            OLS   Adj. R-squared:                  0.565
Method:                 Least Squares   F-statistic:                     8.537
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           9.35e-05
Time:                        15:41:49   Log-Likelihood:                 183.96
No. Observations:                  30   AIC:                            -355.9
Df Residuals:                      24   BIC:                            -347.5
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -4.594e-05      0.000     -0.349      0.730      -0.000       0.000
ofiI_JPM       0.0006      0.000      2.050      0.051   -3.96e-06       0.001
ofiI_TSLA      0.0002      0.001      0.344      0.734      -0.001       0.002
ofiI_XOM   -8.469e-05      0.001     -0.165      0.870      -0.001       0.001
ofiI_AMGN      0.0011      0.000      6.004      0.000       0.001       0.001
ofiI_AAPL  -8.249e-05      0.000     -0.169      0.867      -0.001       0.001
==============================================================================
Omnibus:                        0.006   Durbin-Watson:                   2.279
Prob(Omnibus):                  0.997   Jarque-Bera (JB):                0.158
Skew:                          -0.028   Prob(JB):                        0.924
Kurtosis:                       2.649   Cond. No.                         6.04
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
