,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const       -4.029807e-05
OFI1_JPM     1.229709e-07
OFI1_TSLA    4.422478e-07
OFI1_XOM    -8.316876e-08
OFI1_AMGN    6.287766e-07
OFI1_AAPL   -1.426250e-06
dtype: float64",0.8040106809525827,"const        7.546474e-01
OFI1_JPM     4.070851e-01
OFI1_TSLA    3.239479e-01
OFI1_XOM     9.751596e-01
OFI1_AMGN    2.383360e-09
OFI1_AAPL    2.438446e-01
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.804
Model:                            OLS   Adj. R-squared:                  0.761
Method:                 Least Squares   F-statistic:                     18.87
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           1.84e-07
Time:                        15:41:42   Log-Likelihood:                 174.89
No. Observations:                  29   AIC:                            -337.8
Df Residuals:                      23   BIC:                            -329.6
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       -4.03e-05      0.000     -0.316      0.755      -0.000       0.000
OFI1_JPM     1.23e-07   1.46e-07      0.845      0.407   -1.78e-07    4.24e-07
OFI1_TSLA   4.422e-07   4.39e-07      1.008      0.324   -4.65e-07    1.35e-06
OFI1_XOM   -8.317e-08   2.64e-06     -0.031      0.975   -5.55e-06    5.38e-06
OFI1_AMGN   6.288e-07   6.68e-08      9.409      0.000    4.91e-07    7.67e-07
OFI1_AAPL  -1.426e-06   1.19e-06     -1.196      0.244   -3.89e-06    1.04e-06
==============================================================================
Omnibus:                        5.742   Durbin-Watson:                   2.232
Prob(Omnibus):                  0.057   Jarque-Bera (JB):                6.247
Skew:                           0.196   Prob(JB):                       0.0440
Kurtosis:                       5.240   Cond. No.                     2.02e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.02e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const       -2.542337e-05
OFI1_JPM    -6.721605e-09
OFI1_TSLA   -3.067876e-07
OFI1_XOM    -6.092246e-06
OFI1_AMGN    4.677392e-07
OFI1_AAPL   -9.863551e-08
dtype: float64",0.6824837567116067,"const        0.701775
OFI1_JPM     0.951890
OFI1_TSLA    0.324362
OFI1_XOM     0.469102
OFI1_AMGN    0.000004
OFI1_AAPL    0.858707
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.682
Model:                            OLS   Adj. R-squared:                  0.616
Method:                 Least Squares   F-statistic:                     10.32
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           2.26e-05
Time:                        15:41:42   Log-Likelihood:                 203.75
No. Observations:                  30   AIC:                            -395.5
Df Residuals:                      24   BIC:                            -387.1
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -2.542e-05   6.56e-05     -0.388      0.702      -0.000       0.000
OFI1_JPM   -6.722e-09    1.1e-07     -0.061      0.952   -2.34e-07    2.21e-07
OFI1_TSLA  -3.068e-07   3.05e-07     -1.006      0.324   -9.36e-07    3.22e-07
OFI1_XOM   -6.092e-06   8.28e-06     -0.736      0.469   -2.32e-05     1.1e-05
OFI1_AMGN   4.677e-07   7.92e-08      5.908      0.000    3.04e-07    6.31e-07
OFI1_AAPL  -9.864e-08   5.48e-07     -0.180      0.859   -1.23e-06    1.03e-06
==============================================================================
Omnibus:                        1.305   Durbin-Watson:                   2.832
Prob(Omnibus):                  0.521   Jarque-Bera (JB):                1.249
Skew:                           0.410   Prob(JB):                        0.536
Kurtosis:                       2.429   Cond. No.                     1.02e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.02e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const        5.998090e-05
OFI1_JPM    -4.900783e-08
OFI1_TSLA    9.682525e-09
OFI1_XOM    -9.532196e-07
OFI1_AMGN    2.411417e-07
OFI1_AAPL   -3.909264e-07
dtype: float64",0.3170630885592104,"const        0.444132
OFI1_JPM     0.738433
OFI1_TSLA    0.909534
OFI1_XOM     0.516747
OFI1_AMGN    0.003830
OFI1_AAPL    0.430983
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.317
Model:                            OLS   Adj. R-squared:                  0.175
Method:                 Least Squares   F-statistic:                     2.228
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0844
Time:                        15:41:42   Log-Likelihood:                 199.45
No. Observations:                  30   AIC:                            -386.9
Df Residuals:                      24   BIC:                            -378.5
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       5.998e-05   7.71e-05      0.778      0.444   -9.91e-05       0.000
OFI1_JPM   -4.901e-08   1.45e-07     -0.338      0.738   -3.48e-07     2.5e-07
OFI1_TSLA   9.683e-09   8.43e-08      0.115      0.910   -1.64e-07    1.84e-07
OFI1_XOM   -9.532e-07   1.45e-06     -0.658      0.517   -3.94e-06    2.04e-06
OFI1_AMGN   2.411e-07   7.53e-08      3.201      0.004    8.57e-08    3.97e-07
OFI1_AAPL  -3.909e-07   4.88e-07     -0.801      0.431    -1.4e-06    6.16e-07
==============================================================================
Omnibus:                       11.945   Durbin-Watson:                   2.709
Prob(Omnibus):                  0.003   Jarque-Bera (JB):               12.371
Skew:                           1.081   Prob(JB):                      0.00206
Kurtosis:                       5.285   Cond. No.                     1.24e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.24e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const       -1.698748e-05
OFI1_JPM     1.721597e-08
OFI1_TSLA    1.064072e-08
OFI1_XOM    -1.475312e-06
OFI1_AMGN    1.690840e-07
OFI1_AAPL    1.145112e-08
dtype: float64",0.22660550818547187,"const        0.898068
OFI1_JPM     0.884993
OFI1_TSLA    0.930471
OFI1_XOM     0.621964
OFI1_AMGN    0.059651
OFI1_AAPL    0.980994
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.227
Model:                            OLS   Adj. R-squared:                  0.065
Method:                 Least Squares   F-statistic:                     1.406
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.258
Time:                        15:41:42   Log-Likelihood:                 194.24
No. Observations:                  30   AIC:                            -376.5
Df Residuals:                      24   BIC:                            -368.1
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -1.699e-05      0.000     -0.129      0.898      -0.000       0.000
OFI1_JPM    1.722e-08   1.18e-07      0.146      0.885   -2.26e-07     2.6e-07
OFI1_TSLA   1.064e-08   1.21e-07      0.088      0.930   -2.38e-07     2.6e-07
OFI1_XOM   -1.475e-06   2.95e-06     -0.500      0.622   -7.57e-06    4.62e-06
OFI1_AMGN   1.691e-07   8.55e-08      1.977      0.060   -7.44e-09    3.46e-07
OFI1_AAPL   1.145e-08   4.76e-07      0.024      0.981    -9.7e-07    9.93e-07
==============================================================================
Omnibus:                        3.988   Durbin-Watson:                   2.098
Prob(Omnibus):                  0.136   Jarque-Bera (JB):                2.976
Skew:                           0.236   Prob(JB):                        0.226
Kurtosis:                       4.469   Cond. No.                     2.36e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.36e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const        8.829532e-05
OFI1_JPM     1.329700e-07
OFI1_TSLA   -4.119035e-06
OFI1_XOM    -2.704144e-06
OFI1_AMGN    2.713696e-07
OFI1_AAPL   -5.361266e-07
dtype: float64",0.5337401377579569,"const        0.173973
OFI1_JPM     0.282390
OFI1_TSLA    0.034251
OFI1_XOM     0.293139
OFI1_AMGN    0.000116
OFI1_AAPL    0.181968
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.534
Model:                            OLS   Adj. R-squared:                  0.437
Method:                 Least Squares   F-statistic:                     5.495
Date:                Sat, 11 Jan 2025   Prob (F-statistic):            0.00165
Time:                        15:41:42   Log-Likelihood:                 202.64
No. Observations:                  30   AIC:                            -393.3
Df Residuals:                      24   BIC:                            -384.9
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const        8.83e-05    6.3e-05      1.401      0.174   -4.18e-05       0.000
OFI1_JPM     1.33e-07   1.21e-07      1.100      0.282   -1.17e-07    3.83e-07
OFI1_TSLA  -4.119e-06   1.83e-06     -2.245      0.034   -7.91e-06   -3.32e-07
OFI1_XOM   -2.704e-06   2.52e-06     -1.075      0.293    -7.9e-06    2.49e-06
OFI1_AMGN   2.714e-07   5.91e-08      4.595      0.000    1.49e-07    3.93e-07
OFI1_AAPL  -5.361e-07    3.9e-07     -1.375      0.182   -1.34e-06    2.69e-07
==============================================================================
Omnibus:                        7.178   Durbin-Watson:                   2.522
Prob(Omnibus):                  0.028   Jarque-Bera (JB):                5.468
Skew:                           0.841   Prob(JB):                       0.0650
Kurtosis:                       4.242   Cond. No.                     1.13e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.13e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const        4.466892e-05
OFI1_JPM    -1.865881e-07
OFI1_TSLA    4.816184e-07
OFI1_XOM    -3.797761e-07
OFI1_AMGN    2.450440e-07
OFI1_AAPL   -6.874959e-07
dtype: float64",0.582435774441642,"const        0.324775
OFI1_JPM     0.209347
OFI1_TSLA    0.009141
OFI1_XOM     0.725817
OFI1_AMGN    0.000082
OFI1_AAPL    0.681876
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.582
Model:                            OLS   Adj. R-squared:                  0.495
Method:                 Least Squares   F-statistic:                     6.695
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           0.000491
Time:                        15:41:42   Log-Likelihood:                 211.39
No. Observations:                  30   AIC:                            -410.8
Df Residuals:                      24   BIC:                            -402.4
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       4.467e-05   4.44e-05      1.005      0.325    -4.7e-05       0.000
OFI1_JPM   -1.866e-07   1.45e-07     -1.290      0.209   -4.85e-07    1.12e-07
OFI1_TSLA   4.816e-07    1.7e-07      2.836      0.009    1.31e-07    8.32e-07
OFI1_XOM   -3.798e-07   1.07e-06     -0.355      0.726   -2.59e-06    1.83e-06
OFI1_AMGN    2.45e-07   5.18e-08      4.732      0.000    1.38e-07    3.52e-07
OFI1_AAPL  -6.875e-07   1.66e-06     -0.415      0.682   -4.11e-06    2.73e-06
==============================================================================
Omnibus:                        0.521   Durbin-Watson:                   1.959
Prob(Omnibus):                  0.771   Jarque-Bera (JB):                0.628
Skew:                           0.137   Prob(JB):                        0.731
Kurtosis:                       2.346   Cond. No.                         869.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const       -1.303198e-05
OFI1_JPM    -7.686286e-10
OFI1_TSLA    1.209479e-06
OFI1_XOM    -6.181428e-07
OFI1_AMGN    5.628180e-07
OFI1_AAPL   -1.848435e-06
dtype: float64",0.7531905575065427,"const        8.291575e-01
OFI1_JPM     9.930454e-01
OFI1_TSLA    7.617988e-02
OFI1_XOM     3.469838e-01
OFI1_AMGN    4.243743e-08
OFI1_AAPL    6.349065e-02
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.753
Model:                            OLS   Adj. R-squared:                  0.702
Method:                 Least Squares   F-statistic:                     14.65
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           1.26e-06
Time:                        15:41:42   Log-Likelihood:                 202.77
No. Observations:                  30   AIC:                            -393.5
Df Residuals:                      24   BIC:                            -385.1
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -1.303e-05   5.97e-05     -0.218      0.829      -0.000       0.000
OFI1_JPM   -7.686e-10   8.73e-08     -0.009      0.993   -1.81e-07    1.79e-07
OFI1_TSLA   1.209e-06   6.53e-07      1.853      0.076   -1.37e-07    2.56e-06
OFI1_XOM   -6.181e-07   6.44e-07     -0.959      0.347   -1.95e-06    7.12e-07
OFI1_AMGN   5.628e-07   7.15e-08      7.867      0.000    4.15e-07     7.1e-07
OFI1_AAPL  -1.848e-06    9.5e-07     -1.946      0.063   -3.81e-06    1.12e-07
==============================================================================
Omnibus:                        1.024   Durbin-Watson:                   1.816
Prob(Omnibus):                  0.599   Jarque-Bera (JB):                1.027
Skew:                           0.345   Prob(JB):                        0.598
Kurtosis:                       2.414   Cond. No.                         995.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const        2.015949e-04
OFI1_JPM     2.000151e-07
OFI1_TSLA    5.293902e-07
OFI1_XOM     1.315286e-06
OFI1_AMGN    6.641100e-07
OFI1_AAPL   -3.517750e-08
dtype: float64",0.6511657628382445,"const        5.193912e-02
OFI1_JPM     9.928556e-02
OFI1_TSLA    6.842436e-01
OFI1_XOM     3.900002e-02
OFI1_AMGN    6.542207e-07
OFI1_AAPL    9.489413e-01
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.651
Model:                            OLS   Adj. R-squared:                  0.578
Method:                 Least Squares   F-statistic:                     8.960
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           6.58e-05
Time:                        15:41:42   Log-Likelihood:                 191.06
No. Observations:                  30   AIC:                            -370.1
Df Residuals:                      24   BIC:                            -361.7
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0002   9.86e-05      2.045      0.052   -1.83e-06       0.000
OFI1_JPM        2e-07   1.17e-07      1.715      0.099   -4.07e-08    4.41e-07
OFI1_TSLA   5.294e-07   1.29e-06      0.412      0.684   -2.12e-06    3.18e-06
OFI1_XOM    1.315e-06   6.02e-07      2.184      0.039    7.21e-08    2.56e-06
OFI1_AMGN   6.641e-07   9.94e-08      6.681      0.000    4.59e-07    8.69e-07
OFI1_AAPL  -3.518e-08   5.44e-07     -0.065      0.949   -1.16e-06    1.09e-06
==============================================================================
Omnibus:                        1.157   Durbin-Watson:                   2.330
Prob(Omnibus):                  0.561   Jarque-Bera (JB):                0.305
Skew:                          -0.127   Prob(JB):                        0.858
Kurtosis:                       3.423   Cond. No.                     1.17e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.17e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const        3.244034e-05
OFI1_JPM    -3.238625e-07
OFI1_TSLA   -9.089991e-07
OFI1_XOM     3.805660e-07
OFI1_AMGN    2.793258e-07
OFI1_AAPL   -3.753356e-06
dtype: float64",0.4723824102911871,"const        0.799094
OFI1_JPM     0.488416
OFI1_TSLA    0.711207
OFI1_XOM     0.889379
OFI1_AMGN    0.000579
OFI1_AAPL    0.458200
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.472
Model:                            OLS   Adj. R-squared:                  0.362
Method:                 Least Squares   F-statistic:                     4.297
Date:                Sat, 11 Jan 2025   Prob (F-statistic):            0.00621
Time:                        15:41:42   Log-Likelihood:                 181.67
No. Observations:                  30   AIC:                            -351.3
Df Residuals:                      24   BIC:                            -342.9
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       3.244e-05      0.000      0.257      0.799      -0.000       0.000
OFI1_JPM   -3.239e-07    4.6e-07     -0.704      0.488   -1.27e-06    6.26e-07
OFI1_TSLA   -9.09e-07   2.43e-06     -0.375      0.711   -5.92e-06     4.1e-06
OFI1_XOM    3.806e-07   2.71e-06      0.141      0.889   -5.21e-06    5.97e-06
OFI1_AMGN   2.793e-07   7.05e-08      3.962      0.001    1.34e-07    4.25e-07
OFI1_AAPL  -3.753e-06   4.98e-06     -0.754      0.458    -1.4e-05    6.52e-06
==============================================================================
Omnibus:                        0.787   Durbin-Watson:                   2.150
Prob(Omnibus):                  0.675   Jarque-Bera (JB):                0.408
Skew:                           0.286   Prob(JB):                        0.815
Kurtosis:                       2.982   Cond. No.                     2.54e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.54e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const       -3.955892e-05
OFI1_JPM     2.167827e-07
OFI1_TSLA    1.921662e-06
OFI1_XOM    -2.278239e-06
OFI1_AMGN    2.135971e-07
OFI1_AAPL    6.395835e-07
dtype: float64",0.39158682561379565,"const        0.789419
OFI1_JPM     0.101219
OFI1_TSLA    0.300106
OFI1_XOM     0.209488
OFI1_AMGN    0.004286
OFI1_AAPL    0.588615
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_AMGN   R-squared:                       0.392
Model:                            OLS   Adj. R-squared:                  0.265
Method:                 Least Squares   F-statistic:                     3.089
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0272
Time:                        15:41:42   Log-Likelihood:                 176.08
No. Observations:                  30   AIC:                            -340.2
Df Residuals:                      24   BIC:                            -331.8
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -3.956e-05      0.000     -0.270      0.789      -0.000       0.000
OFI1_JPM    2.168e-07   1.27e-07      1.704      0.101   -4.57e-08    4.79e-07
OFI1_TSLA   1.922e-06   1.81e-06      1.059      0.300   -1.82e-06    5.67e-06
OFI1_XOM   -2.278e-06   1.77e-06     -1.290      0.209   -5.92e-06    1.37e-06
OFI1_AMGN   2.136e-07   6.77e-08      3.155      0.004    7.39e-08    3.53e-07
OFI1_AAPL   6.396e-07   1.17e-06      0.548      0.589   -1.77e-06    3.05e-06
==============================================================================
Omnibus:                        0.933   Durbin-Watson:                   2.776
Prob(Omnibus):                  0.627   Jarque-Bera (JB):                0.897
Skew:                           0.232   Prob(JB):                        0.639
Kurtosis:                       2.291   Cond. No.                     2.37e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.37e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
