,Train_Start,Train_End,Test_Start,Test_End,Out_of_Sample_R2,Target_Stock,Actual,Predicted
0,2024-12-30 09:31:00+00:00,2024-12-30 10:01:00+00:00,2024-12-30 10:01:00+00:00,2024-12-30 10:06:00+00:00,-0.5155108939138502,AAPL,[np.float64(0.0004517465974869239)],[np.float64(5.556825098828764e-05)]
1,2024-12-30 09:32:00+00:00,2024-12-30 10:02:00+00:00,2024-12-30 10:02:00+00:00,2024-12-30 10:07:00+00:00,-0.14853219230556847,AAPL,"[np.float64(0.0004517465974869239), np.float64(0.0004320842238643152)]","[np.float64(5.556825098828764e-05), np.float64(0.00017352630976700476)]"
2,2024-12-30 09:33:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:08:00+00:00,-0.14853219230556847,AAPL,"[np.float64(0.0004517465974869239), np.float64(0.0004320842238643152)]","[np.float64(5.556825098828764e-05), np.float64(0.00017352630976700476)]"
3,2024-12-30 09:34:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:09:00+00:00,-0.14853219230556847,AAPL,"[np.float64(0.0004517465974869239), np.float64(0.0004320842238643152)]","[np.float64(5.556825098828764e-05), np.float64(0.00017352630976700476)]"
4,2024-12-30 09:35:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:10:00+00:00,-0.14853219230556847,AAPL,"[np.float64(0.0004517465974869239), np.float64(0.0004320842238643152)]","[np.float64(5.556825098828764e-05), np.float64(0.00017352630976700476)]"
5,2024-12-30 09:36:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:11:00+00:00,0.955450553145269,AAPL,"[np.float64(0.0004517465974869239), np.float64(0.0004320842238643152), np.float64(0.00043191456616131774)]","[np.float64(0.0004517465974869236), np.float64(0.00041764252833056845), np.float64(0.00032619674520034924)]"
6,2024-12-30 09:37:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:12:00+00:00,0.42126976826385776,AAPL,"[np.float64(0.0004320842238643152), np.float64(0.00043191456616131774), np.float64(0.000569280464517874)]","[np.float64(0.00043208422386431544), np.float64(0.00031791969345174145), np.float64(0.00017868064960084487)]"
7,2024-12-30 09:38:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:13:00+00:00,0.001034557643970202,AAPL,"[np.float64(0.00043191456616131774), np.float64(0.000569280464517874), np.float64(0.0007655840896889643)]","[np.float64(0.00028481958273769063), np.float64(6.55324285572741e-05), np.float64(0.00023994144435667038)]"
8,2024-12-30 09:39:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:14:00+00:00,0.008519518418084848,AAPL,"[np.float64(0.00043191456616131774), np.float64(0.000569280464517874), np.float64(0.0007655840896889643), np.float64(0.000765614148255267)]","[np.float64(0.00025624992269415226), np.float64(7.874372533069647e-05), np.float64(0.0002282631258891121), np.float64(0.00015761226713182651)]"
9,2024-12-30 09:40:00+00:00,2024-12-30 10:10:00+00:00,2024-12-30 10:10:00+00:00,2024-12-30 10:15:00+00:00,0.024778228983869055,AAPL,"[np.float64(0.00043191456616131774), np.float64(0.000569280464517874), np.float64(0.0007655840896889643), np.float64(0.000765614148255267), np.float64(0.0006478655022279511)]","[np.float64(0.00026613310886513305), np.float64(-1.1233802695195745e-05), np.float64(0.00023167421754572917), np.float64(0.0001442383478888682), np.float64(0.0001996363812530668)]"
10,2024-12-30 09:41:00+00:00,2024-12-30 10:11:00+00:00,2024-12-30 10:11:00+00:00,2024-12-30 10:16:00+00:00,-0.1526534274014042,AAPL,"[np.float64(0.00043191456616131774), np.float64(0.000569280464517874), np.float64(0.0007655840896889643), np.float64(0.000765614148255267), np.float64(0.0006478655022279511), np.float64(9.813639003386498e-05)]","[np.float64(0.00043191456616131703), np.float64(-0.0001294056730060256), np.float64(0.00036321790607817396), np.float64(6.670110085671204e-05), np.float64(0.00035901469574910205), np.float64(0.0005554338917632567)]"
11,2024-12-30 09:42:00+00:00,2024-12-30 10:12:00+00:00,2024-12-30 10:12:00+00:00,2024-12-30 10:17:00+00:00,-0.3184751793255092,AAPL,"[np.float64(0.000569280464517874), np.float64(0.0007655840896889643), np.float64(0.000765614148255267), np.float64(0.0006478655022279511), np.float64(9.813639003386498e-05), np.float64(-0.0002355250256229624)]","[np.float64(0.0005692804645178742), np.float64(0.00019222468644819604), np.float64(0.00033839290636469285), np.float64(9.811835770534257e-05), np.float64(0.0007266044985070533), np.float64(0.000415969132715973)]"
12,2024-12-30 09:43:00+00:00,2024-12-30 10:13:00+00:00,2024-12-30 10:13:00+00:00,2024-12-30 10:18:00+00:00,-0.20484785593537103,AAPL,"[np.float64(0.0007655840896889643), np.float64(0.000765614148255267), np.float64(0.0006478655022279511), np.float64(9.813639003386498e-05), np.float64(-0.0002355250256229624), np.float64(-0.00037290364798181486)]","[np.float64(0.0007655840896889648), np.float64(2.473016227636654e-05), np.float64(0.0002708651425956176), np.float64(0.0005174814595413834), np.float64(0.0003053178147382384), np.float64(0.00031806794821478393)]"
13,2024-12-30 09:44:00+00:00,2024-12-30 10:14:00+00:00,2024-12-30 10:14:00+00:00,2024-12-30 10:19:00+00:00,-0.7765685748785636,AAPL,"[np.float64(0.000765614148255267), np.float64(0.0006478655022279511), np.float64(9.813639003386498e-05), np.float64(-0.0002355250256229624), np.float64(-0.00037290364798181486), np.float64(-0.0005299781262717573)]","[np.float64(0.0007656141482552673), np.float64(0.00020818238103325902), np.float64(0.0004567529707034274), np.float64(0.0003069943638646967), np.float64(0.00042898309860611066), np.float64(0.0007895509302037194)]"
14,2024-12-30 09:45:00+00:00,2024-12-30 10:15:00+00:00,2024-12-30 10:15:00+00:00,2024-12-30 10:20:00+00:00,-2.0067808702070526,AAPL,"[np.float64(0.0006478655022279511), np.float64(9.813639003386498e-05), np.float64(-0.0002355250256229624), np.float64(-0.00037290364798181486), np.float64(-0.0005299781262717573), np.float64(-0.00049076865169706)]","[np.float64(0.0006478655022279496), np.float64(0.00043182485382103506), np.float64(0.0002638965563642464), np.float64(0.00047740383073172944), np.float64(0.0009841454450864333), np.float64(0.001263423923860589)]"
15,2024-12-30 09:46:00+00:00,2024-12-30 10:16:00+00:00,2024-12-30 10:16:00+00:00,2024-12-30 10:21:00+00:00,-1.3940313934694086,AAPL,"[np.float64(9.813639003386498e-05), np.float64(-0.0002355250256229624), np.float64(-0.00037290364798181486), np.float64(-0.0005299781262717573), np.float64(-0.00049076865169706), np.float64(-0.0006871570620550216)]","[np.float64(9.813639003386504e-05), np.float64(0.0002565704198758776), np.float64(0.00061465677988317), np.float64(0.000947350109297056), np.float64(0.0010999534495203188), np.float64(0.00042165373301120157)]"
16,2024-12-30 09:47:00+00:00,2024-12-30 10:17:00+00:00,2024-12-30 10:17:00+00:00,2024-12-30 10:22:00+00:00,-1.0844033977381011,AAPL,"[np.float64(-0.0002355250256229624), np.float64(-0.00037290364798181486), np.float64(-0.0005299781262717573), np.float64(-0.00049076865169706), np.float64(-0.0006871570620550216), np.float64(-0.0005694145982895193)]","[np.float64(-0.00023552502562296219), np.float64(0.0007657943395981961), np.float64(0.0007962945161325134), np.float64(0.0010583058035763696), np.float64(0.0002688118498594172), np.float64(0.00040734035269528196)]"
17,2024-12-30 09:48:00+00:00,2024-12-30 10:18:00+00:00,2024-12-30 10:18:00+00:00,2024-12-30 10:23:00+00:00,-2.5207285030285433,AAPL,"[np.float64(-0.00037290364798181486), np.float64(-0.0005299781262717573), np.float64(-0.00049076865169706), np.float64(-0.0006871570620550216), np.float64(-0.0005694145982895193), np.float64(-0.00045159580979792224)]","[np.float64(-0.0003729036479818147), np.float64(0.0012850029484789034), np.float64(0.0017660461213247318), np.float64(-5.256994821832182e-05), np.float64(0.0012221966064421106), np.float64(-0.00013731717274635522)]"
18,2024-12-30 09:49:00+00:00,2024-12-30 10:19:00+00:00,2024-12-30 10:19:00+00:00,2024-12-30 10:24:00+00:00,-2.4683397685584247,AAPL,"[np.float64(-0.0005299781262717573), np.float64(-0.00049076865169706), np.float64(-0.0006871570620550216), np.float64(-0.0005694145982895193), np.float64(-0.00045159580979792224), np.float64(-0.00041239948347282507)]","[np.float64(-0.0005299781262717565), np.float64(0.0017863541121971), np.float64(-0.0005672744650509733), np.float64(0.001426641156077762), np.float64(0.0002947184264666309), np.float64(0.0006873865979000771)]"
19,2024-12-30 09:50:00+00:00,2024-12-30 10:20:00+00:00,2024-12-30 10:20:00+00:00,2024-12-30 10:25:00+00:00,-0.41111707965774413,AAPL,"[np.float64(-0.00049076865169706), np.float64(-0.0006871570620550216), np.float64(-0.0005694145982895193), np.float64(-0.00045159580979792224), np.float64(-0.00041239948347282507), np.float64(-0.00015709685053089117)]","[np.float64(-0.0004907686516970582), np.float64(-0.0005327244951751308), np.float64(0.0004494039809969184), np.float64(0.0002568574596916709), np.float64(0.0010175730466869617), np.float64(-0.00022390475672428277)]"
20,2024-12-30 09:51:00+00:00,2024-12-30 10:21:00+00:00,2024-12-30 10:21:00+00:00,2024-12-30 10:26:00+00:00,-1.3411528475762093,AAPL,"[np.float64(-0.0006871570620550216), np.float64(-0.0005694145982895193), np.float64(-0.00045159580979792224), np.float64(-0.00041239948347282507), np.float64(-0.00015709685053089117), np.float64(-3.928038338152362e-05)]","[np.float64(-0.0006871570620550214), np.float64(0.00044087547604366306), np.float64(0.0003272304146084054), np.float64(0.0009320788608381668), np.float64(-0.00013807957370345312), np.float64(0.0009899451265054926)]"
21,2024-12-30 09:52:00+00:00,2024-12-30 10:22:00+00:00,2024-12-30 10:22:00+00:00,2024-12-30 10:27:00+00:00,-2.6145775665864943,AAPL,"[np.float64(-0.0005694145982895193), np.float64(-0.00045159580979792224), np.float64(-0.00041239948347282507), np.float64(-0.00015709685053089117), np.float64(-3.928038338152362e-05), np.float64(-1.9640770311468714e-05)]","[np.float64(-0.00056941459828952), np.float64(0.0009570504855592585), np.float64(0.0008004376165416055), np.float64(-0.0003459266883943662), np.float64(0.0006446725224649331), np.float64(0.00025768508360925825)]"
22,2024-12-30 09:53:00+00:00,2024-12-30 10:23:00+00:00,2024-12-30 10:23:00+00:00,2024-12-30 10:28:00+00:00,-0.12646158768411064,AAPL,"[np.float64(-0.00045159580979792224), np.float64(-0.00041239948347282507), np.float64(-0.00015709685053089117), np.float64(-3.928038338152362e-05), np.float64(-1.9640770311468714e-05), np.float64(-0.00029462891701292904)]","[np.float64(-0.00045159580979792344), np.float64(9.939483884246609e-05), np.float64(0.0002232569159093868), np.float64(0.0004870794031038543), np.float64(0.00017213326848043535), np.float64(-0.0005966247244018144)]"
23,2024-12-30 09:54:00+00:00,2024-12-30 10:24:00+00:00,2024-12-30 10:24:00+00:00,2024-12-30 10:29:00+00:00,-16.71282499768158,AAPL,"[np.float64(-0.00041239948347282507), np.float64(-0.00015709685053089117), np.float64(-3.928038338152362e-05), np.float64(-1.9640770311468714e-05), np.float64(-0.00029462891701292904), np.float64(-0.00013750429722581003)]","[np.float64(-0.000412399483472825), np.float64(0.00045429729281980876), np.float64(0.0005043126934915663), np.float64(-0.00012859652768008008), np.float64(-0.0008052368803280472), np.float64(-0.002675564612337334)]"
24,2024-12-30 09:55:00+00:00,2024-12-30 10:25:00+00:00,2024-12-30 10:25:00+00:00,2024-12-30 10:30:00+00:00,-51.16336033064814,AAPL,"[np.float64(-0.00015709685053089117), np.float64(-3.928038338152362e-05), np.float64(-1.9640770311468714e-05), np.float64(-0.00029462891701292904), np.float64(-0.00013750429722581003), np.float64(-9.819806557764821e-05)]","[np.float64(-0.000157096850530891), np.float64(0.0006764873477594273), np.float64(-1.0031069720800188e-05), np.float64(-0.0011356625393464225), np.float64(-0.002898764017242784), np.float64(0.0006697907705682251)]"
