,Train_Start,Train_End,Test_Start,Test_End,Out_of_Sample_R2,Actual,Predicted
0,2024-12-30 09:36:00+00:00,2024-12-30 10:18:00+00:00,2024-12-30 10:19:00+00:00,2024-12-30 10:23:00+00:00,-3.092046048079867,"[np.float64(-0.0003423159609718951), np.float64(-0.010958332629874334), np.float64(-0.010266696941400255), np.float64(-0.010266696941400255), np.float64(-0.009940059669183654)]","[np.float64(-0.03314313742884766), np.float64(-0.030403823708136227), np.float64(-0.02047684668229882), np.float64(-0.011200065551086115), np.float64(0.0010195974494344607)]"
1,2024-12-30 09:37:00+00:00,2024-12-30 10:19:00+00:00,2024-12-30 10:20:00+00:00,2024-12-30 10:24:00+00:00,0.49261399631770975,"[np.float64(-0.010958332629874334), np.float64(-0.010266696941400255), np.float64(-0.010266696941400255), np.float64(-0.009940059669183654), np.float64(-0.009940059669183654)]","[np.float64(-0.010915235475767861), np.float64(-0.010047717277392195), np.float64(-0.004663942446101603), np.float64(1.996764764444184e-05), np.float64(0.001527320905029951)]"
2,2024-12-30 09:38:00+00:00,2024-12-30 10:20:00+00:00,2024-12-30 10:21:00+00:00,2024-12-30 10:25:00+00:00,0.3901864910979993,"[np.float64(-0.010266696941400255), np.float64(-0.010266696941400255), np.float64(-0.009940059669183654), np.float64(-0.009940059669183654), np.float64(0.0)]","[np.float64(-0.011615892502771607), np.float64(-0.004910948204597093), np.float64(-0.0019088100612649945), np.float64(0.0013656676331214037), np.float64(-0.0017944511941953235)]"
3,2024-12-30 09:39:00+00:00,2024-12-30 10:21:00+00:00,2024-12-30 10:22:00+00:00,2024-12-30 10:26:00+00:00,-0.2806059628189821,"[np.float64(-0.010266696941400255), np.float64(-0.009940059669183654), np.float64(-0.009940059669183654), np.float64(0.0), np.float64(-0.0006535947945085496)]","[np.float64(-0.0046725290255393345), np.float64(0.00257436699051809), np.float64(0.0018213789570488343), np.float64(-0.0003599539104830381), np.float64(0.0006462632371700187)]"
4,2024-12-30 09:40:00+00:00,2024-12-30 10:22:00+00:00,2024-12-30 10:23:00+00:00,2024-12-30 10:27:00+00:00,-0.4676209464667216,"[np.float64(-0.009940059669183654), np.float64(-0.009940059669183654), np.float64(0.0), np.float64(-0.0006535947945085496), np.float64(0.0)]","[np.float64(-0.0021860244905329523), np.float64(0.0011277123911721213), np.float64(-0.00198037981284995), np.float64(0.0003885446261655172), np.float64(-0.006107961581115757)]"
5,2024-12-30 09:41:00+00:00,2024-12-30 10:23:00+00:00,2024-12-30 10:24:00+00:00,2024-12-30 10:28:00+00:00,-2.3869785273656112,"[np.float64(-0.009940059669183654), np.float64(0.0), np.float64(-0.0006535947945085496), np.float64(0.0), np.float64(-0.0003266372722166011)]","[np.float64(0.00016027794250770633), np.float64(-0.004738456119265693), np.float64(0.0004151332809338446), np.float64(-0.00669325538841066), np.float64(0.00907452931318119)]"
6,2024-12-30 09:42:00+00:00,2024-12-30 10:24:00+00:00,2024-12-30 10:25:00+00:00,2024-12-30 10:29:00+00:00,-12.334424606687968,"[np.float64(0.0), np.float64(-0.0006535947945085496), np.float64(0.0), np.float64(-0.0003266372722166011), np.float64(-0.0009802320667251507)]","[np.float64(-0.004475827861539245), np.float64(-0.0006940358760298988), np.float64(-0.006120338848143625), np.float64(0.0063621874396654786), np.float64(-0.01235553110783149)]"
7,2024-12-30 09:43:00+00:00,2024-12-30 10:25:00+00:00,2024-12-30 10:26:00+00:00,2024-12-30 10:30:00+00:00,-36.31086094769612,"[np.float64(-0.0006535947945085496), np.float64(0.0), np.float64(-0.0003266372722166011), np.float64(-0.0009802320667251507), np.float64(-0.001635858372326382)]","[np.float64(-0.000984853625082568), np.float64(-0.0058043944380679864), np.float64(0.001407993487400065), np.float64(-0.012646987417758599), np.float64(-0.021139714966566574)]"
8,2024-12-30 09:44:00+00:00,2024-12-30 10:26:00+00:00,2024-12-30 10:27:00+00:00,2024-12-30 10:31:00+00:00,-83.37111981607895,"[np.float64(0.0), np.float64(-0.0003266372722166011), np.float64(-0.0009802320667251507), np.float64(-0.001635858372326382), np.float64(-0.0013084725452081614)]","[np.float64(-0.006883014900044063), np.float64(-0.018769001403489027), np.float64(-0.015209264366613181), np.float64(-0.027469820861888983), np.float64(-0.008124329567418695)]"
9,2024-12-30 09:45:00+00:00,2024-12-30 10:27:00+00:00,2024-12-30 10:28:00+00:00,2024-12-30 10:32:00+00:00,-125.40210150166205,"[np.float64(-0.0003266372722166011), np.float64(-0.0009802320667251507), np.float64(-0.001635858372326382), np.float64(-0.0013084725452081614), np.float64(-0.0022894531668349316)]","[np.float64(-0.018269298630993663), np.float64(-0.012724160293169865), np.float64(-0.025586763904094822), np.float64(-0.008124329713297452), np.float64(-0.011764822022263366)]"
10,2024-12-30 09:46:00+00:00,2024-12-30 10:28:00+00:00,2024-12-30 10:29:00+00:00,2024-12-30 10:33:00+00:00,-7.866353999341445,"[np.float64(-0.0009802320667251507), np.float64(-0.001635858372326382), np.float64(-0.0013084725452081614), np.float64(-0.0022894531668349316), np.float64(0.007543015432842637)]","[np.float64(-0.010279808852240096), np.float64(-0.020753282171538514), np.float64(-0.007829421566816958), np.float64(-0.011692253666740482), np.float64(-0.011285328946647619)]"
11,2024-12-30 09:47:00+00:00,2024-12-30 10:29:00+00:00,2024-12-30 10:30:00+00:00,2024-12-30 10:34:00+00:00,-3.548120790688433,"[np.float64(-0.001635858372326382), np.float64(-0.0013084725452081614), np.float64(-0.0022894531668349316), np.float64(0.007543015432842637), np.float64(0.008196610227351186)]","[np.float64(-0.01958394558148567), np.float64(-0.007682364591673727), np.float64(-0.008589033403814176), np.float64(-0.007816079768191111), np.float64(-0.010914729120131906)]"
12,2024-12-30 09:48:00+00:00,2024-12-30 10:30:00+00:00,2024-12-30 10:31:00+00:00,2024-12-30 10:35:00+00:00,-0.9183830687058516,"[np.float64(-0.0013084725452081614), np.float64(-0.0022894531668349316), np.float64(0.007543015432842637), np.float64(0.008196610227351186), np.float64(0.009832468599677568)]","[np.float64(-0.004443185236136389), np.float64(-0.0071057397394406405), np.float64(-0.0069249055886948), np.float64(-0.00554724568392214), np.float64(-0.00740820845148322)]"
13,2024-12-30 09:49:00+00:00,2024-12-30 10:31:00+00:00,2024-12-30 10:32:00+00:00,2024-12-30 10:37:00+00:00,-0.5179734409774088,"[np.float64(-0.0022894531668349316), np.float64(0.007543015432842637), np.float64(0.008196610227351186), np.float64(0.009832468599677568), np.float64(0.009791132146631298)]","[np.float64(-0.007768201562035568), np.float64(-0.005636377608840795), np.float64(-0.005405338383422713), np.float64(-0.00652287317116089), np.float64(-0.00299675456154284)]"
14,2024-12-30 09:50:00+00:00,2024-12-30 10:32:00+00:00,2024-12-30 10:33:00+00:00,2024-12-30 10:38:00+00:00,-0.23459395863674493,"[np.float64(0.007543015432842637), np.float64(0.008196610227351186), np.float64(0.009832468599677568), np.float64(0.009791132146631298), np.float64(0.009832468599677568)]","[np.float64(-0.002952839975067713), np.float64(-0.005107718671146849), np.float64(-0.00565184240879533), np.float64(-0.0012259514870569272), np.float64(-0.005304799776879756)]"
15,2024-12-30 09:51:00+00:00,2024-12-30 10:33:00+00:00,2024-12-30 10:34:00+00:00,2024-12-30 10:39:00+00:00,-0.12332009439142166,"[np.float64(0.008196610227351186), np.float64(0.009832468599677568), np.float64(0.009791132146631298), np.float64(0.009832468599677568), np.float64(-0.0003242882378557965)]","[np.float64(-0.005123734011849739), np.float64(-0.0037160282239087103), np.float64(0.004300507548046296), np.float64(-0.006492666117254964), np.float64(0.000973683818731615)]"
