,Train_Start,Train_End,Test_Start,Test_End,Out_of_Sample_R2,Actual,Predicted
0,2024-12-30 09:36:00+00:00,2024-12-30 10:18:00+00:00,2024-12-30 10:19:00+00:00,2024-12-30 10:23:00+00:00,-0.6217983318613107,"[np.float64(-0.0003423159609718951), np.float64(-0.010958332629874334), np.float64(-0.010266696941400255), np.float64(-0.010266696941400255), np.float64(-0.009940059669183654)]","[np.float64(-0.018147629792998346), np.float64(-0.0037940570010030175), np.float64(-0.012153267957898856), np.float64(-0.0015909213608454207), np.float64(0.004836722771543106)]"
1,2024-12-30 09:37:00+00:00,2024-12-30 10:19:00+00:00,2024-12-30 10:20:00+00:00,2024-12-30 10:24:00+00:00,-1.1703645397753832,"[np.float64(-0.010958332629874334), np.float64(-0.010266696941400255), np.float64(-0.010266696941400255), np.float64(-0.009940059669183654), np.float64(-0.009940059669183654)]","[np.float64(0.0015120196231704457), np.float64(0.007456194996228597), np.float64(0.0012383248016294753), np.float64(0.008425205729072752), np.float64(0.0035533124983713952)]"
2,2024-12-30 09:38:00+00:00,2024-12-30 10:20:00+00:00,2024-12-30 10:21:00+00:00,2024-12-30 10:25:00+00:00,-0.8751506069757269,"[np.float64(-0.010266696941400255), np.float64(-0.010266696941400255), np.float64(-0.009940059669183654), np.float64(-0.009940059669183654), np.float64(0.0)]","[np.float64(0.003729251630954225), np.float64(-0.0015836677693369832), np.float64(0.005773951414466374), np.float64(0.0033203529531026696), np.float64(0.0010139517779871802)]"
3,2024-12-30 09:39:00+00:00,2024-12-30 10:21:00+00:00,2024-12-30 10:22:00+00:00,2024-12-30 10:26:00+00:00,-4.66128428732296,"[np.float64(-0.010266696941400255), np.float64(-0.009940059669183654), np.float64(-0.009940059669183654), np.float64(0.0), np.float64(-0.0006535947945085496)]","[np.float64(-0.0025160577886218605), np.float64(0.02384766948744322), np.float64(0.004768223676350528), np.float64(0.005453816367849365), np.float64(0.0009292660393930834)]"
4,2024-12-30 09:40:00+00:00,2024-12-30 10:22:00+00:00,2024-12-30 10:23:00+00:00,2024-12-30 10:27:00+00:00,-6.399791717595472,"[np.float64(-0.009940059669183654), np.float64(-0.009940059669183654), np.float64(0.0), np.float64(-0.0006535947945085496), np.float64(0.0)]","[np.float64(0.020094706594805882), np.float64(0.004015078087135918), np.float64(0.00457049309606624), np.float64(0.0009726763477772699), np.float64(-0.003710288390426299)]"
5,2024-12-30 09:41:00+00:00,2024-12-30 10:23:00+00:00,2024-12-30 10:24:00+00:00,2024-12-30 10:28:00+00:00,-4.068112633603135,"[np.float64(-0.009940059669183654), np.float64(0.0), np.float64(-0.0006535947945085496), np.float64(0.0), np.float64(-0.0003266372722166011)]","[np.float64(0.0010465718606132242), np.float64(-0.0018370767432447314), np.float64(0.0006452705405096753), np.float64(-0.003976968098060604), np.float64(0.015346973123568974)]"
6,2024-12-30 09:42:00+00:00,2024-12-30 10:24:00+00:00,2024-12-30 10:25:00+00:00,2024-12-30 10:29:00+00:00,-1.3006745695577524,"[np.float64(0.0), np.float64(-0.0006535947945085496), np.float64(0.0), np.float64(-0.0003266372722166011), np.float64(-0.0009802320667251507)]","[np.float64(-0.002300287311969881), np.float64(0.0002847796985394155), np.float64(-0.0042507135228069285), np.float64(0.0027543493292865213), np.float64(-0.0034766068336377744)]"
7,2024-12-30 09:43:00+00:00,2024-12-30 10:25:00+00:00,2024-12-30 10:26:00+00:00,2024-12-30 10:30:00+00:00,-4.0389813026406545,"[np.float64(-0.0006535947945085496), np.float64(0.0), np.float64(-0.0003266372722166011), np.float64(-0.0009802320667251507), np.float64(-0.001635858372326382)]","[np.float64(4.4433748772468914e-05), np.float64(-0.004271466614390649), np.float64(-0.0012333977781675623), np.float64(-0.003805337591328868), np.float64(-0.008505532231721145)]"
8,2024-12-30 09:44:00+00:00,2024-12-30 10:26:00+00:00,2024-12-30 10:27:00+00:00,2024-12-30 10:31:00+00:00,-188.22570580149247,"[np.float64(0.0), np.float64(-0.0003266372722166011), np.float64(-0.0009802320667251507), np.float64(-0.001635858372326382), np.float64(-0.0013084725452081614)]","[np.float64(-0.004819059962201888), np.float64(-0.050799700810921146), np.float64(-0.008392697242513545), np.float64(-0.018386804936361575), np.float64(-0.005535505149037535)]"
9,2024-12-30 09:45:00+00:00,2024-12-30 10:27:00+00:00,2024-12-30 10:28:00+00:00,2024-12-30 10:32:00+00:00,-424.9921145132314,"[np.float64(-0.0003266372722166011), np.float64(-0.0009802320667251507), np.float64(-0.001635858372326382), np.float64(-0.0013084725452081614), np.float64(-0.0022894531668349316)]","[np.float64(-0.05958375541381559), np.float64(-0.008916715022783775), np.float64(-0.019726731675416914), np.float64(-0.005913592157765808), np.float64(-0.0066840023821130475)]"
10,2024-12-30 09:46:00+00:00,2024-12-30 10:28:00+00:00,2024-12-30 10:29:00+00:00,2024-12-30 10:33:00+00:00,-2.1620552238920268,"[np.float64(-0.0009802320667251507), np.float64(-0.001635858372326382), np.float64(-0.0013084725452081614), np.float64(-0.0022894531668349316), np.float64(0.007543015432842637)]","[np.float64(-0.0035959046008578483), np.float64(-0.00823487411097807), np.float64(-0.003809996001524131), np.float64(-0.007303622054116665), np.float64(-0.00834791640478211)]"
11,2024-12-30 09:47:00+00:00,2024-12-30 10:29:00+00:00,2024-12-30 10:30:00+00:00,2024-12-30 10:34:00+00:00,-1.6377184569807386,"[np.float64(-0.001635858372326382), np.float64(-0.0013084725452081614), np.float64(-0.0022894531668349316), np.float64(0.007543015432842637), np.float64(0.008196610227351186)]","[np.float64(-0.008136861538370054), np.float64(-0.0036821910157426325), np.float64(-0.00692839595602687), np.float64(-0.008111516860570146), np.float64(-0.008160597685088672)]"
12,2024-12-30 09:48:00+00:00,2024-12-30 10:30:00+00:00,2024-12-30 10:31:00+00:00,2024-12-30 10:35:00+00:00,-0.8995052389470659,"[np.float64(-0.0013084725452081614), np.float64(-0.0022894531668349316), np.float64(0.007543015432842637), np.float64(0.008196610227351186), np.float64(0.009832468599677568)]","[np.float64(-0.00356425649964222), np.float64(-0.006039859200134889), np.float64(-0.007274061475525523), np.float64(-0.0072340124662620695), np.float64(-0.0058042102083003515)]"
13,2024-12-30 09:49:00+00:00,2024-12-30 10:31:00+00:00,2024-12-30 10:32:00+00:00,2024-12-30 10:37:00+00:00,-0.5320176767581424,"[np.float64(-0.0022894531668349316), np.float64(0.007543015432842637), np.float64(0.008196610227351186), np.float64(0.009832468599677568), np.float64(0.009791132146631298)]","[np.float64(-0.0060617510726213705), np.float64(-0.006899694814399281), np.float64(-0.007164449548690131), np.float64(-0.0056638465712126355), np.float64(-0.0015410176155432004)]"
14,2024-12-30 09:50:00+00:00,2024-12-30 10:32:00+00:00,2024-12-30 10:33:00+00:00,2024-12-30 10:38:00+00:00,-0.6795458657659357,"[np.float64(0.007543015432842637), np.float64(0.008196610227351186), np.float64(0.009832468599677568), np.float64(0.009791132146631298), np.float64(0.009832468599677568)]","[np.float64(-0.006377213504330039), np.float64(-0.006725382332370886), np.float64(-0.00540985471635429), np.float64(-0.0007044725078165235), np.float64(-0.011018298897264082)]"
15,2024-12-30 09:51:00+00:00,2024-12-30 10:33:00+00:00,2024-12-30 10:34:00+00:00,2024-12-30 10:39:00+00:00,-0.35580203554099854,"[np.float64(0.008196610227351186), np.float64(0.009832468599677568), np.float64(0.009791132146631298), np.float64(0.009832468599677568), np.float64(-0.0003242882378557965)]","[np.float64(-0.005429379749706725), np.float64(-0.0034761522883508503), np.float64(0.0027308609175300765), np.float64(-0.008970391074457865), np.float64(-0.005765689843809927)]"
16,2024-12-30 09:52:00+00:00,2024-12-30 10:34:00+00:00,2024-12-30 10:35:00+00:00,2024-12-30 10:40:00+00:00,-0.39699997777982876,"[np.float64(0.009832468599677568), np.float64(0.009791132146631298), np.float64(0.009832468599677568), np.float64(-0.0003242882378557965), np.float64(-0.0003242882378557965)]","[np.float64(-0.00342123755645898), np.float64(0.0028384906502278953), np.float64(-0.005752370364772534), np.float64(0.012436433344543134), np.float64(-0.00224684342603834)]"
17,2024-12-30 09:54:00+00:00,2024-12-30 10:35:00+00:00,2024-12-30 10:37:00+00:00,2024-12-30 10:41:00+00:00,-0.44873131286990153,"[np.float64(0.009791132146631298), np.float64(0.009832468599677568), np.float64(-0.0003242882378557965), np.float64(-0.0003242882378557965), np.float64(-0.0003242882378557965)]","[np.float64(0.003496483746587664), np.float64(-0.00431652881347864), np.float64(0.012756336646669295), np.float64(-0.0017878002274023756), np.float64(0.002511123807944003)]"
18,2024-12-30 09:57:00+00:00,2024-12-30 10:37:00+00:00,2024-12-30 10:38:00+00:00,2024-12-30 10:43:00+00:00,-42.61230490072937,"[np.float64(0.009832468599677568), np.float64(-0.0003242882378557965), np.float64(-0.0003242882378557965), np.float64(-0.0003242882378557965), np.float64(-0.0006294166659888134)]","[np.float64(-0.005747037556096973), np.float64(0.07295469772290362), np.float64(0.0034335188645040543), np.float64(0.016614264299277218), np.float64(0.0013136945539612178)]"
