,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const    0.041448
ofiI    -0.113773
dtype: float64",0.019873138314773442,"const    0.274201
ofiI     0.511152
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.020
Model:                            OLS   Adj. R-squared:                 -0.025
Method:                 Least Squares   F-statistic:                    0.4461
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.511
Time:                        23:34:38   Log-Likelihood:                 10.688
No. Observations:                  24   AIC:                            -17.38
Df Residuals:                      22   BIC:                            -15.02
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0414      0.037      1.121      0.274      -0.035       0.118
ofiI          -0.1138      0.170     -0.668      0.511      -0.467       0.240
==============================================================================
Omnibus:                       47.373   Durbin-Watson:                   2.375
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              218.439
Skew:                           3.508   Prob(JB):                     3.69e-48
Kurtosis:                      16.008   Cond. No.                         5.21
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const   -0.000115
ofiI     0.001181
dtype: float64",0.020200199181081846,"const    0.696522
ofiI     0.497957
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.020
Model:                            OLS   Adj. R-squared:                 -0.022
Method:                 Least Squares   F-statistic:                    0.4742
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.498
Time:                        23:34:38   Log-Likelihood:                 132.67
No. Observations:                  25   AIC:                            -261.3
Df Residuals:                      23   BIC:                            -258.9
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0001      0.000     -0.395      0.697      -0.001       0.000
ofiI           0.0012      0.002      0.689      0.498      -0.002       0.005
==============================================================================
Omnibus:                       12.028   Durbin-Watson:                   2.185
Prob(Omnibus):                  0.002   Jarque-Bera (JB):               33.464
Skew:                          -0.023   Prob(JB):                     5.41e-08
Kurtosis:                       8.668   Cond. No.                         6.91
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const   -0.000612
ofiI     0.000498
dtype: float64",0.014090803564060339,"const    0.306774
ofiI     0.598790
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.014
Model:                            OLS   Adj. R-squared:                 -0.035
Method:                 Least Squares   F-statistic:                    0.2858
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.599
Time:                        23:34:38   Log-Likelihood:                 100.74
No. Observations:                  22   AIC:                            -197.5
Df Residuals:                      20   BIC:                            -195.3
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0006      0.001     -1.049      0.307      -0.002       0.001
ofiI           0.0005      0.001      0.535      0.599      -0.001       0.002
==============================================================================
Omnibus:                       40.794   Durbin-Watson:                   2.221
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              123.014
Skew:                          -3.241   Prob(JB):                     1.94e-27
Kurtosis:                      12.602   Cond. No.                         1.77
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const    0.000372
ofiI     0.000585
dtype: float64",0.04570809231889339,"const    0.340243
ofiI     0.274654
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.046
Model:                            OLS   Adj. R-squared:                  0.009
Method:                 Least Squares   F-statistic:                     1.245
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.275
Time:                        23:34:38   Log-Likelihood:                 136.49
No. Observations:                  28   AIC:                            -269.0
Df Residuals:                      26   BIC:                            -266.3
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0004      0.000      0.972      0.340      -0.000       0.001
ofiI           0.0006      0.001      1.116      0.275      -0.000       0.002
==============================================================================
Omnibus:                       64.301   Durbin-Watson:                   2.137
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              596.740
Skew:                           4.656   Prob(JB):                    2.63e-130
Kurtosis:                      23.610   Cond. No.                         1.59
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const   -3.495731e-06
ofiI     3.282051e-07
dtype: float64",4.8550228920474225e-06,"const    0.436151
ofiI     0.992235
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.000
Model:                            OLS   Adj. R-squared:                 -0.050
Method:                 Least Squares   F-statistic:                 9.710e-05
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.992
Time:                        23:34:38   Log-Likelihood:                 211.86
No. Observations:                  22   AIC:                            -419.7
Df Residuals:                      20   BIC:                            -417.5
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -3.496e-06    4.4e-06     -0.795      0.436   -1.27e-05    5.68e-06
ofiI        3.282e-07   3.33e-05      0.010      0.992   -6.91e-05    6.98e-05
==============================================================================
Omnibus:                       55.867   Durbin-Watson:                   1.047
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              336.237
Skew:                          -4.364   Prob(JB):                     9.71e-74
Kurtosis:                      20.047   Cond. No.                         9.42
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const   -0.000145
ofiI     0.001019
dtype: float64",0.9298136380485854,"const    7.419550e-13
ofiI     6.185616e-16
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.930
Model:                            OLS   Adj. R-squared:                  0.927
Method:                 Least Squares   F-statistic:                     331.2
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           6.19e-16
Time:                        23:34:38   Log-Likelihood:                 233.59
No. Observations:                  27   AIC:                            -463.2
Df Residuals:                      25   BIC:                            -460.6
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0001   1.09e-05    -13.321      0.000      -0.000      -0.000
ofiI           0.0010    5.6e-05     18.199      0.000       0.001       0.001
==============================================================================
Omnibus:                        2.446   Durbin-Watson:                   1.744
Prob(Omnibus):                  0.294   Jarque-Bera (JB):                1.158
Skew:                          -0.098   Prob(JB):                        0.561
Kurtosis:                       3.996   Cond. No.                         6.72
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const   -0.000053
ofiI     0.001031
dtype: float64",0.0053579097543875465,"const    0.926731
ofiI     0.733926
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.005
Model:                            OLS   Adj. R-squared:                 -0.040
Method:                 Least Squares   F-statistic:                    0.1185
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.734
Time:                        23:34:38   Log-Likelihood:                 117.13
No. Observations:                  24   AIC:                            -230.3
Df Residuals:                      22   BIC:                            -227.9
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       -5.29e-05      0.001     -0.093      0.927      -0.001       0.001
ofiI           0.0010      0.003      0.344      0.734      -0.005       0.007
==============================================================================
Omnibus:                       14.726   Durbin-Watson:                   2.816
Prob(Omnibus):                  0.001   Jarque-Bera (JB):               54.459
Skew:                           0.214   Prob(JB):                     1.49e-12
Kurtosis:                      10.367   Cond. No.                         7.79
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const   -0.001401
ofiI     0.009703
dtype: float64",0.25284366579605777,"const    0.037528
ofiI     0.005434
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.253
Model:                            OLS   Adj. R-squared:                  0.225
Method:                 Least Squares   F-statistic:                     9.137
Date:                Wed, 08 Jan 2025   Prob (F-statistic):            0.00543
Time:                        23:34:38   Log-Likelihood:                 133.13
No. Observations:                  29   AIC:                            -262.3
Df Residuals:                      27   BIC:                            -259.5
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0014      0.001     -2.188      0.038      -0.003    -8.7e-05
ofiI           0.0097      0.003      3.023      0.005       0.003       0.016
==============================================================================
Omnibus:                       12.252   Durbin-Watson:                   3.134
Prob(Omnibus):                  0.002   Jarque-Bera (JB):               32.350
Skew:                           0.356   Prob(JB):                     9.44e-08
Kurtosis:                       8.125   Cond. No.                         6.92
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const   -0.005523
ofiI     0.054854
dtype: float64",0.5979755022907187,"const    0.063646
ofiI     0.003177
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.598
Model:                            OLS   Adj. R-squared:                  0.558
Method:                 Least Squares   F-statistic:                     14.87
Date:                Wed, 08 Jan 2025   Prob (F-statistic):            0.00318
Time:                        23:34:38   Log-Likelihood:                 46.292
No. Observations:                  12   AIC:                            -88.58
Df Residuals:                      10   BIC:                            -87.61
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0055      0.003     -2.085      0.064      -0.011       0.000
ofiI           0.0549      0.014      3.857      0.003       0.023       0.087
==============================================================================
Omnibus:                       12.040   Durbin-Watson:                   0.769
Prob(Omnibus):                  0.002   Jarque-Bera (JB):                6.776
Skew:                           1.533   Prob(JB):                       0.0338
Kurtosis:                       5.036   Cond. No.                         9.00
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const   -0.006009
ofiI     0.033089
dtype: float64",0.7088124849351469,"const    0.000051
ofiI     0.000002
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.709
Model:                            OLS   Adj. R-squared:                  0.693
Method:                 Least Squares   F-statistic:                     46.25
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           1.71e-06
Time:                        23:34:38   Log-Likelihood:                 84.584
No. Observations:                  21   AIC:                            -165.2
Df Residuals:                      19   BIC:                            -163.1
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0060      0.001     -5.198      0.000      -0.008      -0.004
ofiI           0.0331      0.005      6.801      0.000       0.023       0.043
==============================================================================
Omnibus:                        6.266   Durbin-Watson:                   2.053
Prob(Omnibus):                  0.044   Jarque-Bera (JB):                3.868
Skew:                          -0.872   Prob(JB):                        0.145
Kurtosis:                       4.173   Cond. No.                         5.00
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
