,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const    0.024941
OFI1    -0.000082
dtype: float64",0.028524425685389043,"const    0.465695
OFI1     0.430159
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.029
Model:                            OLS   Adj. R-squared:                 -0.016
Method:                 Least Squares   F-statistic:                    0.6460
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.430
Time:                        10:40:48   Log-Likelihood:                 10.794
No. Observations:                  24   AIC:                            -17.59
Df Residuals:                      22   BIC:                            -15.23
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0249      0.034      0.742      0.466      -0.045       0.095
OFI1       -8.151e-05      0.000     -0.804      0.430      -0.000       0.000
==============================================================================
Omnibus:                       47.949   Durbin-Watson:                   2.388
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              230.961
Skew:                           3.532   Prob(JB):                     7.04e-51
Kurtosis:                      16.456   Cond. No.                         338.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const   -1.474229e-05
OFI1    -2.793213e-08
dtype: float64",2.534230879902566e-05,"const    0.956027
OFI1     0.980947
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.000
Model:                            OLS   Adj. R-squared:                 -0.043
Method:                 Least Squares   F-statistic:                 0.0005829
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.981
Time:                        10:40:48   Log-Likelihood:                 132.41
No. Observations:                  25   AIC:                            -260.8
Df Residuals:                      23   BIC:                            -258.4
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -1.474e-05      0.000     -0.056      0.956      -0.001       0.001
OFI1       -2.793e-08   1.16e-06     -0.024      0.981   -2.42e-06    2.37e-06
==============================================================================
Omnibus:                       12.721   Durbin-Watson:                   2.176
Prob(Omnibus):                  0.002   Jarque-Bera (JB):               38.794
Skew:                          -0.043   Prob(JB):                     3.77e-09
Kurtosis:                       9.102   Cond. No.                         239.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const   -5.223717e-04
OFI1     3.984553e-07
dtype: float64",0.02102837213586095,"const    0.410174
OFI1     0.519654
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.021
Model:                            OLS   Adj. R-squared:                 -0.028
Method:                 Least Squares   F-statistic:                    0.4296
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.520
Time:                        10:40:48   Log-Likelihood:                 100.82
No. Observations:                  22   AIC:                            -197.6
Df Residuals:                      20   BIC:                            -195.5
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0005      0.001     -0.841      0.410      -0.002       0.001
OFI1        3.985e-07   6.08e-07      0.655      0.520    -8.7e-07    1.67e-06
==============================================================================
Omnibus:                       40.311   Durbin-Watson:                   2.242
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              118.901
Skew:                          -3.208   Prob(JB):                     1.52e-26
Kurtosis:                      12.410   Cond. No.                     1.15e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.15e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const    5.038698e-04
OFI1     5.885359e-07
dtype: float64",0.0800787523621358,"const    0.217317
OFI1     0.144524
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.080
Model:                            OLS   Adj. R-squared:                  0.045
Method:                 Least Squares   F-statistic:                     2.263
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.145
Time:                        10:40:48   Log-Likelihood:                 137.01
No. Observations:                  28   AIC:                            -270.0
Df Residuals:                      26   BIC:                            -267.3
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0005      0.000      1.264      0.217      -0.000       0.001
OFI1        5.885e-07   3.91e-07      1.504      0.145   -2.16e-07    1.39e-06
==============================================================================
Omnibus:                       64.651   Durbin-Watson:                   2.155
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              609.854
Skew:                           4.684   Prob(JB):                    3.73e-133
Kurtosis:                      23.856   Cond. No.                     1.14e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.14e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const   -3.453331e-06
OFI1     8.635512e-09
dtype: float64",0.0004793804958772574,"const    0.343512
OFI1     0.922955
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.000
Model:                            OLS   Adj. R-squared:                 -0.049
Method:                 Least Squares   F-statistic:                  0.009592
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.923
Time:                        10:40:48   Log-Likelihood:                 211.87
No. Observations:                  22   AIC:                            -419.7
Df Residuals:                      20   BIC:                            -417.6
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -3.453e-06   3.56e-06     -0.970      0.344   -1.09e-05    3.97e-06
OFI1        8.636e-09   8.82e-08      0.098      0.923   -1.75e-07    1.93e-07
==============================================================================
Omnibus:                       55.829   Durbin-Watson:                   1.047
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              335.538
Skew:                          -4.361   Prob(JB):                     1.38e-73
Kurtosis:                      20.029   Cond. No.                         40.4
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const   -4.815939e-06
OFI1     5.509005e-07
dtype: float64",0.8549259394422015,"const    6.971508e-01
OFI1     5.621406e-12
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.855
Model:                            OLS   Adj. R-squared:                  0.849
Method:                 Least Squares   F-statistic:                     147.3
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           5.62e-12
Time:                        10:40:48   Log-Likelihood:                 223.79
No. Observations:                  27   AIC:                            -443.6
Df Residuals:                      25   BIC:                            -441.0
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -4.816e-06   1.22e-05     -0.394      0.697      -3e-05    2.04e-05
OFI1        5.509e-07   4.54e-08     12.138      0.000    4.57e-07    6.44e-07
==============================================================================
Omnibus:                       24.231   Durbin-Watson:                   2.086
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               46.141
Skew:                           1.798   Prob(JB):                     9.56e-11
Kurtosis:                       8.300   Cond. No.                         271.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const    0.000039
OFI1     0.000004
dtype: float64",0.04186870131367049,"const    0.921515
OFI1     0.337504
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.042
Model:                            OLS   Adj. R-squared:                 -0.002
Method:                 Least Squares   F-statistic:                    0.9614
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.338
Time:                        10:40:48   Log-Likelihood:                 117.58
No. Observations:                  24   AIC:                            -231.2
Df Residuals:                      22   BIC:                            -228.8
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       3.866e-05      0.000      0.100      0.922      -0.001       0.001
OFI1        3.576e-06   3.65e-06      0.980      0.338   -3.99e-06    1.11e-05
==============================================================================
Omnibus:                       13.521   Durbin-Watson:                   2.770
Prob(Omnibus):                  0.001   Jarque-Bera (JB):               44.460
Skew:                           0.086   Prob(JB):                     2.22e-10
Kurtosis:                       9.666   Cond. No.                         107.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const   -0.000052
OFI1     0.000006
dtype: float64",0.026268071565435203,"const    0.924056
OFI1     0.400920
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.026
Model:                            OLS   Adj. R-squared:                 -0.010
Method:                 Least Squares   F-statistic:                    0.7284
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.401
Time:                        10:40:48   Log-Likelihood:                 129.29
No. Observations:                  29   AIC:                            -254.6
Df Residuals:                      27   BIC:                            -251.8
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -5.212e-05      0.001     -0.096      0.924      -0.001       0.001
OFI1        6.476e-06   7.59e-06      0.853      0.401   -9.09e-06     2.2e-05
==============================================================================
Omnibus:                       21.420   Durbin-Watson:                   3.079
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               78.690
Skew:                           1.053   Prob(JB):                     8.18e-18
Kurtosis:                      10.790   Cond. No.                         71.7
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const    0.001220
OFI1     0.000097
dtype: float64",0.812644719578894,"const    0.302345
OFI1     0.000062
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.813
Model:                            OLS   Adj. R-squared:                  0.794
Method:                 Least Squares   F-statistic:                     43.37
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           6.19e-05
Time:                        10:40:48   Log-Likelihood:                 50.873
No. Observations:                  12   AIC:                            -97.75
Df Residuals:                      10   BIC:                            -96.78
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0012      0.001      1.087      0.302      -0.001       0.004
OFI1         9.71e-05   1.47e-05      6.586      0.000    6.43e-05       0.000
==============================================================================
Omnibus:                        1.418   Durbin-Watson:                   1.555
Prob(Omnibus):                  0.492   Jarque-Bera (JB):                0.334
Skew:                           0.403   Prob(JB):                        0.846
Kurtosis:                       3.135   Cond. No.                         77.4
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const   -0.000415
OFI1     0.000084
dtype: float64",0.935060761970696,"const    3.940491e-01
OFI1     9.745948e-13
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.935
Model:                            OLS   Adj. R-squared:                  0.932
Method:                 Least Squares   F-statistic:                     273.6
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           9.75e-13
Time:                        10:40:48   Log-Likelihood:                 100.34
No. Observations:                  21   AIC:                            -196.7
Df Residuals:                      19   BIC:                            -194.6
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0004      0.000     -0.872      0.394      -0.001       0.001
OFI1         8.36e-05   5.05e-06     16.540      0.000     7.3e-05    9.42e-05
==============================================================================
Omnibus:                        9.712   Durbin-Watson:                   1.565
Prob(Omnibus):                  0.008   Jarque-Bera (JB):                7.373
Skew:                          -1.128   Prob(JB):                       0.0251
Kurtosis:                       4.828   Cond. No.                         96.0
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
