,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const      -6.090119e-05
OFI_JPM    -4.592427e-09
OFI_TSLA    4.115392e-08
OFI_XOM    -1.523130e-07
OFI_AMGN    4.815191e-09
OFI_AAPL    5.010196e-07
dtype: float64",0.061293368826430994,"const       0.256835
OFI_JPM     0.939505
OFI_TSLA    0.821514
OFI_XOM     0.889687
OFI_AMGN    0.862388
OFI_AAPL    0.317330
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_JPM   R-squared:                       0.061
Model:                            OLS   Adj. R-squared:                 -0.143
Method:                 Least Squares   F-statistic:                    0.3004
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.908
Time:                        10:41:05   Log-Likelihood:                 200.68
No. Observations:                  29   AIC:                            -389.4
Df Residuals:                      23   BIC:                            -381.1
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       -6.09e-05   5.24e-05     -1.163      0.257      -0.000    4.74e-05
OFI_JPM    -4.592e-09   5.99e-08     -0.077      0.940   -1.28e-07    1.19e-07
OFI_TSLA    4.115e-08    1.8e-07      0.228      0.822   -3.32e-07    4.14e-07
OFI_XOM    -1.523e-07   1.09e-06     -0.140      0.890    -2.4e-06    2.09e-06
OFI_AMGN    4.815e-09   2.75e-08      0.175      0.862    -5.2e-08    6.16e-08
OFI_AAPL     5.01e-07    4.9e-07      1.022      0.317   -5.13e-07    1.51e-06
==============================================================================
Omnibus:                        4.641   Durbin-Watson:                   1.680
Prob(Omnibus):                  0.098   Jarque-Bera (JB):                2.968
Skew:                          -0.683   Prob(JB):                        0.227
Kurtosis:                       3.770   Cond. No.                     2.02e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.02e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const       4.057406e-06
OFI_JPM     7.500538e-09
OFI_TSLA    1.697631e-07
OFI_XOM     3.429696e-07
OFI_AMGN   -8.543037e-09
OFI_AAPL   -1.536133e-08
dtype: float64",0.0658025144591875,"const       0.905327
OFI_JPM     0.895915
OFI_TSLA    0.289976
OFI_XOM     0.936523
OFI_AMGN    0.835666
OFI_AAPL    0.957017
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_JPM   R-squared:                       0.066
Model:                            OLS   Adj. R-squared:                 -0.129
Method:                 Least Squares   F-statistic:                    0.3381
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.885
Time:                        10:41:05   Log-Likelihood:                 223.69
No. Observations:                  30   AIC:                            -435.4
Df Residuals:                      24   BIC:                            -427.0
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       4.057e-06   3.38e-05      0.120      0.905   -6.56e-05    7.37e-05
OFI_JPM     7.501e-09   5.67e-08      0.132      0.896    -1.1e-07    1.25e-07
OFI_TSLA    1.698e-07   1.57e-07      1.082      0.290   -1.54e-07    4.94e-07
OFI_XOM      3.43e-07   4.26e-06      0.080      0.937   -8.45e-06    9.14e-06
OFI_AMGN   -8.543e-09   4.07e-08     -0.210      0.836   -9.26e-08    7.55e-08
OFI_AAPL   -1.536e-08   2.82e-07     -0.054      0.957   -5.97e-07    5.67e-07
==============================================================================
Omnibus:                        0.295   Durbin-Watson:                   2.064
Prob(Omnibus):                  0.863   Jarque-Bera (JB):                0.475
Skew:                          -0.055   Prob(JB):                        0.788
Kurtosis:                       2.393   Cond. No.                     1.02e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.02e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const       5.116234e-06
OFI_JPM     1.939863e-07
OFI_TSLA    1.522854e-08
OFI_XOM    -1.844089e-07
OFI_AMGN   -7.364908e-09
OFI_AAPL    3.076713e-07
dtype: float64",0.3294142543607873,"const       0.872978
OFI_JPM     0.003354
OFI_TSLA    0.664055
OFI_XOM     0.759247
OFI_AMGN    0.813864
OFI_AAPL    0.137867
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_JPM   R-squared:                       0.329
Model:                            OLS   Adj. R-squared:                  0.190
Method:                 Least Squares   F-statistic:                     2.358
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0709
Time:                        10:41:05   Log-Likelihood:                 226.15
No. Observations:                  30   AIC:                            -440.3
Df Residuals:                      24   BIC:                            -431.9
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       5.116e-06   3.17e-05      0.162      0.873   -6.02e-05    7.05e-05
OFI_JPM      1.94e-07   5.96e-08      3.256      0.003     7.1e-08    3.17e-07
OFI_TSLA    1.523e-08   3.46e-08      0.440      0.664   -5.62e-08    8.67e-08
OFI_XOM    -1.844e-07   5.95e-07     -0.310      0.759   -1.41e-06    1.04e-06
OFI_AMGN   -7.365e-09   3.09e-08     -0.238      0.814   -7.12e-08    5.65e-08
OFI_AAPL    3.077e-07      2e-07      1.535      0.138   -1.06e-07    7.21e-07
==============================================================================
Omnibus:                        6.992   Durbin-Watson:                   1.582
Prob(Omnibus):                  0.030   Jarque-Bera (JB):                5.239
Skew:                           0.922   Prob(JB):                       0.0728
Kurtosis:                       3.890   Cond. No.                     1.24e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.24e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const      -6.078893e-06
OFI_JPM     1.369334e-08
OFI_TSLA   -2.323008e-08
OFI_XOM     1.456886e-06
OFI_AMGN    2.517040e-08
OFI_AAPL   -7.337194e-08
dtype: float64",0.36754343715393245,"const       0.843578
OFI_JPM     0.621195
OFI_TSLA    0.415400
OFI_XOM     0.044190
OFI_AMGN    0.217297
OFI_AAPL    0.512973
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_JPM   R-squared:                       0.368
Model:                            OLS   Adj. R-squared:                  0.236
Method:                 Least Squares   F-statistic:                     2.789
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0401
Time:                        10:41:05   Log-Likelihood:                 238.04
No. Observations:                  30   AIC:                            -464.1
Df Residuals:                      24   BIC:                            -455.7
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -6.079e-06   3.05e-05     -0.199      0.844    -6.9e-05    5.68e-05
OFI_JPM     1.369e-08   2.74e-08      0.501      0.621   -4.28e-08    7.01e-08
OFI_TSLA   -2.323e-08    2.8e-08     -0.829      0.415   -8.11e-08    3.46e-08
OFI_XOM     1.457e-06   6.86e-07      2.124      0.044    4.11e-08    2.87e-06
OFI_AMGN    2.517e-08   1.99e-08      1.267      0.217   -1.58e-08    6.62e-08
OFI_AAPL   -7.337e-08    1.1e-07     -0.664      0.513   -3.01e-07    1.55e-07
==============================================================================
Omnibus:                        0.419   Durbin-Watson:                   2.347
Prob(Omnibus):                  0.811   Jarque-Bera (JB):                0.123
Skew:                           0.157   Prob(JB):                        0.940
Kurtosis:                       2.991   Cond. No.                     2.36e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.36e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const       7.414875e-06
OFI_JPM     1.022228e-07
OFI_TSLA   -6.025078e-07
OFI_XOM    -6.088933e-07
OFI_AMGN    2.700454e-08
OFI_AAPL    7.404228e-08
dtype: float64",0.32574008535364873,"const       0.702186
OFI_JPM     0.010394
OFI_TSLA    0.290882
OFI_XOM     0.433863
OFI_AMGN    0.145686
OFI_AAPL    0.538304
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_JPM   R-squared:                       0.326
Model:                            OLS   Adj. R-squared:                  0.185
Method:                 Least Squares   F-statistic:                     2.319
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0747
Time:                        10:41:05   Log-Likelihood:                 238.36
No. Observations:                  30   AIC:                            -464.7
Df Residuals:                      24   BIC:                            -456.3
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       7.415e-06   1.92e-05      0.387      0.702   -3.21e-05     4.7e-05
OFI_JPM     1.022e-07   3.68e-08      2.780      0.010    2.63e-08    1.78e-07
OFI_TSLA   -6.025e-07   5.58e-07     -1.080      0.291   -1.75e-06    5.49e-07
OFI_XOM    -6.089e-07   7.65e-07     -0.796      0.434   -2.19e-06     9.7e-07
OFI_AMGN      2.7e-08    1.8e-08      1.504      0.146   -1.01e-08    6.41e-08
OFI_AAPL    7.404e-08   1.19e-07      0.624      0.538   -1.71e-07    3.19e-07
==============================================================================
Omnibus:                        0.905   Durbin-Watson:                   2.452
Prob(Omnibus):                  0.636   Jarque-Bera (JB):                0.193
Skew:                           0.121   Prob(JB):                        0.908
Kurtosis:                       3.309   Cond. No.                     1.13e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.13e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const       4.612688e-06
OFI_JPM     4.404733e-08
OFI_TSLA    1.740359e-08
OFI_XOM    -1.342409e-06
OFI_AMGN   -1.576907e-08
OFI_AAPL    5.575326e-07
dtype: float64",0.12774983386776573,"const       0.890623
OFI_JPM     0.687113
OFI_TSLA    0.892034
OFI_XOM     0.106097
OFI_AMGN    0.687094
OFI_AAPL    0.656395
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_JPM   R-squared:                       0.128
Model:                            OLS   Adj. R-squared:                 -0.054
Method:                 Least Squares   F-statistic:                    0.7030
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.627
Time:                        10:41:05   Log-Likelihood:                 220.14
No. Observations:                  30   AIC:                            -428.3
Df Residuals:                      24   BIC:                            -419.9
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       4.613e-06   3.32e-05      0.139      0.891   -6.39e-05    7.31e-05
OFI_JPM     4.405e-08   1.08e-07      0.408      0.687   -1.79e-07    2.67e-07
OFI_TSLA     1.74e-08   1.27e-07      0.137      0.892   -2.44e-07    2.79e-07
OFI_XOM    -1.342e-06   7.99e-07     -1.679      0.106   -2.99e-06    3.08e-07
OFI_AMGN   -1.577e-08   3.87e-08     -0.408      0.687   -9.56e-08    6.41e-08
OFI_AAPL    5.575e-07   1.24e-06      0.450      0.656      -2e-06    3.11e-06
==============================================================================
Omnibus:                        3.046   Durbin-Watson:                   2.777
Prob(Omnibus):                  0.218   Jarque-Bera (JB):                1.897
Skew:                           0.117   Prob(JB):                        0.387
Kurtosis:                       4.209   Cond. No.                         869.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const      -4.314572e-05
OFI_JPM     2.529185e-08
OFI_TSLA    2.880291e-07
OFI_XOM     9.149925e-09
OFI_AMGN    3.698809e-08
OFI_AAPL    1.676326e-07
dtype: float64",0.13230651164418072,"const       0.084853
OFI_JPM     0.477700
OFI_TSLA    0.282929
OFI_XOM     0.972101
OFI_AMGN    0.210478
OFI_AAPL    0.664476
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_JPM   R-squared:                       0.132
Model:                            OLS   Adj. R-squared:                 -0.048
Method:                 Least Squares   F-statistic:                    0.7319
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.607
Time:                        10:41:05   Log-Likelihood:                 230.13
No. Observations:                  30   AIC:                            -448.3
Df Residuals:                      24   BIC:                            -439.8
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -4.315e-05    2.4e-05     -1.797      0.085   -9.27e-05    6.39e-06
OFI_JPM     2.529e-08   3.51e-08      0.721      0.478   -4.71e-08    9.77e-08
OFI_TSLA     2.88e-07   2.62e-07      1.098      0.283   -2.53e-07    8.29e-07
OFI_XOM      9.15e-09   2.59e-07      0.035      0.972   -5.25e-07    5.44e-07
OFI_AMGN    3.699e-08   2.87e-08      1.287      0.210   -2.23e-08    9.63e-08
OFI_AAPL    1.676e-07   3.82e-07      0.439      0.664    -6.2e-07    9.55e-07
==============================================================================
Omnibus:                        2.300   Durbin-Watson:                   2.630
Prob(Omnibus):                  0.317   Jarque-Bera (JB):                2.069
Skew:                          -0.588   Prob(JB):                        0.355
Kurtosis:                       2.479   Cond. No.                         995.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const      -6.627964e-05
OFI_JPM     1.064860e-07
OFI_TSLA    2.925621e-07
OFI_XOM    -6.010034e-07
OFI_AMGN    1.192280e-07
OFI_AAPL   -6.332949e-08
dtype: float64",0.38582718592969745,"const       0.276397
OFI_JPM     0.143575
OFI_TSLA    0.709622
OFI_XOM     0.111426
OFI_AMGN    0.058476
OFI_AAPL    0.848617
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_JPM   R-squared:                       0.386
Model:                            OLS   Adj. R-squared:                  0.258
Method:                 Least Squares   F-statistic:                     3.015
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0299
Time:                        10:41:05   Log-Likelihood:                 206.20
No. Observations:                  30   AIC:                            -400.4
Df Residuals:                      24   BIC:                            -392.0
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -6.628e-05   5.95e-05     -1.114      0.276      -0.000    5.65e-05
OFI_JPM     1.065e-07   7.04e-08      1.512      0.144   -3.89e-08    2.52e-07
OFI_TSLA    2.926e-07   7.76e-07      0.377      0.710   -1.31e-06    1.89e-06
OFI_XOM     -6.01e-07   3.64e-07     -1.653      0.111   -1.35e-06     1.5e-07
OFI_AMGN    1.192e-07      6e-08      1.987      0.058   -4.63e-09    2.43e-07
OFI_AAPL   -6.333e-08   3.28e-07     -0.193      0.849   -7.41e-07    6.14e-07
==============================================================================
Omnibus:                        8.004   Durbin-Watson:                   2.216
Prob(Omnibus):                  0.018   Jarque-Bera (JB):               12.496
Skew:                           0.256   Prob(JB):                      0.00193
Kurtosis:                       6.120   Cond. No.                     1.17e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.17e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const       6.055170e-05
OFI_JPM     6.747142e-08
OFI_TSLA   -6.012539e-07
OFI_XOM     2.133037e-06
OFI_AMGN    8.820001e-08
OFI_AAPL   -1.877088e-06
dtype: float64",0.4147709741550153,"const       0.309279
OFI_JPM     0.753992
OFI_TSLA    0.596988
OFI_XOM     0.101347
OFI_AMGN    0.012350
OFI_AAPL    0.422891
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_JPM   R-squared:                       0.415
Model:                            OLS   Adj. R-squared:                  0.293
Method:                 Least Squares   F-statistic:                     3.402
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0183
Time:                        10:41:05   Log-Likelihood:                 204.80
No. Observations:                  30   AIC:                            -397.6
Df Residuals:                      24   BIC:                            -389.2
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       6.055e-05   5.83e-05      1.039      0.309   -5.98e-05       0.000
OFI_JPM     6.747e-08   2.13e-07      0.317      0.754   -3.72e-07    5.07e-07
OFI_TSLA   -6.013e-07   1.12e-06     -0.536      0.597   -2.92e-06    1.71e-06
OFI_XOM     2.133e-06   1.25e-06      1.704      0.101   -4.51e-07    4.72e-06
OFI_AMGN     8.82e-08   3.26e-08      2.706      0.012    2.09e-08    1.55e-07
OFI_AAPL   -1.877e-06    2.3e-06     -0.815      0.423   -6.63e-06    2.87e-06
==============================================================================
Omnibus:                        3.724   Durbin-Watson:                   2.106
Prob(Omnibus):                  0.155   Jarque-Bera (JB):                2.527
Skew:                           0.278   Prob(JB):                        0.283
Kurtosis:                       4.308   Cond. No.                     2.54e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.54e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const      -4.451966e-05
OFI_JPM     4.968950e-07
OFI_TSLA    4.721796e-07
OFI_XOM    -1.025280e-06
OFI_AMGN   -1.856743e-08
OFI_AAPL   -9.058631e-07
dtype: float64",0.6408653212520519,"const       0.639518
OFI_JPM     0.000003
OFI_TSLA    0.688216
OFI_XOM     0.374038
OFI_AMGN    0.672463
OFI_AAPL    0.237357
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_JPM   R-squared:                       0.641
Model:                            OLS   Adj. R-squared:                  0.566
Method:                 Least Squares   F-statistic:                     8.565
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           9.13e-05
Time:                        10:41:05   Log-Likelihood:                 189.44
No. Observations:                  30   AIC:                            -366.9
Df Residuals:                      24   BIC:                            -358.5
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -4.452e-05   9.38e-05     -0.474      0.640      -0.000       0.000
OFI_JPM     4.969e-07   8.15e-08      6.098      0.000    3.29e-07    6.65e-07
OFI_TSLA    4.722e-07   1.16e-06      0.406      0.688   -1.93e-06    2.87e-06
OFI_XOM    -1.025e-06   1.13e-06     -0.906      0.374   -3.36e-06    1.31e-06
OFI_AMGN   -1.857e-08   4.34e-08     -0.428      0.672   -1.08e-07     7.1e-08
OFI_AAPL   -9.059e-07   7.47e-07     -1.212      0.237   -2.45e-06    6.37e-07
==============================================================================
Omnibus:                       12.137   Durbin-Watson:                   2.804
Prob(Omnibus):                  0.002   Jarque-Bera (JB):               13.554
Skew:                           1.030   Prob(JB):                      0.00114
Kurtosis:                       5.570   Cond. No.                     2.37e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.37e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
