,Train_Start,Train_End,Test_Start,Test_End,Out_of_Sample_R2,Actual,Predicted
0,2024-12-30 09:31:00+00:00,2024-12-30 10:01:00+00:00,2024-12-30 10:02:00+00:00,2024-12-30 10:06:00+00:00,0.1501564129488553,"[np.float64(0.00012462353323883235), np.float64(0.0004154721901139524), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(5.695921968845083e-05), np.float64(0.0001479269660588432), np.float64(0.0001742714249823844), np.float64(6.555758889502915e-05), np.float64(-2.7563116934637653e-05)]"
1,2024-12-30 09:32:00+00:00,2024-12-30 10:02:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:07:00+00:00,0.10416036339192714,"[np.float64(0.0004154721901139524), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.00014100372007779742), np.float64(0.0001949613548719896), np.float64(5.4482636598656505e-05), np.float64(-2.105148073767032e-05), np.float64(-8.555316448681277e-05)]"
2,2024-12-30 09:33:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:08:00+00:00,0.21942212753433932,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.00015547468084067264), np.float64(6.041540033500351e-05), np.float64(-1.76170669227584e-05), np.float64(-0.00010863561700753), np.float64(-3.263620385962217e-05)]"
3,2024-12-30 09:34:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:09:00+00:00,0.3333255168868843,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(3.663093936770284e-05), np.float64(-4.410241365472235e-05), np.float64(-0.00015538554945496814), np.float64(-5.8629655546020825e-05), np.float64(4.186340878226406e-06)]"
4,2024-12-30 09:35:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:10:00+00:00,-0.0032654665244535863,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(-0.000706405464542037)]","[np.float64(-4.296816553345693e-05), np.float64(-0.0001504479943586803), np.float64(-5.93656773470736e-05), np.float64(6.5319047726657535e-06), np.float64(9.412504746112657e-05)]"
5,2024-12-30 09:36:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:11:00+00:00,-0.02697925789405775,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(-0.000706405464542037), np.float64(0.0002076713815526432)]","[np.float64(-0.0001695701783864963), np.float64(-8.119106278795908e-05), np.float64(-7.688135829801372e-05), np.float64(5.713009077130272e-05), np.float64(1.9580661591226517e-05)]"
6,2024-12-30 09:37:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:12:00+00:00,-0.08062727998409569,"[np.float64(0.0), np.float64(0.0), np.float64(-0.000706405464542037), np.float64(0.0002076713815526432), np.float64(0.0002284361478981367)]","[np.float64(-4.9058197116742806e-05), np.float64(-4.511657611284931e-05), np.float64(8.860393102572627e-05), np.float64(4.0991483512104264e-05), np.float64(4.739398186531867e-05)]"
7,2024-12-30 09:38:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:13:00+00:00,-0.05406773021053879,"[np.float64(0.0), np.float64(-0.000706405464542037), np.float64(0.0002076713815526432), np.float64(0.0002284361478981367), np.float64(0.0002284361478981367)]","[np.float64(-6.414319189387628e-05), np.float64(7.915386389241147e-05), np.float64(1.2130789379143425e-05), np.float64(3.111610896345205e-05), np.float64(0.0001852482305030071)]"
8,2024-12-30 09:39:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:10:00+00:00,2024-12-30 10:14:00+00:00,-0.15054860370118006,"[np.float64(-0.000706405464542037), np.float64(0.0002076713815526432), np.float64(0.0002284361478981367), np.float64(0.0002284361478981367), np.float64(0.0002284361478981367)]","[np.float64(0.00011251025608920788), np.float64(4.561514291262609e-05), np.float64(3.2468342012419967e-05), np.float64(0.0001845748176763354), np.float64(-1.4440951247249692e-05)]"
9,2024-12-30 09:40:00+00:00,2024-12-30 10:10:00+00:00,2024-12-30 10:11:00+00:00,2024-12-30 10:15:00+00:00,-0.4248095513068961,"[np.float64(0.0002076713815526432), np.float64(0.0002284361478981367), np.float64(0.0002284361478981367), np.float64(0.0002284361478981367), np.float64(0.0008310134686899673)]","[np.float64(-3.008261121076512e-06), np.float64(3.518331822713772e-06), np.float64(0.00011803044472726948), np.float64(7.381791927721989e-05), np.float64(-0.00020533166717131906)]"
10,2024-12-30 09:41:00+00:00,2024-12-30 10:11:00+00:00,2024-12-30 10:12:00+00:00,2024-12-30 10:16:00+00:00,-0.9579388411116749,"[np.float64(0.0002284361478981367), np.float64(0.0002284361478981367), np.float64(0.0002284361478981367), np.float64(0.0008310134686899673), np.float64(-0.00022844089191220718)]","[np.float64(1.9016854143947257e-05), np.float64(0.00013195561325368802), np.float64(0.00011507795347063214), np.float64(-0.0002668329665857012), np.float64(0.0003849602237426146)]"
11,2024-12-30 09:43:00+00:00,2024-12-30 10:12:00+00:00,2024-12-30 10:13:00+00:00,2024-12-30 10:17:00+00:00,-0.900176443083704,"[np.float64(0.0002284361478981367), np.float64(0.0002284361478981367), np.float64(0.0008310134686899673), np.float64(-0.00022844089191220718), np.float64(-0.00020766706890285036)]","[np.float64(0.00015464759371334574), np.float64(9.305331480750105e-05), np.float64(-0.00026975471836470575), np.float64(0.00038736557712483835), np.float64(-0.0001903256928337621)]"
12,2024-12-30 09:44:00+00:00,2024-12-30 10:13:00+00:00,2024-12-30 10:14:00+00:00,2024-12-30 10:18:00+00:00,-0.9127843082063478,"[np.float64(0.0002284361478981367), np.float64(0.0008310134686899673), np.float64(-0.00022844089191220718), np.float64(-0.00020766706890285036), np.float64(-0.0004984734354573916)]","[np.float64(-2.1257801144515884e-05), np.float64(-0.00028660428174003515), np.float64(0.00036492984497404543), np.float64(-0.0001865136889859466), np.float64(0.0001406412820082486)]"
13,2024-12-30 09:45:00+00:00,2024-12-30 10:14:00+00:00,2024-12-30 10:15:00+00:00,2024-12-30 10:19:00+00:00,-0.7969375519108435,"[np.float64(0.0008310134686899673), np.float64(-0.00022844089191220718), np.float64(-0.00020766706890285036), np.float64(-0.0004984734354573916), np.float64(-0.0006646864794079832)]","[np.float64(-0.00034995048300069805), np.float64(0.00046999419123866764), np.float64(-0.00021350769314094307), np.float64(0.00016354345444752493), np.float64(-3.77884680425424e-05)]"
14,2024-12-30 09:46:00+00:00,2024-12-30 10:15:00+00:00,2024-12-30 10:16:00+00:00,2024-12-30 10:20:00+00:00,-0.18954150312955464,"[np.float64(-0.00022844089191220718), np.float64(-0.00020766706890285036), np.float64(-0.0004984734354573916), np.float64(-0.0006646864794079832), np.float64(-0.00012460800414793027)]","[np.float64(0.00020515700668004836), np.float64(-0.00021853565795552235), np.float64(0.0002649353302867634), np.float64(-4.0073640207037226e-05), np.float64(5.9800761535143915e-05)]"
