,Train_Start,Train_End,Test_Start,Test_End,Out_of_Sample_R2,Actual,Predicted
0,2024-12-30 09:31:00+00:00,2024-12-30 10:01:00+00:00,2024-12-30 10:02:00+00:00,2024-12-30 10:06:00+00:00,0.12470012144502807,"[np.float64(0.00012462353323883235), np.float64(0.0004154721901139524), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(6.699169800703181e-05), np.float64(0.000258805449694284), np.float64(-5.871006605340043e-05), np.float64(0.00011596606242595675), np.float64(-0.00026489346734068117)]"
1,2024-12-30 09:32:00+00:00,2024-12-30 10:02:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:07:00+00:00,-0.772762390394703,"[np.float64(0.0004154721901139524), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.000265613583642991), np.float64(-5.738216763115203e-05), np.float64(0.00012223687489921795), np.float64(-0.00026085312236443745), np.float64(0.000369852629504023)]"
2,2024-12-30 09:33:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:08:00+00:00,-7.816228732310316,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.00010200853642220782), np.float64(0.0001549413602696509), np.float64(-0.0003882953278442123), np.float64(0.0005069561480196368), np.float64(0.00014449545562057959)]"
3,2024-12-30 09:34:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:09:00+00:00,-2.392483686983865,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(8.536247961832544e-05), np.float64(-0.00020852880165895475), np.float64(0.00028832442494789557), np.float64(0.0001489313809570254), np.float64(-3.299136161481784e-05)]"
4,2024-12-30 09:35:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:10:00+00:00,0.8710318819184013,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(-0.000706405464542037)]","[np.float64(-0.00016378117834918592), np.float64(0.00022200439024666008), np.float64(8.223495522411659e-05), np.float64(-4.2427204378869425e-05), np.float64(-0.0007426368555770779)]"
5,2024-12-30 09:36:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:11:00+00:00,0.3950957967523828,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(-0.000706405464542037), np.float64(0.0002076713815526432)]","[np.float64(0.00029896403321446317), np.float64(0.00031558715168409994), np.float64(-6.190563996917901e-05), np.float64(-0.0002644303488791701), np.float64(0.0001882653604739252)]"
6,2024-12-30 09:37:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:12:00+00:00,0.5686843819035923,"[np.float64(0.0), np.float64(0.0), np.float64(-0.000706405464542037), np.float64(0.0002076713815526432), np.float64(0.0002284361478981367)]","[np.float64(0.0002771026336668183), np.float64(-6.081477530046725e-05), np.float64(-0.00036513542909345786), np.float64(-6.427398370740729e-05), np.float64(0.0003139295464690216)]"
7,2024-12-30 09:38:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:13:00+00:00,0.37896276601652923,"[np.float64(0.0), np.float64(-0.000706405464542037), np.float64(0.0002076713815526432), np.float64(0.0002284361478981367), np.float64(0.0002284361478981367)]","[np.float64(-6.737399187264826e-05), np.float64(-0.00041641751906190146), np.float64(-4.789566988504025e-05), np.float64(7.710709643854498e-05), np.float64(-0.0002570838299107004)]"
8,2024-12-30 09:39:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:10:00+00:00,2024-12-30 10:14:00+00:00,0.3508758788377244,"[np.float64(-0.000706405464542037), np.float64(0.0002076713815526432), np.float64(0.0002284361478981367), np.float64(0.0002284361478981367), np.float64(0.0002284361478981367)]","[np.float64(-0.00043093699336315604), np.float64(-6.593231327221941e-05), np.float64(8.518823319840274e-05), np.float64(-0.0002363671983446852), np.float64(-2.0365671052077132e-05)]"
9,2024-12-30 09:40:00+00:00,2024-12-30 10:10:00+00:00,2024-12-30 10:11:00+00:00,2024-12-30 10:15:00+00:00,-4.463556375338966,"[np.float64(0.0002076713815526432), np.float64(0.0002284361478981367), np.float64(0.0002284361478981367), np.float64(0.0002284361478981367), np.float64(0.0008310134686899673)]","[np.float64(-0.00015309453096534333), np.float64(0.0002565864475132343), np.float64(-0.00043301392918671205), np.float64(0.00022356448077886137), np.float64(-0.0011820700326147823)]"
10,2024-12-30 09:41:00+00:00,2024-12-30 10:11:00+00:00,2024-12-30 10:12:00+00:00,2024-12-30 10:16:00+00:00,-5.671356672298785,"[np.float64(0.0002284361478981367), np.float64(0.0002284361478981367), np.float64(0.0002284361478981367), np.float64(0.0008310134686899673), np.float64(-0.00022844089191220718)]","[np.float64(0.00035907741621128594), np.float64(-0.00024647100146843795), np.float64(-4.185383930093103e-05), np.float64(-0.0014681536295282503), np.float64(-0.00011934136146550306)]"
11,2024-12-30 09:43:00+00:00,2024-12-30 10:12:00+00:00,2024-12-30 10:13:00+00:00,2024-12-30 10:17:00+00:00,-5.78309839610974,"[np.float64(0.0002284361478981367), np.float64(0.0002284361478981367), np.float64(0.0008310134686899673), np.float64(-0.00022844089191220718), np.float64(-0.00020766706890285036)]","[np.float64(-0.00021830249457381156), np.float64(-0.000213776225686327), np.float64(-0.0014641439691586388), np.float64(-4.747953706587262e-05), np.float64(-0.0004711302103851899)]"
12,2024-12-30 09:44:00+00:00,2024-12-30 10:13:00+00:00,2024-12-30 10:14:00+00:00,2024-12-30 10:18:00+00:00,-5.62493526707882,"[np.float64(0.0002284361478981367), np.float64(0.0008310134686899673), np.float64(-0.00022844089191220718), np.float64(-0.00020766706890285036), np.float64(-0.0004984734354573916)]","[np.float64(-0.0007458671757455388), np.float64(-0.0011149160786492736), np.float64(-6.262524558582613e-05), np.float64(-0.0007415874810370027), np.float64(0.0009607595533121362)]"
13,2024-12-30 09:45:00+00:00,2024-12-30 10:14:00+00:00,2024-12-30 10:15:00+00:00,2024-12-30 10:19:00+00:00,-1.2201238780774624,"[np.float64(0.0008310134686899673), np.float64(-0.00022844089191220718), np.float64(-0.00020766706890285036), np.float64(-0.0004984734354573916), np.float64(-0.0006646864794079832)]","[np.float64(-0.0006447477640603065), np.float64(-0.0003124865806731797), np.float64(-0.00026608349613917295), np.float64(0.0005318794172951378), np.float64(-0.0003438698227775969)]"
14,2024-12-30 09:46:00+00:00,2024-12-30 10:15:00+00:00,2024-12-30 10:16:00+00:00,2024-12-30 10:20:00+00:00,-2.3230081288615017,"[np.float64(-0.00022844089191220718), np.float64(-0.00020766706890285036), np.float64(-0.0004984734354573916), np.float64(-0.0006646864794079832), np.float64(-0.00012460800414793027)]","[np.float64(-0.0005362465706546261), np.float64(-0.0002543650097847875), np.float64(0.000492613979830268), np.float64(0.0007522751973103119), np.float64(0.00037687103670137054)]"
15,2024-12-30 09:47:00+00:00,2024-12-30 10:16:00+00:00,2024-12-30 10:17:00+00:00,2024-12-30 10:21:00+00:00,-3.1429385787021795,"[np.float64(-0.00020766706890285036), np.float64(-0.0004984734354573916), np.float64(-0.0006646864794079832), np.float64(-0.00012460800414793027), np.float64(4.153858935485033e-05)]","[np.float64(-0.00024137397576777503), np.float64(0.00044228649515611247), np.float64(0.0008682505314305359), np.float64(0.0005270554948133978), np.float64(0.00010839976152933325)]"
16,2024-12-30 09:48:00+00:00,2024-12-30 10:17:00+00:00,2024-12-30 10:18:00+00:00,2024-12-30 10:22:00+00:00,-4.670395538139628,"[np.float64(-0.0004984734354573916), np.float64(-0.0006646864794079832), np.float64(-0.00012460800414793027), np.float64(4.153858935485033e-05), np.float64(-0.00010384970879506739)]","[np.float64(0.00044431291944595046), np.float64(0.0008893839221111881), np.float64(0.0005395600769327725), np.float64(0.00012848355809122358), np.float64(0.000868067275319868)]"
17,2024-12-30 09:49:00+00:00,2024-12-30 10:18:00+00:00,2024-12-30 10:19:00+00:00,2024-12-30 10:23:00+00:00,-4.864730763004292,"[np.float64(-0.0006646864794079832), np.float64(-0.00012460800414793027), np.float64(4.153858935485033e-05), np.float64(-0.00010384970879506739), np.float64(0.00027003728755925493)]","[np.float64(0.0007269353262640594), np.float64(0.0006276880963672656), np.float64(0.00010110780016687962), np.float64(0.0006400726994988624), np.float64(-0.00042062823568925786)]"
18,2024-12-30 09:50:00+00:00,2024-12-30 10:19:00+00:00,2024-12-30 10:20:00+00:00,2024-12-30 10:24:00+00:00,-0.14132374774307,"[np.float64(-0.00012460800414793027), np.float64(4.153858935485033e-05), np.float64(-0.00010384970879506739), np.float64(0.00027003728755925493), np.float64(0.00037394050626815556)]","[np.float64(-7.19479383530235e-05), np.float64(-0.00011955527277504436), np.float64(-6.172600579607847e-05), np.float64(0.0006605285804531923), np.float64(0.00010548286625572197)]"
19,2024-12-30 09:51:00+00:00,2024-12-30 10:20:00+00:00,2024-12-30 10:21:00+00:00,2024-12-30 10:25:00+00:00,-3.1369564304518,"[np.float64(4.153858935485033e-05), np.float64(-0.00010384970879506739), np.float64(0.00027003728755925493), np.float64(0.00037394050626815556), np.float64(0.0002699643871064694)]","[np.float64(-0.00012023444719733038), np.float64(-6.937153469648457e-05), np.float64(0.0006163395714752371), np.float64(0.00010064110969199218), np.float64(0.001261172170530088)]"
20,2024-12-30 09:52:00+00:00,2024-12-30 10:21:00+00:00,2024-12-30 10:22:00+00:00,2024-12-30 10:26:00+00:00,-6.018798584876186,"[np.float64(-0.00010384970879506739), np.float64(0.00027003728755925493), np.float64(0.00037394050626815556), np.float64(0.0002699643871064694), np.float64(0.0002699587810104376)]","[np.float64(-9.117314205740084e-05), np.float64(0.0005738450144336108), np.float64(6.853403803973375e-05), np.float64(0.001769754857739704), np.float64(-0.00012609940635424137)]"
21,2024-12-30 09:53:00+00:00,2024-12-30 10:22:00+00:00,2024-12-30 10:23:00+00:00,2024-12-30 10:27:00+00:00,-4.36305530870564,"[np.float64(0.00027003728755925493), np.float64(0.00037394050626815556), np.float64(0.0002699643871064694), np.float64(0.0002699587810104376), np.float64(0.00037380848980550496)]","[np.float64(0.0005814266469542961), np.float64(6.928655683022878e-05), np.float64(0.0017783185076098757), np.float64(-0.00012647753875838938), np.float64(-3.4785605755257214e-05)]"
22,2024-12-30 09:54:00+00:00,2024-12-30 10:23:00+00:00,2024-12-30 10:24:00+00:00,2024-12-30 10:28:00+00:00,-3.4809531663597815,"[np.float64(0.00037394050626815556), np.float64(0.0002699643871064694), np.float64(0.0002699587810104376), np.float64(0.00037380848980550496), np.float64(0.0002907278600057239)]","[np.float64(4.242771196329857e-05), np.float64(0.0015772822584114211), np.float64(-0.00014090395738036317), np.float64(-5.664734691013449e-05), np.float64(-2.8162403672460183e-05)]"
23,2024-12-30 09:55:00+00:00,2024-12-30 10:24:00+00:00,2024-12-30 10:25:00+00:00,2024-12-30 10:29:00+00:00,-5.725185056356265,"[np.float64(0.0002699643871064694), np.float64(0.0002699587810104376), np.float64(0.00037380848980550496), np.float64(0.0002907278600057239), np.float64(0.00035303768524741486)]","[np.float64(0.0013606941938972775), np.float64(-0.00012850513162878898), np.float64(-3.61174342173703e-05), np.float64(-1.2505881955712919e-05), np.float64(0.0015215964549941709)]"
24,2024-12-30 09:56:00+00:00,2024-12-30 10:25:00+00:00,2024-12-30 10:26:00+00:00,2024-12-30 10:30:00+00:00,-4.218135028481112,"[np.float64(0.0002699587810104376), np.float64(0.00037380848980550496), np.float64(0.0002907278600057239), np.float64(0.00035303768524741486), np.float64(2.076347289925451e-05)]","[np.float64(-0.00010036203190632895), np.float64(-5.813922841469154e-06), np.float64(1.427885035797368e-05), np.float64(0.0005536805193013007), np.float64(0.0012096277648366463)]"
25,2024-12-30 09:57:00+00:00,2024-12-30 10:26:00+00:00,2024-12-30 10:27:00+00:00,2024-12-30 10:31:00+00:00,-4.504025122413906,"[np.float64(0.00037380848980550496), np.float64(0.0002907278600057239), np.float64(0.00035303768524741486), np.float64(2.076347289925451e-05), np.float64(0.0)]","[np.float64(2.273716085215776e-05), np.float64(4.241412671412454e-05), np.float64(0.0005192188089548703), np.float64(0.0011417198886001646), np.float64(3.4037631656939915e-05)]"
26,2024-12-30 09:58:00+00:00,2024-12-30 10:27:00+00:00,2024-12-30 10:28:00+00:00,2024-12-30 10:32:00+00:00,-12.540432192388673,"[np.float64(0.0002907278600057239), np.float64(0.00035303768524741486), np.float64(2.076347289925451e-05), np.float64(0.0), np.float64(-2.076347289925451e-05)]","[np.float64(7.343674627263784e-05), np.float64(0.0005152949744140086), np.float64(0.0011386746182777856), np.float64(6.366204213829713e-05), np.float64(0.0008154558902808115)]"
27,2024-12-30 09:59:00+00:00,2024-12-30 10:28:00+00:00,2024-12-30 10:29:00+00:00,2024-12-30 10:33:00+00:00,-23.772143001552603,"[np.float64(0.00035303768524741486), np.float64(2.076347289925451e-05), np.float64(0.0), np.float64(-2.076347289925451e-05), np.float64(0.0)]","[np.float64(0.0005010078600471268), np.float64(0.0011271143454516293), np.float64(6.77104646554123e-05), np.float64(0.0008118743846523688), np.float64(-0.0007425397600262388)]"
28,2024-12-30 10:00:00+00:00,2024-12-30 10:29:00+00:00,2024-12-30 10:30:00+00:00,2024-12-30 10:34:00+00:00,-74.27038404470991,"[np.float64(2.076347289925451e-05), np.float64(0.0), np.float64(-2.076347289925451e-05), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0010499777160472078), np.float64(6.861560088720046e-05), np.float64(0.0007420178961223683), np.float64(-0.000663103578038717), np.float64(7.726415569335392e-05)]"
29,2024-12-30 10:01:00+00:00,2024-12-30 10:30:00+00:00,2024-12-30 10:31:00+00:00,2024-12-30 10:35:00+00:00,-5.930963760130453,"[np.float64(0.0), np.float64(-2.076347289925451e-05), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(4.163311482572261e-05), np.float64(0.000318632156137441), np.float64(-0.0002204965690504437), np.float64(7.711606033514102e-05), np.float64(0.00015688847610699898)]"
30,2024-12-30 10:02:00+00:00,2024-12-30 10:31:00+00:00,2024-12-30 10:32:00+00:00,2024-12-30 10:36:00+00:00,-6.745785349061186,"[np.float64(-2.076347289925451e-05), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(-2.076347289925451e-05)]","[np.float64(0.0003109551509286554), np.float64(-0.00022010481925268283), np.float64(6.914440755685433e-05), np.float64(0.00020913438054000997), np.float64(9.535114817532699e-05)]"
31,2024-12-30 10:03:00+00:00,2024-12-30 10:32:00+00:00,2024-12-30 10:33:00+00:00,2024-12-30 10:37:00+00:00,-6.903986252438894,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(-2.076347289925451e-05), np.float64(0.0)]","[np.float64(-8.78197924050458e-05), np.float64(5.574737374203327e-05), np.float64(0.0003850370738638891), np.float64(8.344438366245083e-05), np.float64(6.094739062129761e-05)]"
