,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const    0.000102
ofiI     0.001373
dtype: float64",0.24001841874401963,"const    0.033929
ofiI     0.006982
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.240
Model:                            OLS   Adj. R-squared:                  0.212
Method:                 Least Squares   F-statistic:                     8.527
Date:                Sat, 11 Jan 2025   Prob (F-statistic):            0.00698
Time:                        10:40:43   Log-Likelihood:                 210.69
No. Observations:                  29   AIC:                            -417.4
Df Residuals:                      27   BIC:                            -414.6
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0001   4.57e-05      2.234      0.034    8.34e-06       0.000
ofiI           0.0014      0.000      2.920      0.007       0.000       0.002
==============================================================================
Omnibus:                        4.248   Durbin-Watson:                   2.294
Prob(Omnibus):                  0.120   Jarque-Bera (JB):                2.712
Skew:                           0.483   Prob(JB):                        0.258
Kurtosis:                       4.145   Cond. No.                         14.5
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const    0.000053
ofiI     0.000631
dtype: float64",0.056889940486752444,"const    0.341458
ofiI     0.212754
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.057
Model:                            OLS   Adj. R-squared:                  0.022
Method:                 Least Squares   F-statistic:                     1.629
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.213
Time:                        10:40:43   Log-Likelihood:                 200.44
No. Observations:                  29   AIC:                            -396.9
Df Residuals:                      27   BIC:                            -394.1
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       5.312e-05   5.49e-05      0.968      0.341   -5.94e-05       0.000
ofiI           0.0006      0.000      1.276      0.213      -0.000       0.002
==============================================================================
Omnibus:                        3.777   Durbin-Watson:                   2.657
Prob(Omnibus):                  0.151   Jarque-Bera (JB):                2.508
Skew:                          -0.299   Prob(JB):                        0.285
Kurtosis:                       4.311   Cond. No.                         10.7
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const    0.000035
ofiI     0.000635
dtype: float64",0.059613265327626785,"const    0.514623
ofiI     0.193509
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.060
Model:                            OLS   Adj. R-squared:                  0.026
Method:                 Least Squares   F-statistic:                     1.775
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.194
Time:                        10:40:43   Log-Likelihood:                 206.58
No. Observations:                  30   AIC:                            -409.2
Df Residuals:                      28   BIC:                            -406.4
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       3.507e-05   5.31e-05      0.660      0.515   -7.38e-05       0.000
ofiI           0.0006      0.000      1.332      0.194      -0.000       0.002
==============================================================================
Omnibus:                       17.017   Durbin-Watson:                   2.731
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               32.729
Skew:                           1.090   Prob(JB):                     7.82e-08
Kurtosis:                       7.629   Cond. No.                         10.2
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const    0.000017
ofiI     0.000039
dtype: float64",0.0017524587079527087,"const    0.299525
ofiI     0.826149
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.002
Model:                            OLS   Adj. R-squared:                 -0.034
Method:                 Least Squares   F-statistic:                   0.04915
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.826
Time:                        10:40:43   Log-Likelihood:                 246.67
No. Observations:                  30   AIC:                            -489.3
Df Residuals:                      28   BIC:                            -486.5
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       1.676e-05   1.59e-05      1.057      0.300   -1.57e-05    4.92e-05
ofiI        3.854e-05      0.000      0.222      0.826      -0.000       0.000
==============================================================================
Omnibus:                       58.332   Durbin-Watson:                   1.109
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              448.304
Skew:                           3.983   Prob(JB):                     4.49e-98
Kurtosis:                      20.181   Cond. No.                         14.2
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const    0.000094
ofiI     0.002471
dtype: float64",0.6694053301086829,"const    1.890464e-03
ofiI     5.926012e-08
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.669
Model:                            OLS   Adj. R-squared:                  0.657
Method:                 Least Squares   F-statistic:                     54.67
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           5.93e-08
Time:                        10:40:43   Log-Likelihood:                 217.96
No. Observations:                  29   AIC:                            -431.9
Df Residuals:                      27   BIC:                            -429.2
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       9.425e-05   2.74e-05      3.443      0.002    3.81e-05       0.000
ofiI           0.0025      0.000      7.394      0.000       0.002       0.003
==============================================================================
Omnibus:                        3.925   Durbin-Watson:                   2.861
Prob(Omnibus):                  0.140   Jarque-Bera (JB):                2.475
Skew:                          -0.412   Prob(JB):                        0.290
Kurtosis:                       4.170   Cond. No.                         13.2
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const    0.000131
ofiI     0.002729
dtype: float64",0.6780240581714239,"const    1.471537e-03
ofiI     2.300123e-08
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.678
Model:                            OLS   Adj. R-squared:                  0.667
Method:                 Least Squares   F-statistic:                     58.96
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           2.30e-08
Time:                        10:40:43   Log-Likelihood:                 216.74
No. Observations:                  30   AIC:                            -429.5
Df Residuals:                      28   BIC:                            -426.7
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0001    3.7e-05      3.526      0.001    5.47e-05       0.000
ofiI           0.0027      0.000      7.679      0.000       0.002       0.003
==============================================================================
Omnibus:                        1.380   Durbin-Watson:                   1.619
Prob(Omnibus):                  0.502   Jarque-Bera (JB):                0.466
Skew:                          -0.215   Prob(JB):                        0.792
Kurtosis:                       3.432   Cond. No.                         10.7
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const    0.000130
ofiI     0.001992
dtype: float64",0.009245521531937806,"const    0.754965
ofiI     0.619768
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.009
Model:                            OLS   Adj. R-squared:                 -0.027
Method:                 Least Squares   F-statistic:                    0.2520
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.620
Time:                        10:40:43   Log-Likelihood:                 142.02
No. Observations:                  29   AIC:                            -280.0
Df Residuals:                      27   BIC:                            -277.3
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0001      0.000      0.315      0.755      -0.001       0.001
ofiI           0.0020      0.004      0.502      0.620      -0.006       0.010
==============================================================================
Omnibus:                       19.768   Durbin-Watson:                   3.027
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              153.285
Skew:                           0.190   Prob(JB):                     5.18e-34
Kurtosis:                      14.257   Cond. No.                         11.4
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const   -0.000250
ofiI     0.000373
dtype: float64",0.013109647134020186,"const    0.040321
ofiI     0.554242
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.013
Model:                            OLS   Adj. R-squared:                 -0.023
Method:                 Least Squares   F-statistic:                    0.3587
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.554
Time:                        10:40:43   Log-Likelihood:                 174.90
No. Observations:                  29   AIC:                            -345.8
Df Residuals:                      27   BIC:                            -343.1
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0003      0.000     -2.154      0.040      -0.000   -1.19e-05
ofiI           0.0004      0.001      0.599      0.554      -0.001       0.002
==============================================================================
Omnibus:                       19.421   Durbin-Watson:                   1.362
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               23.803
Skew:                          -1.766   Prob(JB):                     6.78e-06
Kurtosis:                       5.687   Cond. No.                         5.57
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const    0.000264
ofiI     0.005528
dtype: float64",0.4033440129263358,"const    0.015461
ofiI     0.003482
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.403
Model:                            OLS   Adj. R-squared:                  0.368
Method:                 Least Squares   F-statistic:                     11.49
Date:                Sat, 11 Jan 2025   Prob (F-statistic):            0.00348
Time:                        10:40:43   Log-Likelihood:                 127.80
No. Observations:                  19   AIC:                            -251.6
Df Residuals:                      17   BIC:                            -249.7
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0003   9.83e-05      2.691      0.015    5.71e-05       0.000
ofiI           0.0055      0.002      3.390      0.003       0.002       0.009
==============================================================================
Omnibus:                       19.716   Durbin-Watson:                   2.064
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               23.917
Skew:                          -1.801   Prob(JB):                     6.40e-06
Kurtosis:                       7.152   Cond. No.                         23.2
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const    0.000138
ofiI     0.002474
dtype: float64",0.7432360688945516,"const    1.083428e-01
ofiI     6.152441e-08
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.743
Model:                            OLS   Adj. R-squared:                  0.732
Method:                 Least Squares   F-statistic:                     63.68
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           6.15e-08
Time:                        10:40:43   Log-Likelihood:                 157.93
No. Observations:                  24   AIC:                            -311.9
Df Residuals:                      22   BIC:                            -309.5
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0001   8.22e-05      1.674      0.108   -3.29e-05       0.000
ofiI           0.0025      0.000      7.980      0.000       0.002       0.003
==============================================================================
Omnibus:                        0.569   Durbin-Watson:                   2.061
Prob(Omnibus):                  0.752   Jarque-Bera (JB):                0.444
Skew:                          -0.306   Prob(JB):                        0.801
Kurtosis:                       2.736   Cond. No.                         4.41
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
10,2024-12-30 14:00:00+00:00,2024-12-30 14:30:00+00:00,"const    0.000076
ofiI     0.001568
dtype: float64",0.4085941679145043,"const    0.109003
ofiI     0.000189
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.409
Model:                            OLS   Adj. R-squared:                  0.387
Method:                 Least Squares   F-statistic:                     18.65
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           0.000189
Time:                        10:40:43   Log-Likelihood:                 204.23
No. Observations:                  29   AIC:                            -404.5
Df Residuals:                      27   BIC:                            -401.7
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       7.583e-05   4.58e-05      1.657      0.109    -1.8e-05       0.000
ofiI           0.0016      0.000      4.319      0.000       0.001       0.002
==============================================================================
Omnibus:                        5.163   Durbin-Watson:                   2.623
Prob(Omnibus):                  0.076   Jarque-Bera (JB):                4.353
Skew:                          -0.367   Prob(JB):                        0.113
Kurtosis:                       4.751   Cond. No.                         8.95
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
11,2024-12-30 14:30:00+00:00,2024-12-30 15:00:00+00:00,"const    0.000076
ofiI     0.000609
dtype: float64",0.8397484678083393,"const    2.936329e-01
ofiI     1.193761e-12
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.840
Model:                            OLS   Adj. R-squared:                  0.834
Method:                 Least Squares   F-statistic:                     146.7
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           1.19e-12
Time:                        10:40:43   Log-Likelihood:                 194.07
No. Observations:                  30   AIC:                            -384.1
Df Residuals:                      28   BIC:                            -381.3
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       7.605e-05   7.11e-05      1.070      0.294   -6.95e-05       0.000
ofiI           0.0006   5.03e-05     12.113      0.000       0.001       0.001
==============================================================================
Omnibus:                        4.169   Durbin-Watson:                   2.243
Prob(Omnibus):                  0.124   Jarque-Bera (JB):                2.628
Skew:                           0.508   Prob(JB):                        0.269
Kurtosis:                       4.034   Cond. No.                         1.42
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
12,2024-12-30 15:00:00+00:00,2024-12-30 15:30:00+00:00,"const   -0.000027
ofiI     0.000449
dtype: float64",0.8707706056091206,"const    6.630334e-01
ofiI     5.773861e-14
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.871
Model:                            OLS   Adj. R-squared:                  0.866
Method:                 Least Squares   F-statistic:                     188.7
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           5.77e-14
Time:                        10:40:43   Log-Likelihood:                 199.00
No. Observations:                  30   AIC:                            -394.0
Df Residuals:                      28   BIC:                            -391.2
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -2.653e-05   6.02e-05     -0.440      0.663      -0.000    9.69e-05
ofiI           0.0004   3.27e-05     13.736      0.000       0.000       0.001
==============================================================================
Omnibus:                        9.376   Durbin-Watson:                   2.212
Prob(Omnibus):                  0.009   Jarque-Bera (JB):                9.167
Skew:                          -0.840   Prob(JB):                       0.0102
Kurtosis:                       5.125   Cond. No.                         1.85
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
13,2024-12-30 15:30:00+00:00,2024-12-30 16:00:00+00:00,"const    0.000006
ofiI     0.000367
dtype: float64",0.8693906717053892,"const    8.914592e-01
ofiI     6.704484e-14
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.869
Model:                            OLS   Adj. R-squared:                  0.865
Method:                 Least Squares   F-statistic:                     186.4
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           6.70e-14
Time:                        10:40:43   Log-Likelihood:                 209.50
No. Observations:                  30   AIC:                            -415.0
Df Residuals:                      28   BIC:                            -412.2
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       6.066e-06   4.41e-05      0.138      0.891   -8.42e-05    9.63e-05
ofiI           0.0004   2.69e-05     13.652      0.000       0.000       0.000
==============================================================================
Omnibus:                        9.558   Durbin-Watson:                   2.357
Prob(Omnibus):                  0.008   Jarque-Bera (JB):                9.843
Skew:                           0.816   Prob(JB):                      0.00729
Kurtosis:                       5.283   Cond. No.                         1.77
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
14,2024-12-30 16:00:00+00:00,2024-12-30 16:30:00+00:00,"const    0.000022
ofiI     0.000370
dtype: float64",0.9555880286156115,"const    3.565849e-01
ofiI     1.772879e-20
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.956
Model:                            OLS   Adj. R-squared:                  0.954
Method:                 Least Squares   F-statistic:                     602.5
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           1.77e-20
Time:                        10:40:43   Log-Likelihood:                 227.62
No. Observations:                  30   AIC:                            -451.2
Df Residuals:                      28   BIC:                            -448.4
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       2.175e-05   2.32e-05      0.937      0.357   -2.58e-05    6.93e-05
ofiI           0.0004   1.51e-05     24.545      0.000       0.000       0.000
==============================================================================
Omnibus:                        1.429   Durbin-Watson:                   1.837
Prob(Omnibus):                  0.490   Jarque-Bera (JB):                1.302
Skew:                          -0.465   Prob(JB):                        0.522
Kurtosis:                       2.582   Cond. No.                         1.54
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
