ts_event,action,side,depth,price,midprice,size,aOF1,aOF2,aOF3,aOF4,aOF5,bOF1,bOF2,bOF3,bOF4,bOF5,ask_sz_01,ask_sz_02,ask_sz_03,ask_sz_04,ask_sz_05,bid_sz_01,bid_sz_02,bid_sz_03,bid_sz_04,bid_sz_05,event_num,symbol,returns,midprice_delta,OFI1,OFI2,OFI3,OFI4,OFI5,ofi1,ofi2,ofi3,ofi4,ofi5,ofiI
2024-12-30 09:01:00+00:00,A,B,0.0,240.2,240.58499999999998,0.0,175.0,100.0,34.0,0.0,0.0,204.0,-314.0,2.0,50.0,47.0,4091,6472,6782,4300,0,5316,6088,776,565,139,69,JPM,0.0001662752274524948,0.03999999999996362,29.0,-414.0,-32.0,50.0,47.0,0.5795128732369891,-8.273045845521153,-0.6394624808132293,0.9991601262706707,0.9392105186944305,-0.18225398173813387
2024-12-30 09:02:00+00:00,A,A,1.0,241.23,240.615,0.0,425.0,400.0,0.0,0.0,0.0,608.0,500.0,0.0,0.0,0.0,7410,8924,5470,5500,0,5697,3437,1688,938,113,113,JPM,0.00012468827946321426,0.03000000000002956,183.0,100.0,0.0,0.0,0.0,5.278352094341068,2.884345406743753,0.0,0.0,0.0,0.09658959485532122
2024-12-30 09:03:00+00:00,A,A,1.0,241.33,240.675,0.0,0.0,100.0,0.0,0.0,0.0,200.0,4.0,0.0,0.0,0.0,1103,1840,1510,1500,0,1828,751,200,475,25,25,JPM,0.0002493299271160154,0.060000000000002274,200.0,-96.0,0.0,0.0,0.0,5.415944540727903,-2.5996533795493937,0.0,0.0,0.0,-0.007150022165959875
2024-12-30 09:04:00+00:00,A,A,1.0,241.38,240.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,1536,876,1400,0,1320,57,143,343,18,18,JPM,0.00010386912499615875,0.024999999999977263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057804468515383976
2024-12-30 09:05:00+00:00,A,B,0.0,240.37,240.68,0.0,8.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,312,1376,742,1434,900,1216,52,116,316,16,16,JPM,-8.309443687526397e-05,-0.01999999999998181,-8.0,0.0,0.0,0.0,-100.0,-0.19753086419753085,0.0,0.0,0.0,-2.4691358024691357,-0.10931006047091228
2024-12-30 09:06:00+00:00,A,A,1.0,241.31,240.66500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944,2072,1412,2600,2600,1932,182,179,501,51,26,JPM,-6.232535916961268e-05,-0.014999999999986358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057804468515383976
2024-12-30 09:07:00+00:00,A,A,2.0,241.78,240.67000000000002,92.0,-108.0,100.0,0.0,0.0,0.0,-100.0,-4.0,-1.0,-26.0,-1.0,5672,10156,12162,14934,11600,687,1017,3625,350,150,150,JPM,2.0775551331730924e-05,0.0049999999999954525,8.0,-104.0,-1.0,-26.0,-1.0,0.19883021556509206,-2.584792802346197,-0.024853776945636508,-0.6461982005865492,-0.024853776945636508,-0.11776735114535823
2024-12-30 09:08:00+00:00,A,B,0.0,240.42,240.66500000000002,-92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392,2204,1280,2600,2600,78,279,401,51,26,26,JPM,-2.0775551331730924e-05,-0.0049999999999954525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057804468515383976
2024-12-30 09:09:00+00:00,A,A,2.0,241.45,240.745,0.0,83.0,8.0,100.0,34.0,100.0,4.0,4.0,1.0,26.0,101.0,1834,1308,2240,2042,2900,102,177,257,404,648,29,JPM,0.0003323570376032592,0.07999999999998408,-79.0,-4.0,-99.0,-8.0,1.0,-1.9232706514439224,-0.09738079247817329,-2.410174613834789,-0.19476158495634657,0.02434519811954332,-0.14623099365992473
2024-12-30 09:10:00+00:00,A,B,0.0,240.42,240.745,0.0,0.0,8.0,100.0,0.0,0.0,0.0,100.0,4.0,1.0,26.0,2905,858,2550,2180,3434,620,1670,133,658,2118,35,JPM,0.0,0.0,0.0,92.0,-96.0,1.0,26.0,0.0,1.880182179142824,-1.9619292304099032,0.020436762816769826,0.5313558332360154,-0.04919558889694419
2024-12-30 09:11:00+00:00,A,A,2.0,241.39,240.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664,340,602,470,800,320,512,23,83,430,8,JPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057804468515383976
2024-12-30 09:12:00+00:00,A,A,2.0,241.36,240.745,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830,172,842,472,934,144,712,229,41,284,10,JPM,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,-0.17167381974248927,0.0,0.0,0.0,-0.06113234809844311
2024-12-30 09:13:00+00:00,A,B,3.0,239.91,240.745,92.0,0.0,16.0,100.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,3403,1156,3322,2120,3968,200,230,1284,1531,2296,41,JPM,0.0,0.0,0.0,-16.0,-4.0,0.0,0.0,0.0,-0.33623782675551,-0.0840594566888775,0.0,0.0,-0.0659731278151559
2024-12-30 09:14:00+00:00,C,B,1.0,240.14,240.64,-92.0,2.0,75.0,200.0,0.0,0.0,-4.0,100.0,0.0,0.0,0.0,2236,3867,3729,3020,4934,292,2406,2182,997,3149,50,JPM,-0.00043624126910923877,-0.10500000000001819,-6.0,25.0,-200.0,0.0,0.0,-0.11189019841861853,0.4662091600775772,-3.7296732806206174,0.0,0.0,-0.12409635785723537
2024-12-30 09:15:00+00:00,A,A,0.0,241.06,240.64,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,884,2909,2640,1782,3300,237,432,2623,408,1079,33,JPM,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.1620228304897508,0.0,0.0,0.0,0.0,-0.05478151325081884
2024-12-30 09:16:00+00:00,A,A,0.0,241.07,240.64999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785,2053,1872,1344,2400,172,576,1905,149,994,24,JPM,4.15549876429111e-05,0.009999999999990905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057804468515383976
2024-12-30 09:17:00+00:00,A,A,2.0,241.18,240.64,0.0,-2.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611,1761,1870,1078,2200,156,484,1612,320,818,22,JPM,-4.15549876429111e-05,-0.009999999999990905,2.0,75.0,0.0,0.0,0.0,0.04032997250229147,1.5123739688359303,0.0,0.0,0.0,-0.027734792504973793
2024-12-30 09:18:00+00:00,A,B,1.0,240.11,240.635,0.0,2.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275,2469,2208,1812,3000,212,792,2307,205,1298,30,JPM,-2.0778141395894068e-05,-0.0049999999999954525,-2.0,-75.0,0.0,0.0,0.0,-0.038515855693927334,-1.4443445885222752,0.0,0.0,0.0,-0.0865215548440271
2024-12-30 09:19:00+00:00,A,A,0.0,241.02,240.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548,1685,1753,1342,2002,168,280,2002,72,720,22,JPM,-2.077857313675935e-05,-0.0049999999999954525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057804468515383976
2024-12-30 09:20:00+00:00,A,B,2.0,239.87,240.47,0.0,8.0,102.0,183.0,100.0,34.0,-8.0,-4.0,-100.0,-1.0,-26.0,1051,3857,4355,3188,4706,221,733,994,1554,3867,53,JPM,-0.000665142406563568,-0.1599999999999966,-16.0,-106.0,-283.0,-101.0,-60.0,-0.3457555247492457,-2.290630351463753,-6.115550844002283,-2.1825817499796134,-1.2965832178096715,-0.29641274764042974
2024-12-30 09:21:00+00:00,A,B,2.0,239.84,240.57999999999998,0.0,-8.0,-2.0,-83.0,0.0,-34.0,0.0,0.0,0.0,0.0,0.0,124,1186,2396,1676,1808,104,187,101,898,2303,26,JPM,0.0004573329255475045,0.10999999999998522,8.0,2.0,83.0,0.0,34.0,0.19289622554020214,0.048224056385050534,2.001298339979597,0.0,0.8198089585458591,0.001907325974881557
2024-12-30 09:22:00+00:00,C,A,1.0,241.02,240.57999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,457,1913,1953,1178,2234,92,142,180,1017,1632,23,JPM,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.17040192628264492,0.0,0.0,0.0,-0.054501244458037446
2024-12-30 09:23:00+00:00,C,B,3.0,239.88,240.57999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4,166,200,68,200,8,16,9,27,126,2,JPM,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.1941747572815534,0.0,0.0,0.0,-0.05404041054037049
2024-12-30 09:24:00+00:00,A,A,0.0,241.03,240.57999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352,1230,1136,740,1400,56,91,89,586,1103,14,JPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057804468515383976
2024-12-30 09:25:00+00:00,C,B,3.0,239.81,240.57999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,100.0,1.0,26.0,702,2047,1855,1410,2334,96,277,1568,304,670,24,JPM,0.0,0.0,0.0,8.0,100.0,1.0,26.0,0.0,0.17046967948148806,2.1308709935186005,0.021308709935186007,0.5540264583148362,-0.0015094939774228527
2024-12-30 09:26:00+00:00,A,A,3.0,241.45,240.57999999999998,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.0,1.0,457,1847,1623,1574,2234,92,188,372,150,819,23,JPM,0.0,0.0,0.0,0.0,100.0,10.0,1.0,0.0,0.0,2.458315519452758,0.24583155194527578,0.024583155194527577,-0.004260702976435107
2024-12-30 09:27:00+00:00,A,A,0.0,241.06,240.57999999999998,-92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-1.0,872,2413,2123,1678,2734,112,414,1513,229,600,28,JPM,0.0,0.0,0.0,0.0,0.0,-10.0,-1.0,0.0,0.0,0.0,-0.22068095838587645,-0.022068095838587643,-0.06253389666024811
2024-12-30 09:28:00+00:00,A,A,0.0,241.08,240.57999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,100.0,10.0,1.0,113,1015,1217,574,1234,52,114,353,174,608,13,JPM,0.0,0.0,0.0,8.0,100.0,10.0,1.0,0.0,0.19068573524019067,2.383571690502383,0.23835716905023835,0.023835716905023834,-0.0021922502089377163
2024-12-30 09:29:00+00:00,A,B,3.0,239.58,240.60500000000002,92.0,0.0,0.0,0.0,100.0,134.0,8.0,4.0,0.0,0.0,0.0,26,1079,1300,1102,640,61,172,658,281,205,13,JPM,0.00010391013860555631,0.025000000000034106,8.0,4.0,0.0,-100.0,-134.0,0.1882693700217234,0.0941346850108617,0.0,-2.3533671252715425,-3.153511947863867,-0.1594189504841803
2024-12-30 09:30:00+00:00,A,B,2.0,239.99,240.58499999999998,-92.0,6.0,109.0,-100.0,-100.0,-34.0,-8.0,196.0,100.0,0.0,0.0,2521,3279,3510,2150,3206,164,1036,2322,435,718,38,JPM,-8.312724708137154e-05,-0.020000000000038654,-14.0,87.0,200.0,100.0,34.0,-0.2750633369525878,1.709322165348224,3.9294762421798253,1.9647381210899126,0.6680109611705702,0.09860266532591304
2024-12-30 09:31:00+00:00,A,B,2.0,239.98,240.57999999999998,0.0,-6.0,83.0,100.0,100.0,34.0,0.0,-8.0,0.0,0.0,0.0,421,749,800,470,602,32,156,618,161,42,8,JPM,-2.0782891524184777e-05,-0.0049999999999954525,6.0,-91.0,-100.0,-100.0,-34.0,0.11848926191063934,-1.79708713897803,-1.974821031843989,-1.974821031843989,-0.6714391508269563,-0.18071249539430867
2024-12-30 09:32:00+00:00,C,A,0.0,241.12,240.58499999999998,-7.0,-2.0,-83.0,-100.0,-100.0,-34.0,0.0,0.0,0.0,0.0,0.0,682,883,900,372,834,36,64,716,270,27,9,JPM,2.0782891524184777e-05,0.0049999999999954525,2.0,83.0,100.0,100.0,34.0,0.03762541806020067,1.5614548494983278,1.8812709030100336,1.8812709030100336,0.6396321070234114,0.059171765931415155
2024-12-30 09:33:00+00:00,A,B,2.0,239.99,240.57999999999998,7.0,2.0,83.0,100.0,100.0,34.0,0.0,0.0,-100.0,-10.0,-1.0,465,2245,2683,2370,1314,108,954,1701,196,376,27,JPM,-2.0782891524184777e-05,-0.0049999999999954525,-2.0,-83.0,-200.0,-110.0,-35.0,-0.04350628424105704,-1.8055107960038672,-4.350628424105705,-2.3928456332581374,-0.7613599742184982,-0.24044393658371738
2024-12-30 09:34:00+00:00,C,A,1.0,241.1,240.59,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-4.0,0.0,0.0,0.0,202,1034,1366,1268,740,96,88,104,114,660,14,JPM,4.156535112898041e-05,0.010000000000019327,8.0,-4.0,0.0,0.0,0.0,0.19746121297602257,-0.09873060648801128,0.0,0.0,0.0,-0.056034201293445496
2024-12-30 09:35:00+00:00,A,B,2.0,239.96,240.57999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,4.0,100.0,10.0,1.0,22,913,1100,1100,374,44,274,547,279,203,11,JPM,-4.156535112898041e-05,-0.010000000000019327,-8.0,4.0,100.0,10.0,1.0,-0.1812191103789127,0.09060955518945635,2.2652388797364087,0.22652388797364087,0.022652388797364087,-0.010090696572156168
2024-12-30 09:36:00+00:00,A,B,1.0,240.04,240.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,-100.0,-10.0,-1.0,141,1187,1732,1734,942,84,222,1157,250,226,18,JPM,8.31289746523467e-05,0.020000000000010232,8.0,4.0,-100.0,-10.0,-1.0,0.18762214983713354,0.09381107491856677,-2.345276872964169,-0.2345276872964169,-0.023452768729641693,-0.10356708130358598
2024-12-30 09:37:00+00:00,A,B,1.0,240.06,240.61,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,100.0,10.0,1.0,95,598,700,634,304,52,128,514,151,41,7,JPM,4.1561896058972536e-05,0.010000000000019327,8.0,0.0,100.0,10.0,1.0,0.17407522536524717,0.0,2.1759403170655895,0.21759403170655894,0.021759403170655896,-0.007163200931100216
2024-12-30 09:38:00+00:00,A,B,1.0,240.09,240.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,350,1147,1300,1036,706,88,436,940,94,113,13,JPM,6.233960541113248e-05,0.014999999999986358,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0933977455716586,0.0,0.0,-0.016695232032230473
2024-12-30 09:39:00+00:00,A,B,1.0,240.1,240.635,0.0,-2.0,-75.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1267,1769,2600,2072,1412,180,600,956,157,599,26,JPM,4.155757803037119e-05,0.009999999999990905,10.0,75.0,0.0,0.0,0.0,0.22390630382363072,1.6792972786772304,0.0,0.0,0.0,-0.021073909465261165
2024-12-30 09:40:00+00:00,C,A,3.0,241.27,240.7,0.0,0.0,16.0,200.0,0.0,0.0,8.0,100.0,-100.0,-10.0,-1.0,3490,1422,4032,3674,2486,312,508,914,266,1388,44,JPM,0.0002700821689467503,0.06499999999999773,8.0,84.0,-300.0,-10.0,-1.0,0.19035258490157905,1.99870214146658,-7.1382219338092145,-0.2379407311269738,-0.02379407311269738,-0.16078493819617193
2024-12-30 09:41:00+00:00,A,A,3.0,241.25,240.695,0.0,2.0,83.0,8.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,609,1494,904,1902,1770,168,84,210,21,546,21,JPM,-2.077296191327349e-05,-0.0049999999999954525,-2.0,-83.0,-8.0,-100.0,-100.0,-0.054488842760768035,-2.2612869745718736,-0.21795537104307214,-2.724442138038402,-2.724442138038402,-0.21281195976196865
2024-12-30 09:43:00+00:00,A,B,1.0,240.18,240.67000000000002,0.0,0.0,0.0,8.0,100.0,0.0,8.0,0.0,0.0,0.0,0.0,78,1585,1220,2208,1706,164,126,179,157,943,23,JPM,-0.00010387128279987223,-0.024999999999977263,8.0,0.0,-8.0,-100.0,0.0,0.21993784365288072,0.0,-0.21993784365288072,-2.749223045661009,0.0,-0.11161431913898896
2024-12-30 09:44:00+00:00,A,A,3.0,241.21,240.675,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,794,703,1451,1319,124,70,151,41,490,16,JPM,2.077511971698698e-05,0.0049999999999954525,-7.0,0.0,0.0,0.0,0.0,-0.21555042340261737,0.0,0.0,0.0,0.0,-0.061826119570575266
2024-12-30 09:45:00+00:00,C,A,0.0,241.15,240.695,0.0,-2.0,-91.0,-108.0,-200.0,-134.0,0.0,0.0,0.0,0.0,0.0,1924,2055,3083,2176,2044,236,142,283,106,1028,31,JPM,8.309616308288525e-05,0.01999999999998181,2.0,91.0,108.0,200.0,134.0,0.04741148581478932,2.157222604572914,2.5602202339986233,4.7411485814789325,3.1765695495908846,0.18912088423417447
2024-12-30 09:46:00+00:00,C,A,1.0,241.17,240.675,0.0,0.0,208.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,3593,2184,4076,2980,2980,316,394,1195,249,1263,43,JPM,-8.309616308288525e-05,-0.01999999999998181,0.0,-308.0,0.0,0.0,0.0,0.0,-6.887155486219449,0.0,0.0,0.0,-0.19131127906065434
2024-12-30 09:47:00+00:00,A,A,2.0,241.27,240.735,0.0,0.0,8.0,100.0,100.0,34.0,8.0,0.0,0.0,0.0,0.0,1767,1548,2100,1110,1704,156,106,177,105,743,21,JPM,0.00024926777719969095,0.060000000000002274,8.0,-8.0,-100.0,-100.0,-34.0,0.17654476670870115,-0.17654476670870115,-2.2068095838587642,-2.2068095838587642,-0.7503152585119799,-0.15882103273858564
2024-12-30 09:48:00+00:00,A,A,2.0,241.26,240.745,0.0,0.0,-16.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,2324,1328,2616,2008,1876,200,136,514,155,949,28,JPM,4.153858935485033e-05,0.009999999999990905,-4.0,16.0,0.0,0.0,0.0,-0.09251610771518255,0.3700644308607302,0.0,0.0,0.0,-0.05235693450607146
2024-12-30 09:49:00+00:00,A,A,2.0,241.32,240.745,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,2656,1268,3200,2474,1814,136,198,215,316,1621,32,JPM,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,-0.18419916534753203,0.0,0.0,0.0,0.0,-0.06124118070546664
2024-12-30 09:50:00+00:00,A,B,1.0,240.14,240.64999999999998,0.0,2.0,75.0,0.0,42.0,100.0,-4.0,100.0,100.0,10.0,1.0,2821,2815,4310,2880,3412,280,1666,2299,459,1025,46,JPM,-0.00039468628146632767,-0.09500000000002728,-6.0,25.0,100.0,-32.0,-99.0,-0.1256430099694997,0.5235125415395822,2.0940501661583286,-0.6700960531706651,-2.0731096644967453,-0.062091706901131735
2024-12-30 09:51:00+00:00,A,B,1.0,240.24,240.70499999999998,0.0,-2.0,-59.0,0.0,0.0,0.0,16.0,0.0,-100.0,-10.0,-1.0,3083,2358,3038,2966,3004,300,786,1453,294,1138,43,JPM,0.00022852157031483245,0.05500000000000682,18.0,59.0,-100.0,-10.0,-1.0,0.42019543973941376,1.3773072747014117,-2.3344191096634095,-0.23344191096634095,-0.023344191096634097,-0.07411089157639765
