,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const       0.019545
OFI_JPM     0.000033
OFI_TSLA   -0.000047
OFI_XOM     0.000321
OFI_AMGN   -0.000003
OFI_AAPL   -0.000258
dtype: float64",0.10308764950366289,"const       0.516305
OFI_JPM     0.346405
OFI_TSLA    0.650860
OFI_XOM     0.607023
OFI_AMGN    0.861020
OFI_AAPL    0.362585
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_TSLA   R-squared:                       0.103
Model:                            OLS   Adj. R-squared:                 -0.092
Method:                 Least Squares   F-statistic:                    0.5287
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.752
Time:                        10:41:07   Log-Likelihood:                 16.851
No. Observations:                  29   AIC:                            -21.70
Df Residuals:                      23   BIC:                            -13.50
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0195      0.030      0.659      0.516      -0.042       0.081
OFI_JPM     3.257e-05   3.39e-05      0.961      0.346   -3.75e-05       0.000
OFI_TSLA   -4.682e-05      0.000     -0.459      0.651      -0.000       0.000
OFI_XOM        0.0003      0.001      0.521      0.607      -0.001       0.002
OFI_AMGN   -2.753e-06   1.56e-05     -0.177      0.861   -3.49e-05    2.94e-05
OFI_AAPL      -0.0003      0.000     -0.929      0.363      -0.001       0.000
==============================================================================
Omnibus:                       55.648   Durbin-Watson:                   2.264
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              380.023
Skew:                           3.846   Prob(JB):                     3.01e-83
Kurtosis:                      18.979   Cond. No.                     2.02e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.02e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const      -1.130871e-04
OFI_JPM    -2.276469e-07
OFI_TSLA    7.382476e-07
OFI_XOM    -4.254092e-05
OFI_AMGN    5.862912e-07
OFI_AAPL    8.458182e-07
dtype: float64",0.22543049381498315,"const       0.634848
OFI_JPM     0.569846
OFI_TSLA    0.505715
OFI_XOM     0.164653
OFI_AMGN    0.049736
OFI_AAPL    0.670607
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_TSLA   R-squared:                       0.225
Model:                            OLS   Adj. R-squared:                  0.064
Method:                 Least Squares   F-statistic:                     1.397
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.261
Time:                        10:41:07   Log-Likelihood:                 165.46
No. Observations:                  30   AIC:                            -318.9
Df Residuals:                      24   BIC:                            -310.5
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0001      0.000     -0.481      0.635      -0.001       0.000
OFI_JPM    -2.276e-07   3.95e-07     -0.576      0.570   -1.04e-06    5.88e-07
OFI_TSLA    7.382e-07   1.09e-06      0.676      0.506   -1.52e-06    2.99e-06
OFI_XOM    -4.254e-05   2.97e-05     -1.433      0.165      -0.000    1.87e-05
OFI_AMGN    5.863e-07   2.84e-07      2.066      0.050    7.34e-10    1.17e-06
OFI_AAPL    8.458e-07   1.96e-06      0.431      0.671   -3.21e-06     4.9e-06
==============================================================================
Omnibus:                       10.094   Durbin-Watson:                   2.193
Prob(Omnibus):                  0.006   Jarque-Bera (JB):               20.835
Skew:                          -0.302   Prob(JB):                     2.99e-05
Kurtosis:                       7.038   Cond. No.                     1.02e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.02e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const      -1.240150e-04
OFI_JPM    -8.517172e-07
OFI_TSLA    1.588779e-07
OFI_XOM     2.234528e-06
OFI_AMGN    1.148752e-06
OFI_AAPL   -1.804267e-06
dtype: float64",0.2491586702273758,"const       0.790260
OFI_JPM     0.336099
OFI_TSLA    0.755467
OFI_XOM     0.798669
OFI_AMGN    0.017595
OFI_AAPL    0.542338
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_TSLA   R-squared:                       0.249
Model:                            OLS   Adj. R-squared:                  0.093
Method:                 Least Squares   F-statistic:                     1.593
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.200
Time:                        10:41:07   Log-Likelihood:                 145.79
No. Observations:                  30   AIC:                            -279.6
Df Residuals:                      24   BIC:                            -271.2
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0001      0.000     -0.269      0.790      -0.001       0.001
OFI_JPM    -8.517e-07   8.68e-07     -0.982      0.336   -2.64e-06    9.39e-07
OFI_TSLA    1.589e-07   5.04e-07      0.315      0.755   -8.82e-07     1.2e-06
OFI_XOM     2.235e-06   8.66e-06      0.258      0.799   -1.56e-05    2.01e-05
OFI_AMGN    1.149e-06   4.51e-07      2.550      0.018    2.19e-07    2.08e-06
OFI_AAPL   -1.804e-06   2.92e-06     -0.618      0.542   -7.83e-06    4.22e-06
==============================================================================
Omnibus:                       31.005   Durbin-Watson:                   2.404
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               72.061
Skew:                          -2.226   Prob(JB):                     2.25e-16
Kurtosis:                       9.150   Cond. No.                     1.24e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.24e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const       4.900137e-04
OFI_JPM     2.070068e-07
OFI_TSLA    4.797769e-07
OFI_XOM     8.066566e-07
OFI_AMGN   -7.296708e-09
OFI_AAPL    1.757225e-06
dtype: float64",0.11158175932433112,"const       0.426721
OFI_JPM     0.706869
OFI_TSLA    0.397899
OFI_XOM     0.953336
OFI_AMGN    0.985416
OFI_AAPL    0.431692
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_TSLA   R-squared:                       0.112
Model:                            OLS   Adj. R-squared:                 -0.074
Method:                 Least Squares   F-statistic:                    0.6029
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.698
Time:                        10:41:07   Log-Likelihood:                 148.34
No. Observations:                  30   AIC:                            -284.7
Df Residuals:                      24   BIC:                            -276.3
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0005      0.001      0.809      0.427      -0.001       0.002
OFI_JPM      2.07e-07   5.44e-07      0.381      0.707   -9.16e-07    1.33e-06
OFI_TSLA    4.798e-07   5.57e-07      0.861      0.398   -6.71e-07    1.63e-06
OFI_XOM     8.067e-07   1.36e-05      0.059      0.953   -2.73e-05     2.9e-05
OFI_AMGN   -7.297e-09   3.95e-07     -0.018      0.985   -8.23e-07    8.08e-07
OFI_AAPL    1.757e-06    2.2e-06      0.800      0.432   -2.78e-06    6.29e-06
==============================================================================
Omnibus:                       65.973   Durbin-Watson:                   2.019
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              668.927
Skew:                           4.629   Prob(JB):                    5.55e-146
Kurtosis:                      24.200   Cond. No.                     2.36e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.36e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const      -3.680570e-06
OFI_JPM    -6.360948e-09
OFI_TSLA    3.006340e-08
OFI_XOM    -6.102164e-08
OFI_AMGN    1.097383e-09
OFI_AAPL    8.900809e-09
dtype: float64",0.062040666846845616,"const       0.226669
OFI_JPM     0.274814
OFI_TSLA    0.730798
OFI_XOM     0.611072
OFI_AMGN    0.696517
OFI_AAPL    0.632205
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_TSLA   R-squared:                       0.062
Model:                            OLS   Adj. R-squared:                 -0.133
Method:                 Least Squares   F-statistic:                    0.3175
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.898
Time:                        10:41:07   Log-Likelihood:                 294.33
No. Observations:                  30   AIC:                            -576.7
Df Residuals:                      24   BIC:                            -568.2
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -3.681e-06   2.97e-06     -1.241      0.227    -9.8e-06    2.44e-06
OFI_JPM    -6.361e-09   5.69e-09     -1.118      0.275   -1.81e-08    5.39e-09
OFI_TSLA    3.006e-08   8.64e-08      0.348      0.731   -1.48e-07    2.08e-07
OFI_XOM    -6.102e-08   1.18e-07     -0.515      0.611   -3.05e-07    1.83e-07
OFI_AMGN    1.097e-09   2.78e-09      0.395      0.697   -4.64e-09    6.83e-09
OFI_AAPL    8.901e-09   1.84e-08      0.485      0.632    -2.9e-08    4.68e-08
==============================================================================
Omnibus:                       66.734   Durbin-Watson:                   1.153
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              697.957
Skew:                          -4.693   Prob(JB):                    2.76e-152
Kurtosis:                      24.686   Cond. No.                     1.13e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.13e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const      -5.707809e-06
OFI_JPM     2.027567e-08
OFI_TSLA    5.497967e-07
OFI_XOM     2.280897e-08
OFI_AMGN    4.813928e-09
OFI_AAPL    2.819874e-07
dtype: float64",0.8600261230669961,"const       6.375855e-01
OFI_JPM     6.073791e-01
OFI_TSLA    1.201630e-11
OFI_XOM     9.375669e-01
OFI_AMGN    7.328671e-01
OFI_AAPL    5.332743e-01
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_TSLA   R-squared:                       0.860
Model:                            OLS   Adj. R-squared:                  0.831
Method:                 Least Squares   F-statistic:                     29.49
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           1.67e-09
Time:                        10:41:07   Log-Likelihood:                 250.75
No. Observations:                  30   AIC:                            -489.5
Df Residuals:                      24   BIC:                            -481.1
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -5.708e-06    1.2e-05     -0.477      0.638   -3.04e-05     1.9e-05
OFI_JPM     2.028e-08   3.89e-08      0.521      0.607   -6.01e-08    1.01e-07
OFI_TSLA    5.498e-07   4.57e-08     12.023      0.000    4.55e-07    6.44e-07
OFI_XOM     2.281e-08   2.88e-07      0.079      0.938   -5.72e-07    6.18e-07
OFI_AMGN    4.814e-09   1.39e-08      0.345      0.733    -2.4e-08    3.36e-08
OFI_AAPL     2.82e-07   4.46e-07      0.632      0.533   -6.39e-07     1.2e-06
==============================================================================
Omnibus:                       25.577   Durbin-Watson:                   2.026
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               55.272
Skew:                           1.771   Prob(JB):                     9.95e-13
Kurtosis:                       8.628   Cond. No.                         869.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const       5.294899e-05
OFI_JPM     4.474663e-08
OFI_TSLA    3.374859e-06
OFI_XOM    -9.583572e-07
OFI_AMGN   -3.076941e-07
OFI_AAPL    9.720794e-06
dtype: float64",0.23092941668372002,"const       0.864768
OFI_JPM     0.921501
OFI_TSLA    0.325230
OFI_XOM     0.775176
OFI_AMGN    0.411796
OFI_AAPL    0.058414
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_TSLA   R-squared:                       0.231
Model:                            OLS   Adj. R-squared:                  0.071
Method:                 Least Squares   F-statistic:                     1.441
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.246
Time:                        10:41:07   Log-Likelihood:                 153.61
No. Observations:                  30   AIC:                            -295.2
Df Residuals:                      24   BIC:                            -286.8
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       5.295e-05      0.000      0.172      0.865      -0.001       0.001
OFI_JPM     4.475e-08   4.49e-07      0.100      0.922   -8.83e-07    9.72e-07
OFI_TSLA    3.375e-06   3.36e-06      1.004      0.325   -3.56e-06    1.03e-05
OFI_XOM    -9.584e-07   3.32e-06     -0.289      0.775   -7.81e-06    5.89e-06
OFI_AMGN   -3.077e-07   3.68e-07     -0.835      0.412   -1.07e-06    4.53e-07
OFI_AAPL    9.721e-06   4.89e-06      1.987      0.058   -3.75e-07    1.98e-05
==============================================================================
Omnibus:                        9.603   Durbin-Watson:                   1.783
Prob(Omnibus):                  0.008   Jarque-Bera (JB):               20.259
Skew:                          -0.156   Prob(JB):                     3.99e-05
Kurtosis:                       7.014   Cond. No.                         995.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const      -2.512540e-04
OFI_JPM     4.332969e-08
OFI_TSLA    8.627672e-06
OFI_XOM     5.647614e-06
OFI_AMGN    5.050662e-07
OFI_AAPL    7.330693e-06
dtype: float64",0.3752692171013632,"const       0.636264
OFI_JPM     0.944929
OFI_TSLA    0.219533
OFI_XOM     0.090822
OFI_AMGN    0.349175
OFI_AAPL    0.018217
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_TSLA   R-squared:                       0.375
Model:                            OLS   Adj. R-squared:                  0.245
Method:                 Least Squares   F-statistic:                     2.883
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0354
Time:                        10:41:07   Log-Likelihood:                 140.91
No. Observations:                  30   AIC:                            -269.8
Df Residuals:                      24   BIC:                            -261.4
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0003      0.001     -0.479      0.636      -0.001       0.001
OFI_JPM     4.333e-08   6.21e-07      0.070      0.945   -1.24e-06    1.32e-06
OFI_TSLA    8.628e-06   6.84e-06      1.261      0.220    -5.5e-06    2.28e-05
OFI_XOM     5.648e-06   3.21e-06      1.762      0.091   -9.68e-07    1.23e-05
OFI_AMGN    5.051e-07   5.29e-07      0.955      0.349   -5.87e-07     1.6e-06
OFI_AAPL    7.331e-06   2.89e-06      2.534      0.018    1.36e-06    1.33e-05
==============================================================================
Omnibus:                        8.234   Durbin-Watson:                   2.573
Prob(Omnibus):                  0.016   Jarque-Bera (JB):                9.384
Skew:                          -0.580   Prob(JB):                      0.00917
Kurtosis:                       5.482   Cond. No.                     1.17e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.17e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const       5.871193e-04
OFI_JPM     7.849398e-07
OFI_TSLA    9.936597e-05
OFI_XOM    -1.086821e-05
OFI_AMGN    3.199503e-08
OFI_AAPL    9.954109e-08
dtype: float64",0.8220933674385437,"const       2.444040e-01
OFI_JPM     6.660650e-01
OFI_TSLA    1.906095e-10
OFI_XOM     3.139578e-01
OFI_AMGN    9.083959e-01
OFI_AAPL    9.959549e-01
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_TSLA   R-squared:                       0.822
Model:                            OLS   Adj. R-squared:                  0.785
Method:                 Least Squares   F-statistic:                     22.18
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           2.79e-08
Time:                        10:41:07   Log-Likelihood:                 140.81
No. Observations:                  30   AIC:                            -269.6
Df Residuals:                      24   BIC:                            -261.2
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0006      0.000      1.193      0.244      -0.000       0.002
OFI_JPM     7.849e-07    1.8e-06      0.437      0.666   -2.92e-06    4.49e-06
OFI_TSLA    9.937e-05   9.47e-06     10.493      0.000    7.98e-05       0.000
OFI_XOM    -1.087e-05   1.06e-05     -1.029      0.314   -3.27e-05    1.09e-05
OFI_AMGN      3.2e-08   2.75e-07      0.116      0.908   -5.36e-07       6e-07
OFI_AAPL    9.954e-08   1.94e-05      0.005      0.996      -4e-05    4.02e-05
==============================================================================
Omnibus:                       16.852   Durbin-Watson:                   1.428
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               34.092
Skew:                           1.041   Prob(JB):                     3.95e-08
Kurtosis:                       7.789   Cond. No.                     2.54e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.54e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const      -2.351212e-04
OFI_JPM     2.844979e-07
OFI_TSLA    8.356650e-05
OFI_XOM    -6.351109e-06
OFI_AMGN    5.665557e-08
OFI_AAPL    2.756043e-06
dtype: float64",0.9421989920265081,"const       5.049510e-01
OFI_JPM     3.549499e-01
OFI_TSLA    3.482467e-16
OFI_XOM     1.425833e-01
OFI_AMGN    7.272808e-01
OFI_AAPL    3.291086e-01
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:           returns_TSLA   R-squared:                       0.942
Model:                            OLS   Adj. R-squared:                  0.930
Method:                 Least Squares   F-statistic:                     78.24
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           4.65e-14
Time:                        10:41:07   Log-Likelihood:                 150.18
No. Observations:                  30   AIC:                            -288.4
Df Residuals:                      24   BIC:                            -279.9
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0002      0.000     -0.677      0.505      -0.001       0.000
OFI_JPM     2.845e-07   3.02e-07      0.943      0.355   -3.38e-07    9.07e-07
OFI_TSLA    8.357e-05    4.3e-06     19.422      0.000    7.47e-05    9.24e-05
OFI_XOM    -6.351e-06   4.19e-06     -1.516      0.143    -1.5e-05     2.3e-06
OFI_AMGN    5.666e-08   1.61e-07      0.353      0.727   -2.75e-07    3.88e-07
OFI_AAPL    2.756e-06   2.77e-06      0.996      0.329   -2.95e-06    8.47e-06
==============================================================================
Omnibus:                       21.846   Durbin-Watson:                   1.251
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               36.282
Skew:                          -1.645   Prob(JB):                     1.32e-08
Kurtosis:                       7.267   Cond. No.                     2.37e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.37e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
