,Train_Start,Train_End,Test_Start,Test_End,Out_of_Sample_R2,Actual,Predicted
0,2024-12-30 09:31:00+00:00,2024-12-30 10:00:00+00:00,2024-12-30 10:01:00+00:00,2024-12-30 10:05:00+00:00,-0.4308878167403083,"[np.float64(-0.0006478019130575774), np.float64(-7.06389291433851e-05), np.float64(-1.1773224156463868e-05), np.float64(-7.06497421578689e-05), np.float64(-0.00038858502552585605)]","[np.float64(0.00017805749453223788), np.float64(-0.00040479021667483035), np.float64(0.000864667279371172), np.float64(0.0006179919319790439), np.float64(0.0001731246834329725)]"
1,2024-12-30 09:32:00+00:00,2024-12-30 10:01:00+00:00,2024-12-30 10:02:00+00:00,2024-12-30 10:06:00+00:00,-1.4511477272042321,"[np.float64(-7.06389291433851e-05), np.float64(-1.1773224156463868e-05), np.float64(-7.06497421578689e-05), np.float64(-0.00038858502552585605), np.float64(0.00048294669089532505)]","[np.float64(-0.0004876516599763781), np.float64(0.0008205939300639298), np.float64(0.0005687607984014326), np.float64(8.964131989827259e-05), np.float64(0.00027087517588013333)]"
2,2024-12-30 09:33:00+00:00,2024-12-30 10:02:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:07:00+00:00,-1.7116934242125685,"[np.float64(-1.1773224156463868e-05), np.float64(-7.06497421578689e-05), np.float64(-0.00038858502552585605), np.float64(0.00048294669089532505), np.float64(8.241159889088578e-05)]","[np.float64(0.0007421604744945878), np.float64(0.0005415479880388227), np.float64(0.00015976237018750509), np.float64(0.0002439699189150398), np.float64(0.00040062975495510256)]"
3,2024-12-30 09:34:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:08:00+00:00,-0.11939547043681897,"[np.float64(-7.06497421578689e-05), np.float64(-0.00038858502552585605), np.float64(0.00048294669089532505), np.float64(8.241159889088578e-05), np.float64(0.0008237911331674397)]","[np.float64(0.0005037539859786139), np.float64(0.00015707400621008707), np.float64(0.00022465757421770357), np.float64(0.0003869701352566195), np.float64(0.0003506699518874407)]"
4,2024-12-30 09:35:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:09:00+00:00,0.2642525251224108,"[np.float64(-0.00038858502552585605), np.float64(0.00048294669089532505), np.float64(8.241159889088578e-05), np.float64(0.0008237911331674397), np.float64(0.0005768268796444431)]","[np.float64(0.0002527505179785636), np.float64(0.00021696593711889643), np.float64(0.00021623974469986762), np.float64(0.0005035915051036085), np.float64(0.00025529388303457084)]"
5,2024-12-30 09:36:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:10:00+00:00,0.2909868997620655,"[np.float64(0.00048294669089532505), np.float64(8.241159889088578e-05), np.float64(0.0008237911331674397), np.float64(0.0005768268796444431), np.float64(0.0006475578465989784)]","[np.float64(0.00025370953009994806), np.float64(0.00021016851629744194), np.float64(0.0002808304934346737), np.float64(0.0002788272737223741), np.float64(0.00045621713862207766)]"
6,2024-12-30 09:37:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:11:00+00:00,-0.7941968729462232,"[np.float64(8.241159889088578e-05), np.float64(0.0008237911331674397), np.float64(0.0005768268796444431), np.float64(0.0006475578465989784), np.float64(0.0004474009611330487)]","[np.float64(9.42631523850452e-05), np.float64(0.0001953903015379401), np.float64(-0.00012505228075016108), np.float64(0.000531536639665075), np.float64(0.00017672735999146107)]"
7,2024-12-30 09:38:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:12:00+00:00,-1.4354786310725123,"[np.float64(0.0008237911331674397), np.float64(0.0005768268796444431), np.float64(0.0006475578465989784), np.float64(0.0004474009611330487), np.float64(0.0002001141834657716)]","[np.float64(0.00019422349400346713), np.float64(-0.0001176763296071366), np.float64(0.0005278904447879672), np.float64(0.00024225997351164812), np.float64(0.0004623638225257604)]"
8,2024-12-30 09:39:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:13:00+00:00,-0.4704000267673625,"[np.float64(0.0005768268796444431), np.float64(0.0006475578465989784), np.float64(0.0004474009611330487), np.float64(0.0002001141834657716), np.float64(-0.000564812214958188)]","[np.float64(-0.00019502262016299576), np.float64(0.0005793744536135917), np.float64(0.0002240071455274416), np.float64(0.0006199556959265876), np.float64(0.0002549941988718237)]"
9,2024-12-30 09:40:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:10:00+00:00,2024-12-30 10:14:00+00:00,-0.0887725472541474,"[np.float64(0.0006475578465989784), np.float64(0.0004474009611330487), np.float64(0.0002001141834657716), np.float64(-0.000564812214958188), np.float64(-8.238347156819259e-05)]","[np.float64(0.0006480142781166963), np.float64(0.00027601723354105844), np.float64(0.0006015012133604336), np.float64(0.00038455679796295616), np.float64(0.0004123450963480281)]"
