,Train_Start,Train_End,Test_Start,Test_End,Out_of_Sample_R2,Actual,Predicted
0,2024-12-30 09:31:00+00:00,2024-12-30 10:00:00+00:00,2024-12-30 10:01:00+00:00,2024-12-30 10:05:00+00:00,-0.47708116914871534,"[np.float64(-0.0006478019130575774), np.float64(-7.06389291433851e-05), np.float64(-1.1773224156463868e-05), np.float64(-7.06497421578689e-05), np.float64(-0.00038858502552585605)]","[np.float64(0.0001625370390377745), np.float64(-0.0004488074073941748), np.float64(0.0009844149230652053), np.float64(0.0005209652293271954), np.float64(0.000145690884153097)]"
1,2024-12-30 09:32:00+00:00,2024-12-30 10:01:00+00:00,2024-12-30 10:02:00+00:00,2024-12-30 10:06:00+00:00,-2.012728904090937,"[np.float64(-7.06389291433851e-05), np.float64(-1.1773224156463868e-05), np.float64(-7.06497421578689e-05), np.float64(-0.00038858502552585605), np.float64(0.00048294669089532505)]","[np.float64(-0.0005518779585909743), np.float64(0.0009764735115804145), np.float64(0.00048329943790078515), np.float64(0.00011951331001213068), np.float64(0.00012106528991417666)]"
2,2024-12-30 09:33:00+00:00,2024-12-30 10:02:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:07:00+00:00,-2.094670346795858,"[np.float64(-1.1773224156463868e-05), np.float64(-7.06497421578689e-05), np.float64(-0.00038858502552585605), np.float64(0.00048294669089532505), np.float64(8.241159889088578e-05)]","[np.float64(0.0009128480319011049), np.float64(0.0004904089333409134), np.float64(0.00015394734046525054), np.float64(0.00013946480102811494), np.float64(0.0002175803672706018)]"
3,2024-12-30 09:34:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:08:00+00:00,0.15810205646258102,"[np.float64(-7.06497421578689e-05), np.float64(-0.00038858502552585605), np.float64(0.00048294669089532505), np.float64(8.241159889088578e-05), np.float64(0.0008237911331674397)]","[np.float64(0.00043856543114715967), np.float64(0.0001595286543093229), np.float64(0.00013951409304305658), np.float64(0.0002183959955806049), np.float64(0.0005704052180576828)]"
4,2024-12-30 09:35:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:09:00+00:00,0.43865898641154355,"[np.float64(-0.00038858502552585605), np.float64(0.00048294669089532505), np.float64(8.241159889088578e-05), np.float64(0.0008237911331674397), np.float64(0.0005768268796444431)]","[np.float64(0.0001705959993852427), np.float64(0.00014075016312588078), np.float64(0.0002027561002240986), np.float64(0.0005360616287102281), np.float64(0.0004695922577050647)]"
5,2024-12-30 09:36:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:10:00+00:00,0.5206557691791639,"[np.float64(0.00048294669089532505), np.float64(8.241159889088578e-05), np.float64(0.0008237911331674397), np.float64(0.0005768268796444431), np.float64(0.0006475578465989784)]","[np.float64(0.00016201241780264066), np.float64(0.00018280287303703853), np.float64(0.00041754506152718305), np.float64(0.00041623869906512516), np.float64(0.0004839714223080013)]"
6,2024-12-30 09:37:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:11:00+00:00,0.4118746030407159,"[np.float64(8.241159889088578e-05), np.float64(0.0008237911331674397), np.float64(0.0005768268796444431), np.float64(0.0006475578465989784), np.float64(0.0004474009611330487)]","[np.float64(0.00013667727843734738), np.float64(0.00031264987638245843), np.float64(0.00036840283336349365), np.float64(0.0005862986870036991), np.float64(0.0003579911251290846)]"
7,2024-12-30 09:38:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:12:00+00:00,-0.12194193134808917,"[np.float64(0.0008237911331674397), np.float64(0.0005768268796444431), np.float64(0.0006475578465989784), np.float64(0.0004474009611330487), np.float64(0.0002001141834657716)]","[np.float64(0.00035962571962216993), np.float64(0.0002951752567870289), np.float64(0.0004818960032172628), np.float64(0.00045581601156218643), np.float64(0.0005744882836503425)]"
8,2024-12-30 09:39:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:13:00+00:00,0.20676612270626138,"[np.float64(0.0005768268796444431), np.float64(0.0006475578465989784), np.float64(0.0004474009611330487), np.float64(0.0002001141834657716), np.float64(-0.000564812214958188)]","[np.float64(0.00029739726687559484), np.float64(0.0004637589707807457), np.float64(0.0005000089901262117), np.float64(0.0006289361083147962), np.float64(0.00014930099894178562)]"
9,2024-12-30 09:40:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:10:00+00:00,2024-12-30 10:14:00+00:00,0.09229934639951998,"[np.float64(0.0006475578465989784), np.float64(0.0004474009611330487), np.float64(0.0002001141834657716), np.float64(-0.000564812214958188), np.float64(-8.238347156819259e-05)]","[np.float64(0.0005928167261254742), np.float64(0.0004747746150220182), np.float64(0.000733593465722231), np.float64(0.0002887948427328838), np.float64(0.0002295026409354342)]"
