,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const   -0.000169
ofiI     0.000714
dtype: float64",0.8853753608148779,"const    5.851852e-02
ofiI     3.213717e-14
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.885
Model:                            OLS   Adj. R-squared:                  0.881
Method:                 Least Squares   F-statistic:                     208.6
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           3.21e-14
Time:                        10:40:45   Log-Likelihood:                 182.67
No. Observations:                  29   AIC:                            -361.3
Df Residuals:                      27   BIC:                            -358.6
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0002   8.56e-05     -1.975      0.059      -0.000    6.54e-06
ofiI           0.0007   4.94e-05     14.441      0.000       0.001       0.001
==============================================================================
Omnibus:                        1.292   Durbin-Watson:                   1.505
Prob(Omnibus):                  0.524   Jarque-Bera (JB):                1.129
Skew:                          -0.305   Prob(JB):                        0.569
Kurtosis:                       2.250   Cond. No.                         1.73
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const   -0.000011
ofiI     0.000501
dtype: float64",0.7012332380263114,"const    8.385005e-01
ofiI     7.947458e-09
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.701
Model:                            OLS   Adj. R-squared:                  0.691
Method:                 Least Squares   F-statistic:                     65.72
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           7.95e-09
Time:                        10:40:45   Log-Likelihood:                 204.67
No. Observations:                  30   AIC:                            -405.3
Df Residuals:                      28   BIC:                            -402.5
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -1.058e-05   5.14e-05     -0.206      0.839      -0.000    9.48e-05
ofiI           0.0005   6.18e-05      8.107      0.000       0.000       0.001
==============================================================================
Omnibus:                        0.707   Durbin-Watson:                   2.391
Prob(Omnibus):                  0.702   Jarque-Bera (JB):                0.107
Skew:                          -0.089   Prob(JB):                        0.948
Kurtosis:                       3.232   Cond. No.                         1.37
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const    0.000049
ofiI     0.000603
dtype: float64",0.6825756983817904,"const    2.502788e-01
ofiI     1.878736e-08
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.683
Model:                            OLS   Adj. R-squared:                  0.671
Method:                 Least Squares   F-statistic:                     60.21
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           1.88e-08
Time:                        10:40:45   Log-Likelihood:                 210.95
No. Observations:                  30   AIC:                            -417.9
Df Residuals:                      28   BIC:                            -415.1
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       4.914e-05   4.19e-05      1.174      0.250   -3.66e-05       0.000
ofiI           0.0006   7.77e-05      7.760      0.000       0.000       0.001
==============================================================================
Omnibus:                        8.953   Durbin-Watson:                   1.984
Prob(Omnibus):                  0.011   Jarque-Bera (JB):                7.552
Skew:                           0.956   Prob(JB):                       0.0229
Kurtosis:                       4.545   Cond. No.                         1.98
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const   -0.000018
ofiI     0.000439
dtype: float64",0.6237652103458673,"const    7.161904e-01
ofiI     2.113693e-07
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.624
Model:                            OLS   Adj. R-squared:                  0.610
Method:                 Least Squares   F-statistic:                     46.42
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           2.11e-07
Time:                        10:40:45   Log-Likelihood:                 205.05
No. Observations:                  30   AIC:                            -406.1
Df Residuals:                      28   BIC:                            -403.3
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -1.819e-05   4.95e-05     -0.367      0.716      -0.000    8.33e-05
ofiI           0.0004   6.44e-05      6.813      0.000       0.000       0.001
==============================================================================
Omnibus:                        0.070   Durbin-Watson:                   2.041
Prob(Omnibus):                  0.966   Jarque-Bera (JB):                0.204
Skew:                           0.101   Prob(JB):                        0.903
Kurtosis:                       2.649   Cond. No.                         1.33
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const    0.000037
ofiI     0.000639
dtype: float64",0.8067652583738523,"const    3.041537e-01
ofiI     1.670699e-11
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.807
Model:                            OLS   Adj. R-squared:                  0.800
Method:                 Least Squares   F-statistic:                     116.9
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           1.67e-11
Time:                        10:40:45   Log-Likelihood:                 215.86
No. Observations:                  30   AIC:                            -427.7
Df Residuals:                      28   BIC:                            -424.9
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       3.707e-05   3.54e-05      1.047      0.304   -3.55e-05       0.000
ofiI           0.0006   5.91e-05     10.812      0.000       0.001       0.001
==============================================================================
Omnibus:                        0.241   Durbin-Watson:                   2.381
Prob(Omnibus):                  0.886   Jarque-Bera (JB):                0.425
Skew:                           0.143   Prob(JB):                        0.809
Kurtosis:                       2.492   Cond. No.                         1.78
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const   -0.000025
ofiI     0.000473
dtype: float64",0.6874663467164487,"const    4.930341e-01
ofiI     1.506778e-08
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.687
Model:                            OLS   Adj. R-squared:                  0.676
Method:                 Least Squares   F-statistic:                     61.59
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           1.51e-08
Time:                        10:40:45   Log-Likelihood:                 215.73
No. Observations:                  30   AIC:                            -427.5
Df Residuals:                      28   BIC:                            -424.7
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -2.454e-05   3.53e-05     -0.695      0.493   -9.69e-05    4.78e-05
ofiI           0.0005   6.03e-05      7.848      0.000       0.000       0.001
==============================================================================
Omnibus:                        2.817   Durbin-Watson:                   2.416
Prob(Omnibus):                  0.245   Jarque-Bera (JB):                1.987
Skew:                          -0.630   Prob(JB):                        0.370
Kurtosis:                       3.054   Cond. No.                         1.79
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const   -0.000200
ofiI     0.000464
dtype: float64",0.5751186316902442,"const    0.008912
ofiI     0.000001
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.575
Model:                            OLS   Adj. R-squared:                  0.560
Method:                 Least Squares   F-statistic:                     37.90
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           1.20e-06
Time:                        10:40:45   Log-Likelihood:                 194.63
No. Observations:                  30   AIC:                            -385.3
Df Residuals:                      28   BIC:                            -382.5
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0002   7.13e-05     -2.811      0.009      -0.000   -5.44e-05
ofiI           0.0005   7.54e-05      6.156      0.000       0.000       0.001
==============================================================================
Omnibus:                        0.701   Durbin-Watson:                   1.847
Prob(Omnibus):                  0.704   Jarque-Bera (JB):                0.565
Skew:                          -0.316   Prob(JB):                        0.754
Kurtosis:                       2.772   Cond. No.                         1.25
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const   -0.000009
ofiI     0.000413
dtype: float64",0.4258939185803148,"const    0.933583
ofiI     0.000093
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.426
Model:                            OLS   Adj. R-squared:                  0.405
Method:                 Least Squares   F-statistic:                     20.77
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           9.29e-05
Time:                        10:40:45   Log-Likelihood:                 183.59
No. Observations:                  30   AIC:                            -363.2
Df Residuals:                      28   BIC:                            -360.4
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -8.549e-06      0.000     -0.084      0.934      -0.000       0.000
ofiI           0.0004   9.07e-05      4.558      0.000       0.000       0.001
==============================================================================
Omnibus:                        0.465   Durbin-Watson:                   2.172
Prob(Omnibus):                  0.792   Jarque-Bera (JB):                0.436
Skew:                          -0.260   Prob(JB):                        0.804
Kurtosis:                       2.720   Cond. No.                         1.21
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const   -0.000076
ofiI     0.000481
dtype: float64",0.6321339187171758,"const    4.076946e-01
ofiI     1.533420e-07
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.632
Model:                            OLS   Adj. R-squared:                  0.619
Method:                 Least Squares   F-statistic:                     48.11
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           1.53e-07
Time:                        10:40:45   Log-Likelihood:                 187.08
No. Observations:                  30   AIC:                            -370.2
Df Residuals:                      28   BIC:                            -367.4
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -7.606e-05   9.05e-05     -0.841      0.408      -0.000       0.000
ofiI           0.0005   6.93e-05      6.936      0.000       0.000       0.001
==============================================================================
Omnibus:                        1.290   Durbin-Watson:                   2.477
Prob(Omnibus):                  0.525   Jarque-Bera (JB):                0.568
Skew:                          -0.321   Prob(JB):                        0.753
Kurtosis:                       3.204   Cond. No.                         1.36
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const   -0.000065
ofiI     0.001055
dtype: float64",0.5765567534643051,"const    0.550070
ofiI     0.000001
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.577
Model:                            OLS   Adj. R-squared:                  0.561
Method:                 Least Squares   F-statistic:                     38.12
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           1.15e-06
Time:                        10:40:45   Log-Likelihood:                 181.52
No. Observations:                  30   AIC:                            -359.0
Df Residuals:                      28   BIC:                            -356.2
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -6.533e-05      0.000     -0.605      0.550      -0.000       0.000
ofiI           0.0011      0.000      6.175      0.000       0.001       0.001
==============================================================================
Omnibus:                        0.520   Durbin-Watson:                   2.419
Prob(Omnibus):                  0.771   Jarque-Bera (JB):                0.060
Skew:                          -0.089   Prob(JB):                        0.970
Kurtosis:                       3.129   Cond. No.                         1.59
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
