,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const   -8.112433e-05
OFI1     6.099912e-07
dtype: float64",0.7813887218193278,"const    5.009112e-01
OFI1     2.076269e-10
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.781
Model:                            OLS   Adj. R-squared:                  0.773
Method:                 Least Squares   F-statistic:                     96.51
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           2.08e-10
Time:                        10:40:44   Log-Likelihood:                 173.31
No. Observations:                  29   AIC:                            -342.6
Df Residuals:                      27   BIC:                            -339.9
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -8.112e-05      0.000     -0.682      0.501      -0.000       0.000
OFI1          6.1e-07   6.21e-08      9.824      0.000    4.83e-07    7.37e-07
==============================================================================
Omnibus:                        3.647   Durbin-Watson:                   1.939
Prob(Omnibus):                  0.161   Jarque-Bera (JB):                2.669
Skew:                          -0.064   Prob(JB):                        0.263
Kurtosis:                       4.481   Cond. No.                     1.93e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.93e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const   -2.226771e-05
OFI1     4.917262e-07
dtype: float64",0.6569658316228002,"const    6.921808e-01
OFI1     5.664491e-08
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.657
Model:                            OLS   Adj. R-squared:                  0.645
Method:                 Least Squares   F-statistic:                     53.62
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           5.66e-08
Time:                        10:40:44   Log-Likelihood:                 202.59
No. Observations:                  30   AIC:                            -401.2
Df Residuals:                      28   BIC:                            -398.4
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -2.227e-05   5.57e-05     -0.400      0.692      -0.000    9.18e-05
OFI1        4.917e-07   6.71e-08      7.323      0.000    3.54e-07    6.29e-07
==============================================================================
Omnibus:                        1.091   Durbin-Watson:                   2.787
Prob(Omnibus):                  0.580   Jarque-Bera (JB):                1.080
Skew:                           0.364   Prob(JB):                        0.583
Kurtosis:                       2.422   Cond. No.                         865.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const    2.625026e-05
OFI1     2.193505e-07
dtype: float64",0.2733559761700257,"const    0.685023
OFI1     0.003034
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.273
Model:                            OLS   Adj. R-squared:                  0.247
Method:                 Least Squares   F-statistic:                     10.53
Date:                Sat, 11 Jan 2025   Prob (F-statistic):            0.00303
Time:                        10:40:44   Log-Likelihood:                 198.52
No. Observations:                  30   AIC:                            -393.0
Df Residuals:                      28   BIC:                            -390.2
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       2.625e-05    6.4e-05      0.410      0.685      -0.000       0.000
OFI1        2.194e-07   6.76e-08      3.246      0.003    8.09e-08    3.58e-07
==============================================================================
Omnibus:                       13.004   Durbin-Watson:                   2.719
Prob(Omnibus):                  0.002   Jarque-Bera (JB):               13.779
Skew:                           1.178   Prob(JB):                      0.00102
Kurtosis:                       5.340   Cond. No.                         993.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const   -3.788146e-05
OFI1     1.684789e-07
dtype: float64",0.21772673022624212,"const    0.599357
OFI1     0.009342
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.218
Model:                            OLS   Adj. R-squared:                  0.190
Method:                 Least Squares   F-statistic:                     7.793
Date:                Sat, 11 Jan 2025   Prob (F-statistic):            0.00934
Time:                        10:40:44   Log-Likelihood:                 194.07
No. Observations:                  30   AIC:                            -384.1
Df Residuals:                      28   BIC:                            -381.3
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -3.788e-05   7.13e-05     -0.531      0.599      -0.000       0.000
OFI1        1.685e-07   6.04e-08      2.792      0.009    4.49e-08    2.92e-07
==============================================================================
Omnibus:                        3.508   Durbin-Watson:                   2.172
Prob(Omnibus):                  0.173   Jarque-Bera (JB):                2.336
Skew:                           0.230   Prob(JB):                        0.311
Kurtosis:                       4.287   Cond. No.                     1.19e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.19e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const    7.104120e-05
OFI1     2.561855e-07
dtype: float64",0.38684961956777675,"const    0.267583
OFI1     0.000243
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.387
Model:                            OLS   Adj. R-squared:                  0.365
Method:                 Least Squares   F-statistic:                     17.67
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           0.000243
Time:                        10:40:44   Log-Likelihood:                 198.54
No. Observations:                  30   AIC:                            -393.1
Df Residuals:                      28   BIC:                            -390.3
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       7.104e-05   6.28e-05      1.131      0.268   -5.76e-05       0.000
OFI1        2.562e-07    6.1e-08      4.203      0.000    1.31e-07    3.81e-07
==============================================================================
Omnibus:                        2.899   Durbin-Watson:                   2.210
Prob(Omnibus):                  0.235   Jarque-Bera (JB):                1.807
Skew:                           0.585   Prob(JB):                        0.405
Kurtosis:                       3.276   Cond. No.                     1.06e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.06e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const    2.058986e-05
OFI1     2.499122e-07
dtype: float64",0.41319501019007077,"const    0.666958
OFI1     0.000128
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.413
Model:                            OLS   Adj. R-squared:                  0.392
Method:                 Least Squares   F-statistic:                     19.72
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           0.000128
Time:                        10:40:44   Log-Likelihood:                 206.28
No. Observations:                  30   AIC:                            -408.6
Df Residuals:                      28   BIC:                            -405.8
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       2.059e-05   4.73e-05      0.435      0.667   -7.64e-05       0.000
OFI1        2.499e-07   5.63e-08      4.440      0.000    1.35e-07    3.65e-07
==============================================================================
Omnibus:                        0.634   Durbin-Watson:                   2.173
Prob(Omnibus):                  0.728   Jarque-Bera (JB):                0.725
Skew:                          -0.222   Prob(JB):                        0.696
Kurtosis:                       2.382   Cond. No.                         844.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const    8.686309e-06
OFI1     5.403621e-07
dtype: float64",0.6729914615706931,"const    8.911848e-01
OFI1     2.867605e-08
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.673
Model:                            OLS   Adj. R-squared:                  0.661
Method:                 Least Squares   F-statistic:                     57.62
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           2.87e-08
Time:                        10:40:44   Log-Likelihood:                 198.55
No. Observations:                  30   AIC:                            -393.1
Df Residuals:                      28   BIC:                            -390.3
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       8.686e-06   6.29e-05      0.138      0.891      -0.000       0.000
OFI1        5.404e-07   7.12e-08      7.591      0.000    3.95e-07    6.86e-07
==============================================================================
Omnibus:                        6.034   Durbin-Watson:                   1.927
Prob(Omnibus):                  0.049   Jarque-Bera (JB):                4.279
Skew:                           0.812   Prob(JB):                        0.118
Kurtosis:                       3.886   Cond. No.                         911.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const    1.522528e-04
OFI1     5.732449e-07
dtype: float64",0.5638508568108025,"const    0.122301
OFI1     0.000002
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.564
Model:                            OLS   Adj. R-squared:                  0.548
Method:                 Least Squares   F-statistic:                     36.20
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           1.75e-06
Time:                        10:40:44   Log-Likelihood:                 187.71
No. Observations:                  30   AIC:                            -371.4
Df Residuals:                      28   BIC:                            -368.6
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0002   9.56e-05      1.593      0.122   -4.35e-05       0.000
OFI1        5.732e-07   9.53e-08      6.016      0.000    3.78e-07    7.68e-07
==============================================================================
Omnibus:                        0.811   Durbin-Watson:                   2.426
Prob(Omnibus):                  0.667   Jarque-Bera (JB):                0.158
Skew:                          -0.120   Prob(JB):                        0.924
Kurtosis:                       3.262   Cond. No.                     1.09e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.09e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const    1.642997e-05
OFI1     2.382719e-07
dtype: float64",0.44837329865447095,"const    0.888548
OFI1     0.000052
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.448
Model:                            OLS   Adj. R-squared:                  0.429
Method:                 Least Squares   F-statistic:                     22.76
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           5.19e-05
Time:                        10:40:44   Log-Likelihood:                 181.00
No. Observations:                  30   AIC:                            -358.0
Df Residuals:                      28   BIC:                            -355.2
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       1.643e-05      0.000      0.141      0.889      -0.000       0.000
OFI1        2.383e-07   4.99e-08      4.771      0.000    1.36e-07    3.41e-07
==============================================================================
Omnibus:                        1.837   Durbin-Watson:                   2.030
Prob(Omnibus):                  0.399   Jarque-Bera (JB):                0.827
Skew:                           0.352   Prob(JB):                        0.661
Kurtosis:                       3.409   Cond. No.                     2.46e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.46e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const   -9.399656e-05
OFI1     1.996041e-07
dtype: float64",0.2624783317086553,"const    0.514257
OFI1     0.003798
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.262
Model:                            OLS   Adj. R-squared:                  0.236
Method:                 Least Squares   F-statistic:                     9.965
Date:                Sat, 11 Jan 2025   Prob (F-statistic):            0.00380
Time:                        10:40:44   Log-Likelihood:                 173.19
No. Observations:                  30   AIC:                            -342.4
Df Residuals:                      28   BIC:                            -339.6
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const        -9.4e-05      0.000     -0.661      0.514      -0.000       0.000
OFI1        1.996e-07   6.32e-08      3.157      0.004    7.01e-08    3.29e-07
==============================================================================
Omnibus:                        0.200   Durbin-Watson:                   2.626
Prob(Omnibus):                  0.905   Jarque-Bera (JB):                0.252
Skew:                           0.169   Prob(JB):                        0.881
Kurtosis:                       2.705   Cond. No.                     2.25e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.25e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
