ts_event,action,side,depth,price,midprice,size,aOF1,aOF2,aOF3,aOF4,aOF5,bOF1,bOF2,bOF3,bOF4,bOF5,ask_sz_01,ask_sz_02,ask_sz_03,ask_sz_04,ask_sz_05,bid_sz_01,bid_sz_02,bid_sz_03,bid_sz_04,bid_sz_05,event_num,symbol,returns,midprice_delta,OFI1,OFI2,OFI3,OFI4,OFI5,ofi1,ofi2,ofi3,ofi4,ofi5,ofiI
2024-12-30 09:01:00+00:00,A,A,2,426.22,425.865,77.0,1444.0,1999.0,2688.0,2584.0,1157.0,693.0,1559.0,910.0,847.0,932.0,423875,447434,455888,658088,739664,81163,83019,80383,97198,98728,1437,TSLA,-0.0002700021733970104,-0.1150000000000091,-751.0,-440.0,-1778.0,-1737.0,-225.0,-3.4092795946219163,-1.9974474322684996,-8.071503487666801,-7.8853777042054185,-1.0214219824100284,-0.5251478309015932
2024-12-30 09:02:00+00:00,A,B,1,425.16,425.505,-50.0,1612.0,2901.0,724.0,592.0,2108.0,-269.0,68.0,-257.0,-550.0,423.0,228669,277005,435511,593856,725306,59463,77397,79238,85834,107198,1095,TSLA,-0.0008456958113542967,-0.36000000000001364,-1881.0,-2833.0,-981.0,-1142.0,-1685.0,-7.715724840483736,-11.620759422163967,-4.023990467046541,-4.68440072718364,-6.9117471324907465,-0.811204109780139
2024-12-30 09:03:00+00:00,C,A,8,426.2,425.345,450.0,-980.0,-2952.0,-980.0,-1052.0,547.0,274.0,1429.0,346.0,-270.0,-273.0,211232,334693,384766,505576,639495,175896,115519,70873,63370,57312,948,TSLA,-0.0003760944981738845,-0.15999999999996817,1254.0,4381.0,1326.0,782.0,-820.0,4.646019981772222,16.231430255298328,4.912777109912254,2.8972788084097907,-3.0380672927059185,0.633994397924876
2024-12-30 09:04:00+00:00,A,A,2,425.25,424.855,-450.0,332.0,177.0,-447.0,-1053.0,-106.0,-423.0,-679.0,-368.0,197.0,-206.0,43369,42133,58115,91544,305893,27547,28840,52922,59271,76872,852,TSLA,-0.001152670087634533,-0.4900000000000091,-755.0,-856.0,79.0,1250.0,-100.0,-8.178704294690695,-9.272809107622827,0.8557849526894898,13.540901150150157,-1.0832720920120125,-0.08472815836323336
2024-12-30 09:05:00+00:00,A,B,0,424.75,424.915,-40.0,245.0,-267.0,-756.0,-779.0,-1183.0,578.0,1250.0,-623.0,-1358.0,-1733.0,161911,182086,234410,274206,300557,50916,56445,83129,142342,210688,914,TSLA,0.00014121468185468444,0.060000000000002274,333.0,1517.0,133.0,-579.0,-550.0,1.7938574518621553,8.172017280705374,0.7164655888818818,-3.1190494433278917,-2.962827623195752,0.128136583469154
2024-12-30 09:06:00+00:00,A,B,3,422.89,423.255,40.0,2974.0,4180.0,3559.0,4044.0,4644.0,-738.0,-482.0,-279.0,-2560.0,-2609.0,114668,120613,238890,226452,241921,110991,88509,97285,131729,152021,1064,TSLA,-0.003914314629197335,-1.660000000000025,-3712.0,-4662.0,-3838.0,-6604.0,-7253.0,-25.931471709609283,-32.56802831632503,-26.811688691131582,-46.13454719026393,-50.66836323000974,-4.235986282230577
2024-12-30 09:07:00+00:00,A,A,2,423.4,423.025,0.0,1688.0,1735.0,3982.0,2640.0,1020.0,68.0,925.0,1778.0,377.0,-110.0,215027,268094,436702,476064,549783,64154,75375,106498,168661,240364,1272,TSLA,-0.0005435553378623226,-0.2300000000000182,-1620.0,-810.0,-2204.0,-2263.0,-1130.0,-7.923338211465893,-3.9616691057329465,-10.779652727204216,-11.068218748485997,-5.526772949973123,-0.9154290897683321
2024-12-30 09:08:00+00:00,A,A,3,422.39,422.09000000000003,0.0,1851.0,3293.0,4154.0,4300.0,4477.0,-474.0,141.0,39.0,-38.0,-735.0,121663,306371,166470,259055,398452,68575,44137,55569,91428,144681,1120,TSLA,-0.002212717515341467,-0.9349999999999454,-2325.0,-3152.0,-4115.0,-4338.0,-5212.0,-15.720830885757735,-21.31271352770253,-27.824180255867994,-29.332027691362175,-35.24170777486852,-3.020683272791338
2024-12-30 09:09:00+00:00,A,A,3,422.15,421.8,0.0,895.0,404.0,1847.0,180.0,-209.0,663.0,515.0,502.0,260.0,-908.0,135115,109575,268206,293775,307131,115255,120737,152900,167468,183966,1040,TSLA,-0.0006872933946739934,-0.29000000000002046,-232.0,111.0,-1345.0,80.0,-699.0,-1.3013125307422142,0.6226107366913181,-7.544247214863268,0.4487284588766256,-3.9207649094345163,-0.2672932234572853
2024-12-30 09:10:00+00:00,A,A,4,423.1,422.73,50.0,-3875.0,-7534.0,-8342.0,-6349.0,-4295.0,404.0,1326.0,751.0,95.0,1431.0,190594,269463,373687,517860,514449,176602,158265,125079,155885,247124,1274,TSLA,0.0022024093304482406,0.9300000000000068,4279.0,8860.0,9093.0,6444.0,5726.0,19.97592531791772,41.3616962647233,42.44942484595135,30.08293123362042,26.731046592754584,3.8173716532691415
