,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const        0.000161
ofiI_JPM    -0.000345
ofiI_TSLA   -0.000005
ofiI_XOM     0.001674
ofiI_AMGN   -0.000014
ofiI_AAPL    0.000015
dtype: float64",0.39223149389987766,"const        0.010239
ofiI_JPM     0.047670
ofiI_TSLA    0.977363
ofiI_XOM     0.002626
ofiI_AMGN    0.485494
ofiI_AAPL    0.935602
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.392
Model:                            OLS   Adj. R-squared:                  0.260
Method:                 Least Squares   F-statistic:                     2.969
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0328
Time:                        15:41:48   Log-Likelihood:                 213.93
No. Observations:                  29   AIC:                            -415.9
Df Residuals:                      23   BIC:                            -407.7
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0002   5.76e-05      2.797      0.010     4.2e-05       0.000
ofiI_JPM      -0.0003      0.000     -2.092      0.048      -0.001   -3.85e-06
ofiI_TSLA  -5.234e-06      0.000     -0.029      0.977      -0.000       0.000
ofiI_XOM       0.0017      0.000      3.373      0.003       0.001       0.003
ofiI_AMGN  -1.377e-05   1.94e-05     -0.709      0.485    -5.4e-05    2.64e-05
ofiI_AAPL   1.475e-05      0.000      0.082      0.936      -0.000       0.000
==============================================================================
Omnibus:                        1.971   Durbin-Watson:                   2.394
Prob(Omnibus):                  0.373   Jarque-Bera (JB):                0.834
Skew:                           0.304   Prob(JB):                        0.659
Kurtosis:                       3.565   Cond. No.                         27.7
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const        0.000011
ofiI_JPM    -0.000048
ofiI_TSLA    0.000410
ofiI_XOM     0.000551
ofiI_AMGN    0.000028
ofiI_AAPL    0.000030
dtype: float64",0.10988099600242862,"const        0.883726
ofiI_JPM     0.866409
ofiI_TSLA    0.270292
ofiI_XOM     0.341142
ofiI_AMGN    0.668642
ofiI_AAPL    0.896730
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.110
Model:                            OLS   Adj. R-squared:                 -0.076
Method:                 Least Squares   F-statistic:                    0.5925
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.706
Time:                        15:41:48   Log-Likelihood:                 208.72
No. Observations:                  30   AIC:                            -405.4
Df Residuals:                      24   BIC:                            -397.0
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       1.135e-05   7.68e-05      0.148      0.884      -0.000       0.000
ofiI_JPM   -4.794e-05      0.000     -0.170      0.866      -0.001       0.001
ofiI_TSLA      0.0004      0.000      1.128      0.270      -0.000       0.001
ofiI_XOM       0.0006      0.001      0.971      0.341      -0.001       0.002
ofiI_AMGN   2.781e-05   6.42e-05      0.433      0.669      -0.000       0.000
ofiI_AAPL   3.022e-05      0.000      0.131      0.897      -0.000       0.001
==============================================================================
Omnibus:                        3.447   Durbin-Watson:                   2.492
Prob(Omnibus):                  0.178   Jarque-Bera (JB):                2.053
Skew:                          -0.372   Prob(JB):                        0.358
Kurtosis:                       4.044   Cond. No.                         13.3
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const        0.000052
ofiI_JPM     0.000325
ofiI_TSLA   -0.000009
ofiI_XOM     0.000795
ofiI_AMGN    0.000104
ofiI_AAPL   -0.000070
dtype: float64",0.1777771954567985,"const        0.402380
ofiI_JPM     0.318563
ofiI_TSLA    0.935681
ofiI_XOM     0.121290
ofiI_AMGN    0.295893
ofiI_AAPL    0.579176
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.178
Model:                            OLS   Adj. R-squared:                  0.006
Method:                 Least Squares   F-statistic:                     1.038
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.418
Time:                        15:41:48   Log-Likelihood:                 208.60
No. Observations:                  30   AIC:                            -405.2
Df Residuals:                      24   BIC:                            -396.8
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       5.204e-05    6.1e-05      0.852      0.402    -7.4e-05       0.000
ofiI_JPM       0.0003      0.000      1.019      0.319      -0.000       0.001
ofiI_TSLA  -8.733e-06      0.000     -0.082      0.936      -0.000       0.000
ofiI_XOM       0.0008      0.000      1.606      0.121      -0.000       0.002
ofiI_AMGN      0.0001   9.74e-05      1.069      0.296   -9.69e-05       0.000
ofiI_AAPL  -6.968e-05      0.000     -0.562      0.579      -0.000       0.000
==============================================================================
Omnibus:                       13.711   Durbin-Watson:                   2.679
Prob(Omnibus):                  0.001   Jarque-Bera (JB):               18.570
Skew:                           1.033   Prob(JB):                     9.28e-05
Kurtosis:                       6.254   Cond. No.                         11.0
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const        0.000033
ofiI_JPM     0.000048
ofiI_TSLA    0.000007
ofiI_XOM     0.000199
ofiI_AMGN    0.000032
ofiI_AAPL   -0.000120
dtype: float64",0.4592062601749376,"const        0.033987
ofiI_JPM     0.570551
ofiI_TSLA    0.652632
ofiI_XOM     0.186681
ofiI_AMGN    0.054440
ofiI_AAPL    0.019046
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.459
Model:                            OLS   Adj. R-squared:                  0.347
Method:                 Least Squares   F-statistic:                     4.076
Date:                Sat, 11 Jan 2025   Prob (F-statistic):            0.00806
Time:                        15:41:48   Log-Likelihood:                 255.87
No. Observations:                  30   AIC:                            -499.7
Df Residuals:                      24   BIC:                            -491.3
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       3.252e-05   1.45e-05      2.249      0.034    2.67e-06    6.24e-05
ofiI_JPM    4.775e-05    8.3e-05      0.575      0.571      -0.000       0.000
ofiI_TSLA   7.145e-06   1.57e-05      0.456      0.653   -2.52e-05    3.95e-05
ofiI_XOM       0.0002      0.000      1.359      0.187      -0.000       0.001
ofiI_AMGN   3.248e-05   1.61e-05      2.022      0.054    -6.7e-07    6.56e-05
ofiI_AAPL     -0.0001   4.75e-05     -2.514      0.019      -0.000   -2.14e-05
==============================================================================
Omnibus:                       13.504   Durbin-Watson:                   1.538
Prob(Omnibus):                  0.001   Jarque-Bera (JB):               15.434
Skew:                           1.154   Prob(JB):                     0.000445
Kurtosis:                       5.650   Cond. No.                         15.7
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const        0.000093
ofiI_JPM     0.000146
ofiI_TSLA   -0.000147
ofiI_XOM     0.002524
ofiI_AMGN    0.000018
ofiI_AAPL    0.000113
dtype: float64",0.6858766205220321,"const        9.197238e-03
ofiI_JPM     3.831371e-01
ofiI_TSLA    5.885258e-01
ofiI_XOM     1.873609e-07
ofiI_AMGN    6.992552e-01
ofiI_AAPL    5.079495e-01
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.686
Model:                            OLS   Adj. R-squared:                  0.620
Method:                 Least Squares   F-statistic:                     10.48
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           2.00e-05
Time:                        15:41:48   Log-Likelihood:                 226.75
No. Observations:                  30   AIC:                            -441.5
Df Residuals:                      24   BIC:                            -433.1
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       9.282e-05   3.28e-05      2.833      0.009    2.52e-05       0.000
ofiI_JPM       0.0001      0.000      0.888      0.383      -0.000       0.000
ofiI_TSLA     -0.0001      0.000     -0.548      0.589      -0.001       0.000
ofiI_XOM       0.0025      0.000      7.213      0.000       0.002       0.003
ofiI_AMGN   1.806e-05   4.62e-05      0.391      0.699   -7.73e-05       0.000
ofiI_AAPL      0.0001      0.000      0.672      0.508      -0.000       0.000
==============================================================================
Omnibus:                        4.601   Durbin-Watson:                   2.830
Prob(Omnibus):                  0.100   Jarque-Bera (JB):                3.190
Skew:                          -0.473   Prob(JB):                        0.203
Kurtosis:                       4.287   Cond. No.                         13.9
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const        0.000113
ofiI_JPM    -0.000196
ofiI_TSLA    0.000046
ofiI_XOM     0.002726
ofiI_AMGN    0.000070
ofiI_AAPL   -0.000196
dtype: float64",0.7032537916371437,"const        3.286752e-02
ofiI_JPM     5.533541e-01
ofiI_TSLA    8.571722e-01
ofiI_XOM     2.950441e-07
ofiI_AMGN    2.707455e-01
ofiI_AAPL    7.010021e-01
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.703
Model:                            OLS   Adj. R-squared:                  0.641
Method:                 Least Squares   F-statistic:                     11.38
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           1.05e-05
Time:                        15:41:48   Log-Likelihood:                 217.97
No. Observations:                  30   AIC:                            -423.9
Df Residuals:                      24   BIC:                            -415.5
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const          0.0001   4.97e-05      2.264      0.033    9.97e-06       0.000
ofiI_JPM      -0.0002      0.000     -0.601      0.553      -0.001       0.000
ofiI_TSLA   4.567e-05      0.000      0.182      0.857      -0.000       0.001
ofiI_XOM       0.0027      0.000      7.018      0.000       0.002       0.004
ofiI_AMGN   6.993e-05    6.2e-05      1.127      0.271   -5.81e-05       0.000
ofiI_AAPL     -0.0002      0.001     -0.389      0.701      -0.001       0.001
==============================================================================
Omnibus:                        1.549   Durbin-Watson:                   1.507
Prob(Omnibus):                  0.461   Jarque-Bera (JB):                0.557
Skew:                          -0.220   Prob(JB):                        0.757
Kurtosis:                       3.503   Cond. No.                         15.8
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const       -0.000174
ofiI_JPM     0.001469
ofiI_TSLA    0.000963
ofiI_XOM     0.000710
ofiI_AMGN    0.000347
ofiI_AAPL   -0.007130
dtype: float64",0.19156285940026685,"const        0.750431
ofiI_JPM     0.623851
ofiI_TSLA    0.728795
ofiI_XOM     0.858688
ofiI_AMGN    0.364309
ofiI_AAPL    0.149937
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.192
Model:                            OLS   Adj. R-squared:                  0.023
Method:                 Least Squares   F-statistic:                     1.137
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.368
Time:                        15:41:48   Log-Likelihood:                 150.48
No. Observations:                  30   AIC:                            -289.0
Df Residuals:                      24   BIC:                            -280.5
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0002      0.001     -0.322      0.750      -0.001       0.001
ofiI_JPM       0.0015      0.003      0.497      0.624      -0.005       0.008
ofiI_TSLA      0.0010      0.003      0.351      0.729      -0.005       0.007
ofiI_XOM       0.0007      0.004      0.180      0.859      -0.007       0.009
ofiI_AMGN      0.0003      0.000      0.925      0.364      -0.000       0.001
ofiI_AAPL     -0.0071      0.005     -1.487      0.150      -0.017       0.003
==============================================================================
Omnibus:                       17.289   Durbin-Watson:                   1.873
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               73.645
Skew:                           0.551   Prob(JB):                     1.02e-16
Kurtosis:                      10.596   Cond. No.                         16.6
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const       -0.000262
ofiI_JPM     0.000290
ofiI_TSLA    0.001313
ofiI_XOM     0.000901
ofiI_AMGN    0.000148
ofiI_AAPL   -0.001272
dtype: float64",0.18006033657079668,"const        0.108514
ofiI_JPM     0.416513
ofiI_TSLA    0.126644
ofiI_XOM     0.208829
ofiI_AMGN    0.179211
ofiI_AAPL    0.119439
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.180
Model:                            OLS   Adj. R-squared:                  0.009
Method:                 Least Squares   F-statistic:                     1.054
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.410
Time:                        15:41:48   Log-Likelihood:                 184.11
No. Observations:                  30   AIC:                            -356.2
Df Residuals:                      24   BIC:                            -347.8
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0003      0.000     -1.667      0.109      -0.001    6.24e-05
ofiI_JPM       0.0003      0.000      0.827      0.417      -0.000       0.001
ofiI_TSLA      0.0013      0.001      1.582      0.127      -0.000       0.003
ofiI_XOM       0.0009      0.001      1.292      0.209      -0.001       0.002
ofiI_AMGN      0.0001      0.000      1.384      0.179   -7.29e-05       0.000
ofiI_AAPL     -0.0013      0.001     -1.615      0.119      -0.003       0.000
==============================================================================
Omnibus:                        8.376   Durbin-Watson:                   1.294
Prob(Omnibus):                  0.015   Jarque-Bera (JB):                7.058
Skew:                          -1.154   Prob(JB):                       0.0293
Kurtosis:                       3.569   Cond. No.                         10.4
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const        0.000082
ofiI_JPM     0.000522
ofiI_TSLA    0.000013
ofiI_XOM     0.003775
ofiI_AMGN   -0.000056
ofiI_AAPL    0.001627
dtype: float64",0.3812981338250986,"const        0.260965
ofiI_JPM     0.104459
ofiI_TSLA    0.980241
ofiI_XOM     0.006473
ofiI_AMGN    0.191540
ofiI_AAPL    0.104616
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.381
Model:                            OLS   Adj. R-squared:                  0.252
Method:                 Least Squares   F-statistic:                     2.958
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0322
Time:                        15:41:48   Log-Likelihood:                 208.06
No. Observations:                  30   AIC:                            -404.1
Df Residuals:                      24   BIC:                            -395.7
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       8.232e-05   7.15e-05      1.151      0.261   -6.53e-05       0.000
ofiI_JPM       0.0005      0.000      1.688      0.104      -0.000       0.001
ofiI_TSLA   1.286e-05      0.001      0.025      0.980      -0.001       0.001
ofiI_XOM       0.0038      0.001      2.982      0.006       0.001       0.006
ofiI_AMGN  -5.556e-05   4.13e-05     -1.344      0.192      -0.000    2.98e-05
ofiI_AAPL      0.0016      0.001      1.687      0.105      -0.000       0.004
==============================================================================
Omnibus:                        5.489   Durbin-Watson:                   2.313
Prob(Omnibus):                  0.064   Jarque-Bera (JB):                5.999
Skew:                          -0.132   Prob(JB):                       0.0498
Kurtosis:                       5.175   Cond. No.                         35.3
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const        0.000085
ofiI_JPM     0.000020
ofiI_TSLA    0.000281
ofiI_XOM     0.002335
ofiI_AMGN   -0.000002
ofiI_AAPL    0.000647
dtype: float64",0.8090726397279291,"const        2.068549e-01
ofiI_JPM     8.913026e-01
ofiI_TSLA    3.736195e-01
ofiI_XOM     2.581851e-09
ofiI_AMGN    9.825329e-01
ofiI_AAPL    1.348357e-02
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.809
Model:                            OLS   Adj. R-squared:                  0.769
Method:                 Least Squares   F-statistic:                     20.34
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           6.36e-08
Time:                        15:41:48   Log-Likelihood:                 204.98
No. Observations:                  30   AIC:                            -398.0
Df Residuals:                      24   BIC:                            -389.5
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       8.487e-05   6.54e-05      1.297      0.207   -5.01e-05       0.000
ofiI_JPM     1.99e-05      0.000      0.138      0.891      -0.000       0.000
ofiI_TSLA      0.0003      0.000      0.907      0.374      -0.000       0.001
ofiI_XOM       0.0023      0.000      9.173      0.000       0.002       0.003
ofiI_AMGN  -1.946e-06    8.8e-05     -0.022      0.983      -0.000       0.000
ofiI_AAPL      0.0006      0.000      2.667      0.013       0.000       0.001
==============================================================================
Omnibus:                        3.150   Durbin-Watson:                   2.247
Prob(Omnibus):                  0.207   Jarque-Bera (JB):                2.099
Skew:                          -0.640   Prob(JB):                        0.350
Kurtosis:                       3.207   Cond. No.                         6.04
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
