,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const      -8.776262e-06
OFI_JPM    -2.008319e-08
OFI_TSLA   -5.924605e-10
OFI_XOM     2.297270e-07
OFI_AMGN   -3.545681e-08
OFI_AAPL    6.004805e-07
dtype: float64",0.21876600587336514,"const       0.817482
OFI_JPM     0.644582
OFI_TSLA    0.996388
OFI_XOM     0.770877
OFI_AMGN    0.085290
OFI_AAPL    0.101340
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.219
Model:                            OLS   Adj. R-squared:                  0.049
Method:                 Least Squares   F-statistic:                     1.288
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.303
Time:                        10:41:08   Log-Likelihood:                 210.29
No. Observations:                  29   AIC:                            -408.6
Df Residuals:                      23   BIC:                            -400.4
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -8.776e-06   3.76e-05     -0.233      0.817   -8.65e-05     6.9e-05
OFI_JPM    -2.008e-08    4.3e-08     -0.467      0.645   -1.09e-07    6.88e-08
OFI_TSLA   -5.925e-10   1.29e-07     -0.005      0.996   -2.68e-07    2.67e-07
OFI_XOM     2.297e-07    7.8e-07      0.295      0.771   -1.38e-06    1.84e-06
OFI_AMGN   -3.546e-08   1.97e-08     -1.798      0.085   -7.62e-08    5.33e-09
OFI_AAPL    6.005e-07   3.52e-07      1.707      0.101   -1.27e-07    1.33e-06
==============================================================================
Omnibus:                       12.156   Durbin-Watson:                   2.412
Prob(Omnibus):                  0.002   Jarque-Bera (JB):               15.020
Skew:                          -0.950   Prob(JB):                     0.000548
Kurtosis:                       5.970   Cond. No.                     2.02e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.02e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const      -4.336471e-06
OFI_JPM     2.804351e-08
OFI_TSLA    7.731675e-08
OFI_XOM     1.833050e-05
OFI_AMGN    1.773240e-08
OFI_AAPL    1.239979e-07
dtype: float64",0.28104640614939125,"const       0.931555
OFI_JPM     0.741287
OFI_TSLA    0.742054
OFI_XOM     0.007747
OFI_AMGN    0.771218
OFI_AAPL    0.769000
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.281
Model:                            OLS   Adj. R-squared:                  0.131
Method:                 Least Squares   F-statistic:                     1.876
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.136
Time:                        10:41:08   Log-Likelihood:                 211.92
No. Observations:                  30   AIC:                            -411.8
Df Residuals:                      24   BIC:                            -403.4
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -4.336e-06      5e-05     -0.087      0.932      -0.000    9.88e-05
OFI_JPM     2.804e-08    8.4e-08      0.334      0.741   -1.45e-07    2.01e-07
OFI_TSLA    7.732e-08   2.32e-07      0.333      0.742   -4.02e-07    5.57e-07
OFI_XOM     1.833e-05   6.31e-06      2.906      0.008    5.31e-06    3.13e-05
OFI_AMGN    1.773e-08   6.03e-08      0.294      0.771   -1.07e-07    1.42e-07
OFI_AAPL     1.24e-07   4.17e-07      0.297      0.769   -7.38e-07    9.86e-07
==============================================================================
Omnibus:                        4.326   Durbin-Watson:                   2.591
Prob(Omnibus):                  0.115   Jarque-Bera (JB):                3.833
Skew:                          -0.025   Prob(JB):                        0.147
Kurtosis:                       4.750   Cond. No.                     1.02e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.02e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const      -2.917028e-06
OFI_JPM     1.756389e-07
OFI_TSLA    1.732723e-08
OFI_XOM    -1.305714e-06
OFI_AMGN   -5.300018e-08
OFI_AAPL    4.649232e-07
dtype: float64",0.1353462685455309,"const       0.960501
OFI_JPM     0.122401
OFI_TSLA    0.788115
OFI_XOM     0.244834
OFI_AMGN    0.361373
OFI_AAPL    0.219813
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.135
Model:                            OLS   Adj. R-squared:                 -0.045
Method:                 Least Squares   F-statistic:                    0.7514
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.593
Time:                        10:41:08   Log-Likelihood:                 207.84
No. Observations:                  30   AIC:                            -403.7
Df Residuals:                      24   BIC:                            -395.3
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -2.917e-06   5.83e-05     -0.050      0.961      -0.000       0.000
OFI_JPM     1.756e-07    1.1e-07      1.601      0.122   -5.07e-08    4.02e-07
OFI_TSLA    1.733e-08   6.38e-08      0.272      0.788   -1.14e-07    1.49e-07
OFI_XOM    -1.306e-06    1.1e-06     -1.192      0.245   -3.57e-06    9.55e-07
OFI_AMGN     -5.3e-08    5.7e-08     -0.931      0.361   -1.71e-07    6.46e-08
OFI_AAPL    4.649e-07   3.69e-07      1.260      0.220   -2.97e-07    1.23e-06
==============================================================================
Omnibus:                        7.125   Durbin-Watson:                   2.727
Prob(Omnibus):                  0.028   Jarque-Bera (JB):                8.613
Skew:                           0.378   Prob(JB):                       0.0135
Kurtosis:                       5.514   Cond. No.                     1.24e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.24e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const       2.617044e-05
OFI_JPM     2.744257e-08
OFI_TSLA   -1.026284e-08
OFI_XOM     1.002393e-06
OFI_AMGN   -8.273502e-09
OFI_AAPL   -1.071348e-07
dtype: float64",0.3773627814785172,"const       0.159988
OFI_JPM     0.103176
OFI_TSLA    0.542222
OFI_XOM     0.021127
OFI_AMGN    0.488660
OFI_AAPL    0.114603
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.377
Model:                            OLS   Adj. R-squared:                  0.248
Method:                 Least Squares   F-statistic:                     2.909
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0343
Time:                        10:41:08   Log-Likelihood:                 253.75
No. Observations:                  30   AIC:                            -495.5
Df Residuals:                      24   BIC:                            -487.1
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       2.617e-05    1.8e-05      1.450      0.160   -1.11e-05    6.34e-05
OFI_JPM     2.744e-08   1.62e-08      1.694      0.103   -5.99e-09    6.09e-08
OFI_TSLA   -1.026e-08   1.66e-08     -0.618      0.542   -4.45e-08     2.4e-08
OFI_XOM     1.002e-06   4.06e-07      2.467      0.021    1.64e-07    1.84e-06
OFI_AMGN   -8.274e-09   1.18e-08     -0.703      0.489   -3.26e-08     1.6e-08
OFI_AAPL   -1.071e-07   6.54e-08     -1.637      0.115   -2.42e-07    2.79e-08
==============================================================================
Omnibus:                       47.657   Durbin-Watson:                   1.615
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              246.732
Skew:                           3.174   Prob(JB):                     2.65e-54
Kurtosis:                      15.533   Cond. No.                     2.36e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.36e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const       2.738129e-05
OFI_JPM     5.098727e-08
OFI_TSLA    5.822889e-07
OFI_XOM     4.519457e-06
OFI_AMGN    9.918501e-09
OFI_AAPL   -3.122538e-08
dtype: float64",0.23585527321348165,"const       0.539724
OFI_JPM     0.551681
OFI_TSLA    0.653621
OFI_XOM     0.016726
OFI_AMGN    0.812017
OFI_AAPL    0.909694
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.236
Model:                            OLS   Adj. R-squared:                  0.077
Method:                 Least Squares   F-statistic:                     1.482
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.233
Time:                        10:41:08   Log-Likelihood:                 213.41
No. Observations:                  30   AIC:                            -414.8
Df Residuals:                      24   BIC:                            -406.4
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       2.738e-05    4.4e-05      0.622      0.540   -6.35e-05       0.000
OFI_JPM     5.099e-08   8.45e-08      0.604      0.552   -1.23e-07    2.25e-07
OFI_TSLA    5.823e-07   1.28e-06      0.454      0.654   -2.06e-06    3.23e-06
OFI_XOM     4.519e-06   1.76e-06      2.572      0.017    8.93e-07    8.15e-06
OFI_AMGN    9.919e-09   4.12e-08      0.240      0.812   -7.52e-08    9.51e-08
OFI_AAPL   -3.123e-08   2.72e-07     -0.115      0.910   -5.93e-07    5.31e-07
==============================================================================
Omnibus:                        8.458   Durbin-Watson:                   2.920
Prob(Omnibus):                  0.015   Jarque-Bera (JB):               11.409
Skew:                          -0.474   Prob(JB):                      0.00333
Kurtosis:                       5.868   Cond. No.                     1.13e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.13e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const      -3.140443e-05
OFI_JPM     1.137571e-07
OFI_TSLA   -9.772450e-08
OFI_XOM     5.175332e-06
OFI_AMGN    2.177651e-08
OFI_AAPL   -6.042358e-07
dtype: float64",0.4768401876171944,"const       0.513703
OFI_JPM     0.467880
OFI_TSLA    0.594416
OFI_XOM     0.000135
OFI_AMGN    0.696727
OFI_AAPL    0.735293
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.477
Model:                            OLS   Adj. R-squared:                  0.368
Method:                 Least Squares   F-statistic:                     4.375
Date:                Sat, 11 Jan 2025   Prob (F-statistic):            0.00568
Time:                        10:41:08   Log-Likelihood:                 209.46
No. Observations:                  30   AIC:                            -406.9
Df Residuals:                      24   BIC:                            -398.5
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       -3.14e-05   4.74e-05     -0.663      0.514      -0.000    6.64e-05
OFI_JPM     1.138e-07   1.54e-07      0.738      0.468   -2.05e-07    4.32e-07
OFI_TSLA   -9.772e-08   1.81e-07     -0.540      0.594   -4.71e-07    2.76e-07
OFI_XOM     5.175e-06   1.14e-06      4.535      0.000    2.82e-06    7.53e-06
OFI_AMGN    2.178e-08   5.52e-08      0.394      0.697   -9.22e-08    1.36e-07
OFI_AAPL   -6.042e-07   1.77e-06     -0.342      0.735   -4.25e-06    3.04e-06
==============================================================================
Omnibus:                        9.012   Durbin-Watson:                   2.263
Prob(Omnibus):                  0.011   Jarque-Bera (JB):               12.943
Skew:                           0.495   Prob(JB):                      0.00155
Kurtosis:                       6.062   Cond. No.                         869.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const       1.948996e-05
OFI_JPM    -6.328019e-08
OFI_TSLA   -1.125930e-06
OFI_XOM     2.468440e-06
OFI_AMGN    5.186314e-07
OFI_AAPL   -1.348833e-05
dtype: float64",0.36499032412758503,"const       0.949184
OFI_JPM     0.887377
OFI_TSLA    0.736400
OFI_XOM     0.456907
OFI_AMGN    0.165339
OFI_AAPL    0.009867
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.365
Model:                            OLS   Adj. R-squared:                  0.233
Method:                 Least Squares   F-statistic:                     2.759
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0417
Time:                        10:41:08   Log-Likelihood:                 154.10
No. Observations:                  30   AIC:                            -296.2
Df Residuals:                      24   BIC:                            -287.8
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       1.949e-05      0.000      0.064      0.949      -0.001       0.001
OFI_JPM    -6.328e-08   4.42e-07     -0.143      0.887   -9.76e-07    8.49e-07
OFI_TSLA   -1.126e-06   3.31e-06     -0.341      0.736   -7.95e-06     5.7e-06
OFI_XOM     2.468e-06   3.26e-06      0.756      0.457   -4.27e-06    9.21e-06
OFI_AMGN    5.186e-07   3.62e-07      1.431      0.165   -2.29e-07    1.27e-06
OFI_AAPL   -1.349e-05   4.81e-06     -2.803      0.010   -2.34e-05   -3.56e-06
==============================================================================
Omnibus:                       16.703   Durbin-Watson:                   1.998
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               40.461
Skew:                           0.908   Prob(JB):                     1.64e-09
Kurtosis:                       8.392   Cond. No.                         995.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const      -2.792366e-04
OFI_JPM    -1.749829e-07
OFI_TSLA   -5.669649e-07
OFI_XOM    -9.795549e-07
OFI_AMGN    2.410359e-08
OFI_AAPL    3.777328e-07
dtype: float64",0.11147063486791009,"const       0.041112
OFI_JPM     0.264345
OFI_TSLA    0.739865
OFI_XOM     0.227321
OFI_AMGN    0.854972
OFI_AAPL    0.601394
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.111
Model:                            OLS   Adj. R-squared:                 -0.074
Method:                 Least Squares   F-statistic:                    0.6022
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.699
Time:                        10:41:08   Log-Likelihood:                 182.91
No. Observations:                  30   AIC:                            -353.8
Df Residuals:                      24   BIC:                            -345.4
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.0003      0.000     -2.158      0.041      -0.001   -1.22e-05
OFI_JPM     -1.75e-07   1.53e-07     -1.143      0.264   -4.91e-07    1.41e-07
OFI_TSLA    -5.67e-07   1.69e-06     -0.336      0.740   -4.05e-06    2.92e-06
OFI_XOM    -9.796e-07   7.91e-07     -1.239      0.227   -2.61e-06    6.52e-07
OFI_AMGN     2.41e-08    1.3e-07      0.185      0.855   -2.45e-07    2.93e-07
OFI_AAPL    3.777e-07   7.14e-07      0.529      0.601   -1.09e-06    1.85e-06
==============================================================================
Omnibus:                       14.767   Durbin-Watson:                   1.881
Prob(Omnibus):                  0.001   Jarque-Bera (JB):               16.653
Skew:                          -1.307   Prob(JB):                     0.000242
Kurtosis:                       5.547   Cond. No.                     1.17e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.17e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const      -2.131472e-05
OFI_JPM    -6.430662e-08
OFI_TSLA    2.015522e-07
OFI_XOM     6.317554e-06
OFI_AMGN   -2.568357e-09
OFI_AAPL    7.828198e-08
dtype: float64",0.856204548490696,"const       4.062530e-01
OFI_JPM     4.915747e-01
OFI_TSLA    6.816076e-01
OFI_XOM     2.235083e-11
OFI_AMGN    8.569968e-01
OFI_AAPL    9.379902e-01
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.856
Model:                            OLS   Adj. R-squared:                  0.826
Method:                 Least Squares   F-statistic:                     28.58
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           2.29e-09
Time:                        10:41:08   Log-Likelihood:                 229.95
No. Observations:                  30   AIC:                            -447.9
Df Residuals:                      24   BIC:                            -439.5
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -2.131e-05   2.52e-05     -0.845      0.406   -7.34e-05    3.07e-05
OFI_JPM    -6.431e-08   9.21e-08     -0.699      0.492   -2.54e-07    1.26e-07
OFI_TSLA    2.016e-07   4.85e-07      0.415      0.682      -8e-07     1.2e-06
OFI_XOM     6.318e-06   5.42e-07     11.666      0.000     5.2e-06    7.44e-06
OFI_AMGN   -2.568e-09   1.41e-08     -0.182      0.857   -3.17e-08    2.65e-08
OFI_AAPL    7.828e-08   9.96e-07      0.079      0.938   -1.98e-06    2.13e-06
==============================================================================
Omnibus:                       35.367   Durbin-Watson:                   0.623
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              103.398
Skew:                          -2.443   Prob(JB):                     3.53e-23
Kurtosis:                      10.671   Cond. No.                     2.54e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.54e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const      -8.182470e-05
OFI_JPM    -1.182581e-08
OFI_TSLA    3.503624e-07
OFI_XOM     6.082707e-06
OFI_AMGN    1.042776e-08
OFI_AAPL    4.038311e-08
dtype: float64",0.7781620014534569,"const       1.871456e-01
OFI_JPM     8.231102e-01
OFI_TSLA    6.430460e-01
OFI_XOM     1.407110e-08
OFI_AMGN    7.114307e-01
OFI_AAPL    9.336458e-01
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:            returns_XOM   R-squared:                       0.778
Model:                            OLS   Adj. R-squared:                  0.732
Method:                 Least Squares   F-statistic:                     16.84
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           3.65e-07
Time:                        10:41:08   Log-Likelihood:                 202.73
No. Observations:                  30   AIC:                            -393.5
Df Residuals:                      24   BIC:                            -385.0
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -8.182e-05   6.03e-05     -1.358      0.187      -0.000    4.25e-05
OFI_JPM    -1.183e-08   5.23e-08     -0.226      0.823    -1.2e-07    9.62e-08
OFI_TSLA    3.504e-07   7.46e-07      0.469      0.643   -1.19e-06    1.89e-06
OFI_XOM     6.083e-06   7.27e-07      8.369      0.000    4.58e-06    7.58e-06
OFI_AMGN    1.043e-08   2.79e-08      0.374      0.711   -4.71e-08    6.79e-08
OFI_AAPL    4.038e-08    4.8e-07      0.084      0.934    -9.5e-07    1.03e-06
==============================================================================
Omnibus:                        3.271   Durbin-Watson:                   2.361
Prob(Omnibus):                  0.195   Jarque-Bera (JB):                1.834
Skew:                          -0.455   Prob(JB):                        0.400
Kurtosis:                       3.798   Cond. No.                     2.37e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.37e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
