,Train_Start,Train_End,Test_Start,Test_End,Out_of_Sample_R2,Actual,Predicted
0,2024-12-30 09:32:00+00:00,2024-12-30 10:02:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:07:00+00:00,0.03768952583620633,"[np.float64(0.0003745143061424372), np.float64(0.00028088572816997726), np.float64(0.0), np.float64(-0.0007493092656130074), np.float64(-0.00014044615083630418)]","[np.float64(5.000636443545078e-05), np.float64(3.531970014725176e-05), np.float64(9.329453400633511e-05), np.float64(3.176115798774745e-05), np.float64(0.00011660754624109206)]"
1,2024-12-30 09:33:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:08:00+00:00,0.013837132788827367,"[np.float64(0.00028088572816997726), np.float64(0.0), np.float64(-0.0007493092656130074), np.float64(-0.00014044615083630418), np.float64(-0.0007960106242901333)]","[np.float64(5.866579712911051e-05), np.float64(0.00010984582206613371), np.float64(2.4190400040524656e-05), np.float64(0.00019160637996160312), np.float64(0.00012246745514252536)]"
2,2024-12-30 09:34:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:09:00+00:00,0.044232374820046494,"[np.float64(0.0), np.float64(-0.0007493092656130074), np.float64(-0.00014044615083630418), np.float64(-0.0007960106242901333), np.float64(-0.0007492040058254545)]","[np.float64(0.00012106800884958095), np.float64(2.7759964991622772e-05), np.float64(0.00020159687772609963), np.float64(0.00012424623253419858), np.float64(8.665474258791267e-05)]"
3,2024-12-30 09:35:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:10:00+00:00,0.0501688418406131,"[np.float64(-0.0007493092656130074), np.float64(-0.00014044615083630418), np.float64(-0.0007960106242901333), np.float64(-0.0007492040058254545), np.float64(-0.0005619556202960396)]","[np.float64(1.6987253974819587e-05), np.float64(0.00023952677137587788), np.float64(8.164069729488413e-05), np.float64(0.00010047595311378221), np.float64(7.053712672744819e-05)]"
4,2024-12-30 09:36:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:11:00+00:00,-0.0687315520713776,"[np.float64(-0.00014044615083630418), np.float64(-0.0007960106242901333), np.float64(-0.0007492040058254545), np.float64(-0.0005619556202960396), np.float64(0.0004683840835051356)]","[np.float64(0.00023613601558959693), np.float64(7.551043850752219e-05), np.float64(7.0857276184644805e-06), np.float64(0.00017764182921203102), np.float64(9.941807387073536e-05)]"
5,2024-12-30 09:37:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:12:00+00:00,-0.030733213549319238,"[np.float64(-0.0007960106242901333), np.float64(-0.0007492040058254545), np.float64(-0.0005619556202960396), np.float64(0.0004683840835051356), np.float64(0.00028087257932085663)]","[np.float64(0.00010782113816044323), np.float64(-4.392634550574961e-05), np.float64(0.00016434507787842117), np.float64(0.0001024492645758941), np.float64(0.0006055326140019104)]"
6,2024-12-30 09:38:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:13:00+00:00,-0.2861650718972517,"[np.float64(-0.0007492040058254545), np.float64(-0.0005619556202960396), np.float64(0.0004683840835051356), np.float64(0.00028087257932085663), np.float64(0.0007960106242901333)]","[np.float64(-5.075733458853954e-05), np.float64(0.00025641066525507), np.float64(0.00017919191881347608), np.float64(0.0008159190088521163), np.float64(-9.014181966171528e-05)]"
7,2024-12-30 09:39:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:10:00+00:00,2024-12-30 10:14:00+00:00,-0.3672609949119694,"[np.float64(-0.0005619556202960396), np.float64(0.0004683840835051356), np.float64(0.00028087257932085663), np.float64(0.0007960106242901333), np.float64(0.0008896172891530441)]","[np.float64(0.0003993190819120922), np.float64(0.00011837836539129132), np.float64(0.0010198654137750847), np.float64(-0.0002231668081422456), np.float64(0.0006237102180854673)]"
8,2024-12-30 09:40:00+00:00,2024-12-30 10:10:00+00:00,2024-12-30 10:11:00+00:00,2024-12-30 10:15:00+00:00,0.19487562573793626,"[np.float64(0.0004683840835051356), np.float64(0.00028087257932085663), np.float64(0.0007960106242901333), np.float64(0.0008896172891530441), np.float64(0.0008896172891530441)]","[np.float64(0.00012388936591772545), np.float64(0.0003398895013890025), np.float64(3.640668786208163e-05), np.float64(0.00021968612779204504), np.float64(-7.769673960646549e-05)]"
9,2024-12-30 09:42:00+00:00,2024-12-30 10:11:00+00:00,2024-12-30 10:12:00+00:00,2024-12-30 10:16:00+00:00,0.028442672519660817,"[np.float64(0.00028087257932085663), np.float64(0.0007960106242901333), np.float64(0.0008896172891530441), np.float64(0.0008896172891530441), np.float64(0.0005617714674208685)]","[np.float64(0.0007422969632895635), np.float64(0.000310977946735741), np.float64(0.00021056832626037333), np.float64(-0.000184682493326063), np.float64(-5.541722950946274e-05)]"
