,Train_Start,Train_End,Test_Start,Test_End,Out_of_Sample_R2,Actual,Predicted
0,2024-12-30 09:32:00+00:00,2024-12-30 10:02:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:07:00+00:00,-0.6781871443059548,"[np.float64(0.0003745143061424372), np.float64(0.00028088572816997726), np.float64(0.0), np.float64(-0.0007493092656130074), np.float64(-0.00014044615083630418)]","[np.float64(0.0003120343430032154), np.float64(0.00013483072916351273), np.float64(0.00018620629545960314), np.float64(0.0003849012173312051), np.float64(0.00022940071314129818)]"
1,2024-12-30 09:33:00+00:00,2024-12-30 10:03:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:08:00+00:00,-0.3635114880108632,"[np.float64(0.00028088572816997726), np.float64(0.0), np.float64(-0.0007493092656130074), np.float64(-0.00014044615083630418), np.float64(-0.0007960106242901333)]","[np.float64(0.00013902706416862558), np.float64(0.00018485552226586051), np.float64(0.00039373999034521474), np.float64(0.00022859088811138855), np.float64(6.072868171743302e-05)]"
2,2024-12-30 09:34:00+00:00,2024-12-30 10:04:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:09:00+00:00,-0.2384462261230893,"[np.float64(0.0), np.float64(-0.0007493092656130074), np.float64(-0.00014044615083630418), np.float64(-0.0007960106242901333), np.float64(-0.0007492040058254545)]","[np.float64(0.00020703323257580217), np.float64(0.000409672003099492), np.float64(0.00024028110534601534), np.float64(7.724705294436652e-05), np.float64(6.44444274261656e-05)]"
3,2024-12-30 09:35:00+00:00,2024-12-30 10:05:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:10:00+00:00,-0.2667948253233352,"[np.float64(-0.0007493092656130074), np.float64(-0.00014044615083630418), np.float64(-0.0007960106242901333), np.float64(-0.0007492040058254545), np.float64(-0.0005619556202960396)]","[np.float64(0.00044607416028418867), np.float64(0.0002064396816282899), np.float64(4.9478154882219215e-05), np.float64(5.724656907455057e-05), np.float64(0.00020288233962687208)]"
4,2024-12-30 09:36:00+00:00,2024-12-30 10:06:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:11:00+00:00,0.01432230660340783,"[np.float64(-0.00014044615083630418), np.float64(-0.0007960106242901333), np.float64(-0.0007492040058254545), np.float64(-0.0005619556202960396), np.float64(0.0004683840835051356)]","[np.float64(0.0001909223829025623), np.float64(5.119178902365479e-05), np.float64(-2.726824087627018e-05), np.float64(0.00010033889715972111), np.float64(1.9485580838332327e-05)]"
5,2024-12-30 09:37:00+00:00,2024-12-30 10:07:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:12:00+00:00,0.061221702976416714,"[np.float64(-0.0007960106242901333), np.float64(-0.0007492040058254545), np.float64(-0.0005619556202960396), np.float64(0.0004683840835051356), np.float64(0.00028087257932085663)]","[np.float64(1.177846086167318e-05), np.float64(-5.113525686684338e-05), np.float64(8.819403909774447e-05), np.float64(-2.6297229915296446e-05), np.float64(-1.6213295620327197e-05)]"
6,2024-12-30 09:38:00+00:00,2024-12-30 10:08:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:13:00+00:00,-0.4220245155640241,"[np.float64(-0.0007492040058254545), np.float64(-0.0005619556202960396), np.float64(0.0004683840835051356), np.float64(0.00028087257932085663), np.float64(0.0007960106242901333)]","[np.float64(-0.00011173650932868749), np.float64(0.00015977031664522227), np.float64(-0.0002874796108916073), np.float64(-0.0004529550996939898), np.float64(7.494594002331869e-05)]"
7,2024-12-30 09:39:00+00:00,2024-12-30 10:09:00+00:00,2024-12-30 10:10:00+00:00,2024-12-30 10:14:00+00:00,-0.5910897111640749,"[np.float64(-0.0005619556202960396), np.float64(0.0004683840835051356), np.float64(0.00028087257932085663), np.float64(0.0007960106242901333), np.float64(0.0008896172891530441)]","[np.float64(0.00018344162823479866), np.float64(-0.0003293484061703988), np.float64(-0.0006077651697714856), np.float64(-1.2078770660824905e-05), np.float64(0.00017564142574661256)]"
8,2024-12-30 09:40:00+00:00,2024-12-30 10:10:00+00:00,2024-12-30 10:11:00+00:00,2024-12-30 10:15:00+00:00,-0.006477432307195441,"[np.float64(0.0004683840835051356), np.float64(0.00028087257932085663), np.float64(0.0007960106242901333), np.float64(0.0008896172891530441), np.float64(0.0008896172891530441)]","[np.float64(-0.00013657053842198552), np.float64(6.11721655155068e-05), np.float64(2.5356746609893744e-05), np.float64(0.00034103499714897026), np.float64(-0.000248660080862845)]"
9,2024-12-30 09:42:00+00:00,2024-12-30 10:11:00+00:00,2024-12-30 10:12:00+00:00,2024-12-30 10:16:00+00:00,0.24658516389887408,"[np.float64(0.00028087257932085663), np.float64(0.0007960106242901333), np.float64(0.0008896172891530441), np.float64(0.0008896172891530441), np.float64(0.0005617714674208685)]","[np.float64(0.0007178475292699293), np.float64(0.00012735910258307914), np.float64(0.0005941450095403884), np.float64(-0.0001866025956448399), np.float64(0.0006708762481560688)]"
10,2024-12-30 09:43:00+00:00,2024-12-30 10:12:00+00:00,2024-12-30 10:13:00+00:00,2024-12-30 10:17:00+00:00,0.25927459569678923,"[np.float64(0.0007960106242901333), np.float64(0.0008896172891530441), np.float64(0.0008896172891530441), np.float64(0.0005617714674208685), np.float64(-0.00042133845804848136)]","[np.float64(5.157803646645905e-05), np.float64(0.0005071715551099397), np.float64(-0.00016768204907834284), np.float64(0.0005039743567840911), np.float64(-8.766735157314337e-05)]"
11,2024-12-30 09:44:00+00:00,2024-12-30 10:13:00+00:00,2024-12-30 10:14:00+00:00,2024-12-30 10:18:00+00:00,0.06335566905997814,"[np.float64(0.0008896172891530441), np.float64(0.0008896172891530441), np.float64(0.0005617714674208685), np.float64(-0.00042133845804848136), np.float64(4.680442770776949e-05)]","[np.float64(0.0005017998358672965), np.float64(-0.00024326634777687892), np.float64(0.0006161110531889046), np.float64(6.386310591837942e-05), np.float64(0.00038905075930992445)]"
12,2024-12-30 09:45:00+00:00,2024-12-30 10:14:00+00:00,2024-12-30 10:15:00+00:00,2024-12-30 10:19:00+00:00,-0.430248128161826,"[np.float64(0.0008896172891530441), np.float64(0.0005617714674208685), np.float64(-0.00042133845804848136), np.float64(4.680442770776949e-05), np.float64(0.0004211215933835888)]","[np.float64(-0.00027233591752381784), np.float64(0.000666192882157889), np.float64(6.880519118426218e-05), np.float64(0.0004419197066226904), np.float64(0.00018511150584727489)]"
13,2024-12-30 09:46:00+00:00,2024-12-30 10:15:00+00:00,2024-12-30 10:16:00+00:00,2024-12-30 10:20:00+00:00,-0.48531804357118813,"[np.float64(0.0005617714674208685), np.float64(-0.00042133845804848136), np.float64(4.680442770776949e-05), np.float64(0.0004211215933835888), np.float64(0.0004211215933835888)]","[np.float64(0.0006447545588322034), np.float64(2.2641912769922202e-05), np.float64(0.000565351599359717), np.float64(0.0003651676156248535), np.float64(-0.0003144092215413027)]"
