,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const   -0.000023
ofiI     0.000975
dtype: float64",0.5346716837194153,"const    0.516207
ofiI     0.000010
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.535
Model:                            OLS   Adj. R-squared:                  0.517
Method:                 Least Squares   F-statistic:                     29.87
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           9.87e-06
Time:                        10:40:47   Log-Likelihood:                 202.53
No. Observations:                  28   AIC:                            -401.1
Df Residuals:                      26   BIC:                            -398.4
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       -2.31e-05   3.51e-05     -0.658      0.516   -9.52e-05     4.9e-05
ofiI           0.0010      0.000      5.466      0.000       0.001       0.001
==============================================================================
Omnibus:                        9.514   Durbin-Watson:                   2.164
Prob(Omnibus):                  0.009   Jarque-Bera (JB):                8.403
Skew:                           0.958   Prob(JB):                       0.0150
Kurtosis:                       4.880   Cond. No.                         5.21
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const    0.000007
ofiI     0.000436
dtype: float64",0.15663853143969753,"const    0.884370
ofiI     0.033569
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.157
Model:                            OLS   Adj. R-squared:                  0.125
Method:                 Least Squares   F-statistic:                     5.015
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0336
Time:                        10:40:47   Log-Likelihood:                 200.42
No. Observations:                  29   AIC:                            -396.8
Df Residuals:                      27   BIC:                            -394.1
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       7.406e-06   5.04e-05      0.147      0.884   -9.61e-05       0.000
ofiI           0.0004      0.000      2.239      0.034    3.65e-05       0.001
==============================================================================
Omnibus:                        7.683   Durbin-Watson:                   1.792
Prob(Omnibus):                  0.021   Jarque-Bera (JB):                8.313
Skew:                           0.545   Prob(JB):                       0.0157
Kurtosis:                       5.386   Cond. No.                         4.24
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const   -0.000083
ofiI     0.000573
dtype: float64",0.4331379468735801,"const    0.110449
ofiI     0.000077
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.433
Model:                            OLS   Adj. R-squared:                  0.413
Method:                 Least Squares   F-statistic:                     21.39
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           7.72e-05
Time:                        10:40:47   Log-Likelihood:                 206.01
No. Observations:                  30   AIC:                            -408.0
Df Residuals:                      28   BIC:                            -405.2
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -8.315e-05   5.04e-05     -1.648      0.110      -0.000    2.02e-05
ofiI           0.0006      0.000      4.625      0.000       0.000       0.001
==============================================================================
Omnibus:                       21.554   Durbin-Watson:                   1.473
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               35.427
Skew:                          -1.626   Prob(JB):                     2.03e-08
Kurtosis:                       7.215   Cond. No.                         2.66
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const   -0.000090
ofiI     0.001667
dtype: float64",0.802730686028948,"const    2.121547e-02
ofiI     2.236353e-11
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.803
Model:                            OLS   Adj. R-squared:                  0.796
Method:                 Least Squares   F-statistic:                     113.9
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           2.24e-11
Time:                        10:40:47   Log-Likelihood:                 214.11
No. Observations:                  30   AIC:                            -424.2
Df Residuals:                      28   BIC:                            -421.4
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -8.966e-05   3.67e-05     -2.441      0.021      -0.000   -1.44e-05
ofiI           0.0017      0.000     10.674      0.000       0.001       0.002
==============================================================================
Omnibus:                        2.138   Durbin-Watson:                   2.039
Prob(Omnibus):                  0.343   Jarque-Bera (JB):                0.970
Skew:                          -0.325   Prob(JB):                        0.616
Kurtosis:                       3.594   Cond. No.                         4.30
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const   -0.000023
ofiI     0.001384
dtype: float64",0.48927167773313374,"const    0.588188
ofiI     0.000017
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.489
Model:                            OLS   Adj. R-squared:                  0.471
Method:                 Least Squares   F-statistic:                     26.82
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           1.70e-05
Time:                        10:40:47   Log-Likelihood:                 210.16
No. Observations:                  30   AIC:                            -416.3
Df Residuals:                      28   BIC:                            -413.5
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -2.285e-05   4.17e-05     -0.548      0.588      -0.000    6.26e-05
ofiI           0.0014      0.000      5.179      0.000       0.001       0.002
==============================================================================
Omnibus:                       10.166   Durbin-Watson:                   2.886
Prob(Omnibus):                  0.006   Jarque-Bera (JB):                9.245
Skew:                          -1.017   Prob(JB):                      0.00983
Kurtosis:                       4.806   Cond. No.                         6.45
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const    0.000041
ofiI     0.003557
dtype: float64",0.27619148062794285,"const    0.643421
ofiI     0.003415
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.276
Model:                            OLS   Adj. R-squared:                  0.249
Method:                 Least Squares   F-statistic:                     10.30
Date:                Sat, 11 Jan 2025   Prob (F-statistic):            0.00341
Time:                        10:40:47   Log-Likelihood:                 182.31
No. Observations:                  29   AIC:                            -360.6
Df Residuals:                      27   BIC:                            -357.9
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       4.102e-05   8.76e-05      0.468      0.643      -0.000       0.000
ofiI           0.0036      0.001      3.210      0.003       0.001       0.006
==============================================================================
Omnibus:                       13.114   Durbin-Watson:                   2.822
Prob(Omnibus):                  0.001   Jarque-Bera (JB):               34.064
Skew:                           0.491   Prob(JB):                     4.01e-08
Kurtosis:                       8.218   Cond. No.                         12.8
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const    0.000005
ofiI     0.003884
dtype: float64",0.31047554015959766,"const    0.957826
ofiI     0.002069
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.310
Model:                            OLS   Adj. R-squared:                  0.284
Method:                 Least Squares   F-statistic:                     11.71
Date:                Sat, 11 Jan 2025   Prob (F-statistic):            0.00207
Time:                        10:40:47   Log-Likelihood:                 175.00
No. Observations:                  28   AIC:                            -346.0
Df Residuals:                      26   BIC:                            -343.3
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       4.891e-06   9.16e-05      0.053      0.958      -0.000       0.000
ofiI           0.0039      0.001      3.422      0.002       0.002       0.006
==============================================================================
Omnibus:                       12.831   Durbin-Watson:                   1.971
Prob(Omnibus):                  0.002   Jarque-Bera (JB):               28.652
Skew:                          -0.580   Prob(JB):                     6.00e-07
Kurtosis:                       7.818   Cond. No.                         12.4
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const   -0.000038
ofiI     0.000253
dtype: float64",0.0367895399496293,"const    0.360374
ofiI     0.309919
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.037
Model:                            OLS   Adj. R-squared:                  0.002
Method:                 Least Squares   F-statistic:                     1.069
Date:                Sat, 11 Jan 2025   Prob (F-statistic):              0.310
Time:                        10:40:47   Log-Likelihood:                 211.99
No. Observations:                  30   AIC:                            -420.0
Df Residuals:                      28   BIC:                            -417.2
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -3.764e-05   4.05e-05     -0.930      0.360      -0.000    4.53e-05
ofiI           0.0003      0.000      1.034      0.310      -0.000       0.001
==============================================================================
Omnibus:                       13.403   Durbin-Watson:                   2.410
Prob(Omnibus):                  0.001   Jarque-Bera (JB):               28.948
Skew:                          -0.674   Prob(JB):                     5.18e-07
Kurtosis:                       7.620   Cond. No.                         6.28
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const   -0.000068
ofiI     0.001745
dtype: float64",0.24914094669564513,"const    0.356856
ofiI     0.049031
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.249
Model:                            OLS   Adj. R-squared:                  0.196
Method:                 Least Squares   F-statistic:                     4.645
Date:                Sat, 11 Jan 2025   Prob (F-statistic):             0.0490
Time:                        10:40:47   Log-Likelihood:                 109.01
No. Observations:                  16   AIC:                            -214.0
Df Residuals:                      14   BIC:                            -212.5
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -6.779e-05   7.12e-05     -0.953      0.357      -0.000    8.48e-05
ofiI           0.0017      0.001      2.155      0.049    8.51e-06       0.003
==============================================================================
Omnibus:                       39.329   Durbin-Watson:                   2.121
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               93.699
Skew:                          -3.310   Prob(JB):                     4.50e-21
Kurtosis:                      12.835   Cond. No.                         11.4
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const    0.000038
ofiI     0.002424
dtype: float64",0.6893715875456141,"const    5.975238e-01
ofiI     2.522006e-08
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.689
Model:                            OLS   Adj. R-squared:                  0.678
Method:                 Least Squares   F-statistic:                     59.92
Date:                Sat, 11 Jan 2025   Prob (F-statistic):           2.52e-08
Time:                        10:40:47   Log-Likelihood:                 187.79
No. Observations:                  29   AIC:                            -371.6
Df Residuals:                      27   BIC:                            -368.8
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       3.847e-05    7.2e-05      0.534      0.598      -0.000       0.000
ofiI           0.0024      0.000      7.741      0.000       0.002       0.003
==============================================================================
Omnibus:                        1.132   Durbin-Watson:                   1.781
Prob(Omnibus):                  0.568   Jarque-Bera (JB):                0.274
Skew:                          -0.104   Prob(JB):                        0.872
Kurtosis:                       3.428   Cond. No.                         4.37
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
