,window_start,window_end,params,r_squared,p_values,summary
0,2024-12-30 09:00:00+00:00,2024-12-30 09:30:00+00:00,"const    0.000002
OFI1     0.000001
dtype: float64",0.23937625025946763,"const    0.957749
OFI1     0.008235
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.239
Model:                            OLS   Adj. R-squared:                  0.210
Method:                 Least Squares   F-statistic:                     8.182
Date:                Wed, 08 Jan 2025   Prob (F-statistic):            0.00823
Time:                        23:34:35   Log-Likelihood:                 195.66
No. Observations:                  28   AIC:                            -387.3
Df Residuals:                      26   BIC:                            -384.6
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       2.363e-06   4.42e-05      0.053      0.958   -8.84e-05    9.31e-05
OFI1        1.045e-06   3.65e-07      2.861      0.008    2.94e-07     1.8e-06
==============================================================================
Omnibus:                       13.480   Durbin-Watson:                   2.096
Prob(Omnibus):                  0.001   Jarque-Bera (JB):               28.129
Skew:                           0.704   Prob(JB):                     7.79e-07
Kurtosis:                       7.704   Cond. No.                         122.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
1,2024-12-30 09:30:00+00:00,2024-12-30 10:00:00+00:00,"const    4.628920e-05
OFI1     1.955477e-07
dtype: float64",0.009498845768841635,"const    0.375741
OFI1     0.614991
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.009
Model:                            OLS   Adj. R-squared:                 -0.027
Method:                 Least Squares   F-statistic:                    0.2589
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.615
Time:                        23:34:35   Log-Likelihood:                 198.09
No. Observations:                  29   AIC:                            -392.2
Df Residuals:                      27   BIC:                            -389.4
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       4.629e-05   5.14e-05      0.901      0.376   -5.92e-05       0.000
OFI1        1.955e-07   3.84e-07      0.509      0.615   -5.93e-07    9.84e-07
==============================================================================
Omnibus:                       13.505   Durbin-Watson:                   1.881
Prob(Omnibus):                  0.001   Jarque-Bera (JB):               17.959
Skew:                           1.030   Prob(JB):                     0.000126
Kurtosis:                       6.258   Cond. No.                         137.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
2,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,"const   -0.000044
OFI1     0.000001
dtype: float64",0.2779837598396965,"const    0.433048
OFI1     0.002755
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.278
Model:                            OLS   Adj. R-squared:                  0.252
Method:                 Least Squares   F-statistic:                     10.78
Date:                Wed, 08 Jan 2025   Prob (F-statistic):            0.00276
Time:                        23:34:35   Log-Likelihood:                 202.39
No. Observations:                  30   AIC:                            -400.8
Df Residuals:                      28   BIC:                            -398.0
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -4.371e-05   5.49e-05     -0.795      0.433      -0.000    6.88e-05
OFI1        1.165e-06   3.55e-07      3.283      0.003    4.38e-07    1.89e-06
==============================================================================
Omnibus:                        3.017   Durbin-Watson:                   1.581
Prob(Omnibus):                  0.221   Jarque-Bera (JB):                1.670
Skew:                          -0.325   Prob(JB):                        0.434
Kurtosis:                       3.955   Cond. No.                         158.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
3,2024-12-30 10:30:00+00:00,2024-12-30 11:00:00+00:00,"const   -0.000090
OFI1     0.000002
dtype: float64",0.43985567547332827,"const    0.161222
OFI1     0.000065
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.440
Model:                            OLS   Adj. R-squared:                  0.420
Method:                 Least Squares   F-statistic:                     21.99
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           6.49e-05
Time:                        23:34:35   Log-Likelihood:                 198.45
No. Observations:                  30   AIC:                            -392.9
Df Residuals:                      28   BIC:                            -390.1
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       -8.98e-05   6.24e-05     -1.439      0.161      -0.000     3.8e-05
OFI1        1.621e-06   3.46e-07      4.689      0.000    9.13e-07    2.33e-06
==============================================================================
Omnibus:                        7.606   Durbin-Watson:                   2.149
Prob(Omnibus):                  0.022   Jarque-Bera (JB):                6.679
Skew:                          -0.717   Prob(JB):                       0.0355
Kurtosis:                       4.813   Cond. No.                         184.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
4,2024-12-30 11:00:00+00:00,2024-12-30 11:30:00+00:00,"const   -3.461938e-05
OFI1     9.118362e-07
dtype: float64",0.20144658379990432,"const    0.522602
OFI1     0.012852
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.201
Model:                            OLS   Adj. R-squared:                  0.173
Method:                 Least Squares   F-statistic:                     7.063
Date:                Wed, 08 Jan 2025   Prob (F-statistic):             0.0129
Time:                        23:34:35   Log-Likelihood:                 203.46
No. Observations:                  30   AIC:                            -402.9
Df Residuals:                      28   BIC:                            -400.1
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -3.462e-05   5.35e-05     -0.647      0.523      -0.000    7.49e-05
OFI1        9.118e-07   3.43e-07      2.658      0.013    2.09e-07    1.61e-06
==============================================================================
Omnibus:                        2.791   Durbin-Watson:                   2.678
Prob(Omnibus):                  0.248   Jarque-Bera (JB):                1.454
Skew:                           0.404   Prob(JB):                        0.483
Kurtosis:                       3.714   Cond. No.                         161.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
5,2024-12-30 11:30:00+00:00,2024-12-30 12:00:00+00:00,"const    0.000011
OFI1     0.000019
dtype: float64",0.9617616820880178,"const    5.958008e-01
OFI1     1.131994e-20
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.962
Model:                            OLS   Adj. R-squared:                  0.960
Method:                 Least Squares   F-statistic:                     679.1
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           1.13e-20
Time:                        23:34:35   Log-Likelihood:                 224.95
No. Observations:                  29   AIC:                            -445.9
Df Residuals:                      27   BIC:                            -443.2
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const        1.07e-05   1.99e-05      0.537      0.596   -3.02e-05    5.16e-05
OFI1        1.939e-05   7.44e-07     26.060      0.000    1.79e-05    2.09e-05
==============================================================================
Omnibus:                       14.207   Durbin-Watson:                   2.373
Prob(Omnibus):                  0.001   Jarque-Bera (JB):               44.550
Skew:                           0.454   Prob(JB):                     2.12e-10
Kurtosis:                       9.004   Cond. No.                         26.8
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
6,2024-12-30 12:00:00+00:00,2024-12-30 12:30:00+00:00,"const    0.000051
OFI1     0.000005
dtype: float64",0.3805343231419025,"const    0.568152
OFI1     0.000472
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.381
Model:                            OLS   Adj. R-squared:                  0.357
Method:                 Least Squares   F-statistic:                     15.97
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           0.000472
Time:                        23:34:35   Log-Likelihood:                 176.50
No. Observations:                  28   AIC:                            -349.0
Df Residuals:                      26   BIC:                            -346.3
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       5.062e-05   8.76e-05      0.578      0.568      -0.000       0.000
OFI1        5.277e-06   1.32e-06      3.996      0.000    2.56e-06    7.99e-06
==============================================================================
Omnibus:                       10.650   Durbin-Watson:                   2.214
Prob(Omnibus):                  0.005   Jarque-Bera (JB):               20.089
Skew:                          -0.456   Prob(JB):                     4.34e-05
Kurtosis:                       7.048   Cond. No.                         66.9
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
7,2024-12-30 12:30:00+00:00,2024-12-30 13:00:00+00:00,"const   -3.116740e-05
OFI1     1.322335e-07
dtype: float64",0.010728044759152122,"const    0.447243
OFI1     0.585978
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.011
Model:                            OLS   Adj. R-squared:                 -0.025
Method:                 Least Squares   F-statistic:                    0.3036
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.586
Time:                        23:34:35   Log-Likelihood:                 211.59
No. Observations:                  30   AIC:                            -419.2
Df Residuals:                      28   BIC:                            -416.4
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -3.117e-05   4.04e-05     -0.771      0.447      -0.000    5.17e-05
OFI1        1.322e-07    2.4e-07      0.551      0.586   -3.59e-07    6.24e-07
==============================================================================
Omnibus:                       13.686   Durbin-Watson:                   2.490
Prob(Omnibus):                  0.001   Jarque-Bera (JB):               29.177
Skew:                          -0.712   Prob(JB):                     4.62e-07
Kurtosis:                       7.617   Cond. No.                         172.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
8,2024-12-30 13:00:00+00:00,2024-12-30 13:30:00+00:00,"const   -0.000087
OFI1    -0.000003
dtype: float64",0.14018109060263162,"const    0.274938
OFI1     0.153079
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.140
Model:                            OLS   Adj. R-squared:                  0.079
Method:                 Least Squares   F-statistic:                     2.282
Date:                Wed, 08 Jan 2025   Prob (F-statistic):              0.153
Time:                        23:34:35   Log-Likelihood:                 107.92
No. Observations:                  16   AIC:                            -211.8
Df Residuals:                      14   BIC:                            -210.3
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -8.708e-05   7.66e-05     -1.136      0.275      -0.000    7.73e-05
OFI1       -3.203e-06   2.12e-06     -1.511      0.153   -7.75e-06    1.34e-06
==============================================================================
Omnibus:                       17.702   Durbin-Watson:                   2.240
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               16.709
Skew:                          -1.798   Prob(JB):                     0.000235
Kurtosis:                       6.482   Cond. No.                         36.4
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
9,2024-12-30 13:30:00+00:00,2024-12-30 14:00:00+00:00,"const    0.000065
OFI1     0.000003
dtype: float64",0.35093379353901133,"const    0.544847
OFI1     0.000710
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.351
Model:                            OLS   Adj. R-squared:                  0.327
Method:                 Least Squares   F-statistic:                     14.60
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           0.000710
Time:                        23:34:35   Log-Likelihood:                 177.10
No. Observations:                  29   AIC:                            -350.2
Df Residuals:                      27   BIC:                            -347.5
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       6.467e-05      0.000      0.613      0.545      -0.000       0.000
OFI1        2.814e-06   7.36e-07      3.821      0.001     1.3e-06    4.32e-06
==============================================================================
Omnibus:                        7.846   Durbin-Watson:                   1.358
Prob(Omnibus):                  0.020   Jarque-Bera (JB):               11.970
Skew:                           0.233   Prob(JB):                      0.00252
Kurtosis:                       6.113   Cond. No.                         146.
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
