ts_event,action,side,depth,price,midprice,size,aOF1,aOF2,aOF3,aOF4,aOF5,bOF1,bOF2,bOF3,bOF4,bOF5,ask_sz_01,ask_sz_02,ask_sz_03,ask_sz_04,ask_sz_05,bid_sz_01,bid_sz_02,bid_sz_03,bid_sz_04,bid_sz_05,event_num,symbol,returns,midprice_delta,OFI1,OFI2,OFI3,OFI4,OFI5,ofi1,ofi2,ofi3,ofi4,ofi5,ofiI
2024-12-30 09:01:00+00:00,C,A,1.0,106.68,106.66,-5.0,100.0,239.0,140.0,6.0,944.0,0.0,0.0,0.0,142.0,959.0,2908,3310,4798,6967,2553,712,3604,1083,9125,13666,37,XOM,-0.0002343621843907684,-0.025000000000005684,-100.0,-239.0,-140.0,136.0,15.0,-0.7593481919303863,-1.8148421787136233,-1.063087468702541,1.0327135410253254,0.11390222878955794,-0.07244910587991375
2024-12-30 09:02:00+00:00,C,A,0.0,106.65,106.655,-7.0,0.0,0.0,0.0,0.0,0.0,-1.0,100.0,0.0,0.0,0.0,1838,2132,2388,408,444,928,1428,1050,2128,287,21,XOM,-4.687902867495097e-05,-0.0049999999999954525,-1.0,100.0,0.0,0.0,0.0,-0.016115417082342105,1.6115417082342105,0.0,0.0,0.0,0.052438321313196264
2024-12-30 09:03:00+00:00,A,B,2.0,106.36,106.67,8.0,0.0,0.0,0.0,0.0,0.0,499.0,16.0,100.0,4.0,142.0,4700,5012,5429,79,803,9078,2677,2930,3878,1509,47,XOM,0.00014063049361023872,0.015000000000000568,499.0,16.0,100.0,4.0,142.0,6.497575841529298,0.20833910513921597,1.3021194071200999,0.05208477628480399,1.8490095581105417,0.3008429936722743
2024-12-30 09:04:00+00:00,A,B,3.0,106.2,106.67,84.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2000,2078,2504,28,242,11040,819,1244,1142,1848,20,XOM,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.13074743952930923,0.0,0.0,0.0,0.007328126425962297
2024-12-30 09:05:00+00:00,A,B,2.0,106.39,106.67,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2116,2356,2467,176,390,12144,856,1624,916,2392,22,XOM,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.017297637299996067,0.0,0.0,0.0,0.003835781526748108
2024-12-30 09:06:00+00:00,A,B,2.0,106.38,106.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,0.0,0.0,0.0,2117,2590,1639,200,816,12144,457,2021,322,2864,22,XOM,0.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,-0.14858959078267778,0.0,0.0,0.0,-0.0012707537289794496
2024-12-30 09:07:00+00:00,A,B,2.0,106.36,106.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400,1595,1256,34,425,7728,569,1016,608,1500,14,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003303305363669441
2024-12-30 09:08:00+00:00,A,A,0.0,106.67,106.64,0.0,100.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1900,2134,1813,43,521,10488,486,1624,448,2316,19,XOM,-0.00028128076693789694,-0.030000000000001137,-100.0,16.0,0.0,0.0,0.0,-0.8726404262159556,0.1396224681945529,0.0,0.0,0.0,-0.018030373932051126
2024-12-30 09:09:00+00:00,C,A,1.0,106.72,106.655,-2.0,0.0,0.0,0.0,0.0,0.0,200.0,568.0,0.0,0.0,0.0,2132,2456,2567,315,391,10936,3512,1737,878,2518,23,XOM,0.00014065027332765823,0.015000000000000568,200.0,568.0,0.0,0.0,0.0,1.6762626630712045,4.760585963122221,0.0,0.0,0.0,0.19908540850524234
2024-12-30 09:10:00+00:00,A,A,0.0,106.69,106.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1834,2195,2012,316,447,4000,11133,1071,1136,1322,20,XOM,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.007853608733212912,0.0,0.0,0.0,0.00306154636664253
2024-12-30 09:11:00+00:00,C,A,0.0,106.81,106.765,2.0,-200.0,100.0,0.0,0.0,0.0,45.0,213.0,752.0,752.0,204.0,5601,5640,3124,861,2327,1496,4042,11936,21191,6163,51,XOM,0.001030831316096048,0.10999999999999943,245.0,113.0,752.0,752.0,204.0,2.003013738157452,0.923838989435886,6.148025841201648,6.148025841201648,1.667815520751511,0.5300384144375444
2024-12-30 09:12:00+00:00,A,B,1.0,106.53,106.755,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,1278,1254,24,273,176,530,3104,5720,1008,12,XOM,-9.366804053279054e-05,-0.010000000000005116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003303305363669441
2024-12-30 09:13:00+00:00,A,B,1.0,106.52,106.75,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2400,2526,2607,182,471,359,1434,6912,10536,1824,24,XOM,-4.6837310610392535e-05,-0.0049999999999954525,2.0,0.0,0.0,0.0,0.0,0.016409695395029233,0.0,0.0,0.0,0.0,0.003785300476462295
